,0
SHAP_OX_01,6.876215176072037
SHAP_TEMP_01,3.262085140746428
SHAP_TEMP_02,1.5623621377525618
SHAP_TEMP_21,1.193200506202725
SHAP_TEMP_20,1.1714846864348745
SHAP_TEMP_22,0.9706398713849603
SHAP_TEMP_11,0.889965680574161
SHAP_TEMP_24,0.8775612675498938
SHAP_TEMP_05,0.8256354914970617
SHAP_TEMP_03,0.821785340287804
SHAP_TEMP_06,0.746800283612603
SHAP_TEMP_15,0.7122075964033759
SHAP_TEMP_16,0.6436192786992877
SHAP_TEMP_19,0.6394106532304548
SHAP_TEMP_23,0.5310857951946091
SHAP_TEMP_17,0.4739570502832881
SHAP_TEMP_12,0.4711098156671942
SHAP_TEMP_08,0.4648241294502036
SHAP_OX_05,0.4248433659207696
SHAP_TEMP_18,0.4209971088765946
