,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_23,SHAP_OX_22,SHAP_OX_21,SHAP_TEMP_05,SHAP_TEMP_06,SHAP_OX_04,SHAP_OX_05,SHAP_TEMP_04,SHAP_NOX_01,SHAP_TEMP_07,SHAP_OX_20,SHAP_WS_02,SHAP_TEMP_21,SHAP_TEMP_22,SHAP_OX_02,SHAP_OX_24,SHAP_NO2_14,SHAP_OX_12,SHAP_NO2_13,SHAP_WD_04,SHAP_WD_05,SHAP_NO_01,SHAP_NO2_15,SHAP_WD_06,SHAP_OX_09,SHAP_WD_07,SHAP_TEMP_02
2019-07-20 12:00:00,8.565402698516845,14.107827186584473,-0.4968359425663948,-0.06820970596745608,-0.28625927641987803,-0.746181207895279,-3.276923966407775,0.49725186433643104,-0.20673074014484882,-0.5781983152031899,-5.887739372253419,0.2663320034276694,2.2322564721107483,-0.4560901463031769,-0.5206567209213973,-0.4331932435743511,5.538504672050476,0.0440776110626757,0.6281695038080215,0.9581555962562561,-0.6302783191204071,0.850597158074379,0.14231388345360754,-0.05039338469505308,-0.16984408348798755,1.4579404175281527,0.16394591480493542,-1.8844124913215636,0.059783441573381425,-12.407089900970458
2019-09-19 20:00:00,3.0643619775772093,5.919789195060731,-0.3532947346568107,0.17397488653659818,0.0028706494020297917,-0.22705168277025223,-2.727033865451813,0.5410306718200446,-0.4042546093463898,-0.07308589462190868,-4.038710284233092,0.5006591811776161,2.138276255130768,-0.33151933103799813,-0.1703675162047148,-0.912531653046608,2.086780476570129,0.21425296580418945,0.39234293401241305,0.5310529887676239,0.2634994804859162,0.04000402577221392,0.11160053983330724,0.029936380963772508,-0.9475200355052948,0.7021163761615753,0.12452057232148946,1.3463172316551206,0.0768066607415676,-6.990265274047852
2019-10-28 21:00:00,-1.214224463701248,0.10509301926940681,-0.06621231301687658,0.17397488653659818,0.1474355975165963,0.08442603405565023,-0.7300694495439529,0.7838047310709952,-0.3144710771739483,-0.2209236328490078,-1.3071900248527526,0.13243076954968275,1.3081080704927444,-0.0574636918492615,-0.6207391181960702,-1.0589962095022203,1.3623428165912626,0.21425296580418945,0.2449512869119644,0.1893708061426878,0.3707527220249176,-0.2159726418554783,0.11160053983330724,0.022633698163554046,-0.5586819410324096,-0.12241860190406437,0.09823702946305275,1.4386239528656006,0.0881554993800819,-2.2723805308341976
2020-01-10 09:00:00,-10.38262481689453,-11.524300861358643,0.3644113726913929,0.1926044210791588,0.26308755315840243,0.551642581820488,2.7429127268493176,1.2892516762018202,-0.027163508068770142,-0.565878601372242,3.567523169517517,-0.36969893574714663,-0.6654978975653648,0.5404760628938675,-0.47369473725557326,-1.2720349818468093,-0.29959984868764883,1.0651298880577087,0.303908009827137,0.23208108246326448,-0.16551394835114477,0.25331803765147926,0.22027842029929162,0.05493412297219038,3.3296974658966065,0.015003918483853356,0.15484778843820096,0.05402538478374479,0.06436654729768632,7.163387155532837
2020-03-03 03:00:00,-15.883662509918214,-12.47363805770874,-2.004018235206604,0.2298635058104992,0.1474355975165963,0.032513054925948366,2.279847963154316,1.2375133723020553,-0.09001198392361402,-0.47963977307081224,2.8951485037803653,-0.06842097351327539,-0.6028437614440918,-0.0574636918492615,-0.5456773595884442,-1.7247437715530396,-2.856434285640716,0.9800425887107849,0.12703800814924765,-0.10960119701921937,0.12049501803703606,-0.087984337285161,-0.22624584771692752,-0.043090657051652645,-0.16984408348798755,-0.2598411411046982,-0.020038999919779577,-1.0536534309387209,0.14489974230527877,6.901281213760376
2019-10-18 05:00:00,-3.6591317653656006,-0.8442450746893883,-1.9322478413581845,-0.1986167408525944,-0.48865007758140566,-0.9538331031799316,-0.3827711859717965,0.875342320650816,-0.12592547088861467,-0.46731998920440676,-0.8449326977133751,0.40023322254419325,0.7912113070487976,-0.8048884123563766,-0.045264303940348326,-1.1189133077859876,0.6805199317634105,0.5262411564588547,0.6576481133699417,0.0612399203397217,0.2277483634650707,0.08266687372233718,-0.22624584771692752,-0.043090657051652645,-0.5586819410324096,-0.3285522922873497,-0.020038999919779577,0.14633195172064006,0.14489974230527877,-1.4860664606094363
2019-07-13 15:00:00,17.1225793838501,10.073145294189453,-0.9992301404476166,0.26712279170751574,0.1474355975165963,0.13633897262625397,-2.813858735561371,0.5370507322251796,-0.4581248328089714,-0.29484258219599724,-4.921200466156006,0.09895545644685622,1.9346490025520322,0.09202121961861849,-0.29547079000622034,-0.7993545576930046,2.853829944133758,-0.4380860224366188,-0.020353655517101304,0.7446042403578759,-0.48727405406534674,0.12532961908727885,-0.011252654343843458,0.0007255819160491069,-0.16984408348798755,0.8395388916134834,0.0850952439010143,-2.0690254926681524,0.11085318634286523,-9.873417615890503
2019-10-23 09:00:00,-13.43876028060913,3.546444821357727,-0.7121475845575331,0.3230115666985512,0.40765231251716616,0.707381421327591,0.6301819831132891,0.9987189806997778,-0.00022838097065683744,-0.565878601372242,0.41576881557703027,-1.5413349837064743,0.5405944347381592,0.8394458681344986,-0.6457603294402361,-1.2187761157751082,0.08392547518014908,1.121855193376541,0.12703800814924765,-0.4085731416940689,0.7282639026641846,-0.5146123319864273,-0.13410593275330032,-0.043090657051652645,13.82832136154175,-0.8095312356948853,-0.020038999919779577,0.7924778759479523,0.13922532126307485,-3.320799708366394
2019-08-22 14:00:00,11.621535205841065,13.751829528808594,-0.7121475845575331,0.4720481812953949,0.3209134880453347,0.2920778185129166,-2.900683343410492,0.5529706452041865,-0.2965141903609037,-0.3564416445791721,-5.173340892791748,0.33328253999352453,2.059957432746887,-0.007635385496541816,-0.6958010844886304,-0.3200160768814385,6.13510055541992,-0.06937275752425194,-0.4625286960043013,-0.21637690886855127,0.048992746602743845,-0.301298251748085,-0.22624584771692752,-0.043090657051652645,-0.5586819410324096,-0.4659747838973999,0.16394591480493542,0.5155582070350646,0.059783441573381425,-11.620777416229249
2019-06-16 19:00:00,9.176629161834716,12.32781915664673,1.7280528903007508,0.2298635058104992,0.08960966388694942,-0.07131279092282057,-3.4505728363990777,0.42959351018071185,-0.4042546093463898,-0.09772537536919117,-5.341435384750366,0.5341345727443695,2.3105743765830993,-0.20694868601858615,-0.5957185904495418,-1.0257086515426637,1.404956740140915,-0.15446044355630875,0.18599471971392628,0.018529639393091168,0.9070195257663727,-0.13064712573541323,0.05017395419999955,0.015331003977917099,-0.5586819410324096,-0.05370735339820383,0.07195345330983398,2.36168942451477,0.09950433047488332,-12.407089900970458
