,0
SHAP_OX_01,6.521859992856455
SHAP_TEMP_01,5.150098726799464
SHAP_TEMP_03,1.8215211810452165
SHAP_HUM_01,1.771142778560333
SHAP_TEMP_04,1.7021946235274275
SHAP_TEMP_05,1.5941492774247192
SHAP_TEMP_06,1.1533150843415108
SHAP_WS_01,1.0477502082611123
SHAP_TEMP_02,0.9763355732826983
SHAP_OX_02,0.953888999995791
SHAP_TEMP_23,0.6073385953801956
SHAP_NO2_01,0.563221738256126
SHAP_TEMP_17,0.5336582494775026
SHAP_TEMP_07,0.5156908459036728
SHAP_NOX_01,0.494945701354711
SHAP_TEMP_12,0.39804426897580847
SHAP_TEMP_11,0.38566167997300604
SHAP_OX_23,0.3709551113772516
SHAP_TEMP_16,0.368068756685889
SHAP_OX_05,0.35054302986065544
SHAP_TEMP_19,0.34223966521059046
SHAP_NO2_02,0.33512416268146283
SHAP_OX_04,0.328145154908703
SHAP_TEMP_22,0.324087065716237
SHAP_TEMP_09,0.3206389169422955
SHAP_OX_03,0.3094115462384652
SHAP_HUM_21,0.28709886609142315
SHAP_OX_06,0.28576136792903606
SHAP_NOX_02,0.28558572145702193
SHAP_HUM_12,0.2689211011476077
