,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_04,SHAP_OX_05,SHAP_TEMP_04,SHAP_OX_03,SHAP_TEMP_03,SHAP_OX_19,SHAP_OX_20
2019-07-30 00:00:00,-21.916728019714355,12.663773250579833,-0.34329961091279987,0.004886613273993165,-0.4654059991240501,13.484472751617432,3.530829334259033,-27.176618957519537,-0.9732853233814239,-1.472182074189186
2019-07-03 07:00:00,-18.988205337524413,8.535984754562378,-0.37727923095226285,-0.00042279800400135404,-0.46198626458644865,8.486895847320557,5.334335041046143,-16.200794219970703,-0.5210115075111389,0.9806039750576019
2019-06-23 00:00:00,-0.4408976599574089,4.196514701843261,-0.38482999503612514,0.10576581694185734,-0.4004310145974159,6.77131233215332,-0.6773506969213485,-11.77506399154663,-0.4387800872325897,-0.061830082023516295
2019-04-16 00:00:00,20.05875873565674,-5.117468523979187,-0.16585152130573988,0.17478844244033095,-0.34913483257405464,1.1770124882459638,-3.4828028440475465,1.5021328777074812,-0.1304117782041431,1.2258831083774566
2019-05-18 05:00:00,-12.154979133605957,0.597930370271206,-0.32442210614681244,0.11638465300202369,-0.39359161853790287,5.279500055313111,-0.47696127742528915,-8.057448673248292,0.03405125979334116,1.2258831083774566
2019-04-27 02:00:00,2.4876242399215704,-8.081004571914672,-0.38482999503612514,0.06329039670526979,-0.4346284091472625,-1.5828422605991361,0.7253757178783418,8.052216339111329,-0.17152756564319133,0.8579647898674011
2019-06-15 11:00:00,11.273188877105714,-0.03711357265710831,-0.4037074536085129,0.09514698088169096,-0.39359161853790287,3.489323854446411,-0.6773506969213485,-3.9857755661010743,-0.23320123814046384,0.8579647898674011
2019-12-03 23:00:00,-6.297941064834594,-7.0225982666015625,-0.20738192908465863,-0.02166050848318262,-0.520121955126524,0.4311059007421136,2.1281020641326904,6.1048948764801025,-0.23320123814046384,0.7353255420923233
2019-06-07 21:00:00,3.463797903060913,2.608904504776001,-0.4112584382295609,0.15355066671036183,-0.3559744721278548,5.652452754974365,-0.8777398884296417,-9.650713539123535,-0.2743170246481895,0.6126863092184067
2020-01-31 01:00:00,-0.4408976599574089,-8.081004571914672,-0.24136135689914218,0.06329039670526979,-0.42778883278369906,-0.9861166968941688,0.9257653295993805,7.344100570678711,-0.952727147936821,-1.472182074189186
2019-12-05 22:00:00,-8.25029010772705,-8.081004571914672,-0.20360635071992875,-0.09068313008174297,-0.5269612990319729,0.3565151423215866,3.7312175989151,5.573809313774109,-0.7677063569426537,-0.6750266294926405
2019-06-21 09:00:00,17.130238342285157,9.276869821548463,-0.30554466843605044,0.031433775555342415,-0.4483073428273201,8.113946676254272,1.9277119398117066,-16.377826595306395,0.3835353311704239,2.8815132260322573
2020-03-22 21:00:00,27.868155860900877,-0.14295424944721163,-0.20738192908465863,0.2278826768510044,-0.31151771545410156,6.099997663497925,-4.6851393699646,-9.296653938293456,-0.952727147936821,-1.4108621031045911
2019-11-01 21:00:00,6.392320060729981,0.915452366322279,-0.2262594654224813,0.047362103359773734,-0.4517271235585213,6.398360681533812,1.126154625415802,-9.827742958068848,-0.9938427865505218,-1.4108621031045911
2019-12-18 15:00:00,-7.2741152286529545,-0.8838391341269016,-0.26401424780488014,-0.048207670962437985,-0.492763863503933,1.624556964635849,3.9316064357757567,-2.215482771396637,-1.0144010320305825,-1.5948214173316964
2020-03-09 04:00:00,-15.083507919311524,-9.56277322769165,-0.3546261742711067,0.06063564224168656,-0.42094939947128296,-3.000064754486084,1.3265438437461854,10.530628108978272,-0.3771063983440399,0.42872719615697863
2019-05-31 15:00:00,10.29701805114746,6.63084979057312,-0.2979936927556992,0.13231295756995679,-0.41069029420614234,8.561487436294556,-1.8796876788139343,-15.846736621856687,-0.21264329552650452,0.9192845940589904
2019-08-19 20:00:00,-1.4170705735683442,11.711206054687498,-0.34329961091279987,0.12700346037745475,-0.38675210624933243,12.962336444854737,-0.8777398884296417,-26.114429664611823,-0.3976642280817032,0.1834485085681081
2019-04-23 13:00:00,34.70137023925781,5.5724427700042725,-0.2149328431114555,0.16947903111577034,-0.3628140158951283,5.354089879989624,-3.4828028440475465,-10.18180046081543,0.157398633658886,2.145677936077118
2020-03-29 21:00:00,-3.3694201707839966,-14.008087348937988,-0.37350359112024306,0.07390923593193291,-0.4141098693013191,-6.953373765945436,0.5249861299991607,19.91317701339722,-0.2743170246481895,0.6126863092184067
2019-12-30 01:00:00,-20.94055633544922,-11.150388813018798,-0.25646326243877404,0.004886613273993165,-0.4517271235585213,-2.25415785908699,3.9316064357757567,9.999539041519165,-0.5415693983435631,-0.12314967196434738
2019-06-05 17:00:00,11.273188877105714,9.17103099822998,-0.27156526446342466,0.15886006078217177,-0.3662336964160203,9.829528045654296,-2.8816352844238278,-20.09544448852539,-0.23320123814046384,0.7966451883316041
2019-10-19 10:00:00,-2.393245542049408,0.17456801235675815,-0.4112584382295609,0.03674321519210931,-0.4483073428273201,2.3704628705978394,2.1281020641326904,-2.215482771396637,-0.5621273949742318,-0.18446931354701518
2019-05-27 06:00:00,-14.107335090637207,5.784125566482544,-0.3168712869286537,0.084528100118041,-0.39359161853790287,7.517219543457031,1.126154625415802,-14.43050479888916,1.6170083642005921,5.027702140808105
2019-04-01 14:00:00,11.273188877105714,-7.4459638595581055,-0.2677897542715073,0.16416956707835195,-0.37307306020520625,0.7294687390327453,-3.6831923484802247,2.387279605865478,-0.06873818510212001,1.3485218822956084
