,0
SHAP_OX_01,10.987530465523403
SHAP_TEMP_01,4.334472018783912
SHAP_OX_02,2.1575120039057607
SHAP_TEMP_22,1.7849928901314267
SHAP_TEMP_02,1.7483912033295879
SHAP_TEMP_23,1.5994999756772692
SHAP_HUM_01,1.389417099291148
SHAP_OX_21,1.2844418450772452
SHAP_TEMP_05,1.2535041065768648
SHAP_OX_04,1.0584263994743428
SHAP_TEMP_13,0.765409694198519
SHAP_SPM_20,0.759722803440721
SHAP_NMHC_08,0.6991890095009778
SHAP_TEMP_19,0.664553004227889
SHAP_TEMP_03,0.6612968496313553
SHAP_SPM_02,0.652833134730657
SHAP_HUM_02,0.6493312358797217
SHAP_OX_07,0.5090982709852979
SHAP_HUM_06,0.49308457263326755
SHAP_TEMP_08,0.44467342815383254
