,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_TEMP_02,SHAP_OX_04,SHAP_OX_07,SHAP_OX_02,SHAP_TEMP_03,SHAP_WS_02,SHAP_TEMP_23
2019-04-06 17:00:00,-13.47286319732666,-22.68360290527344,0.11504022143781185,11.32767391204834,-1.2635984361171722,0.04437695667147638,3.0147209405899043,5.717059850692749,-0.6439187109470368,-1.2218311000615354
2019-04-18 15:00:00,-10.185397720336915,-15.705856609344485,1.1365893185138705,7.7470156192779545,-0.9710561990737915,-0.24569507874548435,1.1654798805713653,5.032614231109619,-0.3490034952759743,-1.21685796380043
2019-04-18 16:00:00,-7.993751764297485,-14.225729846954346,0.47987921088933944,8.093530750274658,-1.2635984361171722,-0.010011520236730576,0.4720143750309944,3.869056487083435,-0.791376119852066,-1.2089010193943976
2019-04-18 17:00:00,-6.897930908203125,-19.723345947265628,-0.17683091089129446,7.284996032714844,-1.4098696947097777,0.06250643692910672,0.009703953377902504,4.074390196800232,-0.05408845441415905,-1.1989548981189728
2019-04-18 18:00:00,-6.897930908203125,-23.952285003662105,-0.7605732023715973,10.288128328323365,-1.5561406314373014,0.15315396711230275,-0.22145122811198234,3.5952781677246093,0.33913165591657163,-1.1909979417920113
2019-04-19 12:00:00,-16.760329055786134,-15.494411182403564,-0.17683091089129446,10.172622013092042,0.3453837767243385,-0.6989325731992723,3.939341735839844,6.127727031707765,-0.791376119852066,-1.273551458120346
2019-04-19 13:00:00,-9.089573097229003,-13.802836894989014,0.04207243896089492,7.978025960922241,-0.3859717909246683,-0.6082851380109787,1.8589451432228088,5.30639238357544,-0.791376119852066,-1.2705675542354582
2019-04-21 14:00:00,-10.185397720336915,-18.45466480255127,-0.7605732023715973,10.519138813018799,-0.629756960272789,-0.3726015544030815,2.090100371837616,5.990838432312012,-0.7422236740589142,-1.2248149818977256
2019-04-22 12:00:00,-10.185397720336915,-11.688368606567382,-0.6876055419445037,9.479592561721802,0.3941408585757017,-0.9346161723136902,3.245876502990723,5.64861583709717,-0.693071049451828,-1.257637420296669
2019-04-22 13:00:00,-3.6104651927948006,-10.631134128570556,-0.5416698008775712,5.898933839797973,0.004084576969034981,-0.7170621037483216,0.4720143750309944,4.895724534988403,-0.693071049451828,-1.264599820971489
