,SHAP_OX_01,SHAP_TEMP_01,SHAP_OX_03,SHAP_HUM_01,SHAP_TEMP_04,SHAP_TEMP_05,SHAP_TEMP_03,SHAP_OX_04,SHAP_SPM_01,SHAP_OX_17,SHAP_OX_18,SHAP_SPM_14,SHAP_OX_16,SHAP_TEMP_18,SHAP_WS_01,SHAP_OX_20,SHAP_OX_22,SHAP_SPM_17,SHAP_OX_19,SHAP_TEMP_24
2020-03-06 05:00:00,4.6804557085037235,-22.78556842803955,0.3308966973796488,1.1688068985939024,5.099706315994263,-2.21090943813324,18.753551864624022,-0.30216186642646786,-0.532513415068388,-0.3424138128757477,-0.15890786396339537,0.3918046049773694,0.41937892884016037,-0.9158708840608597,2.26098712682724,-0.014007925702026167,-1.118174397945404,-0.28161439821124074,-0.02664225473999977,-0.08807930797338485
2019-11-28 18:00:00,-4.68046772480011,-16.75138168334961,0.9494460046291351,-0.5154462635517121,3.1863585472106934,-1.3661950051784515,10.724559593200684,-0.4478010296821594,-0.5845427446067333,-0.18685637321323154,-0.26628963910043235,0.08832581676542758,0.12885070559568704,-1.2793117746710778,-0.6728849649429322,-1.0388415664434434,-1.1651640951633453,0.7733189225196838,-0.43867395967245104,-0.2994215954095126
2019-11-23 13:00:00,2.5202419400215144,-7.242967700958252,0.2621689438819885,-1.104934811592102,2.132063615322113,-1.0283094912767408,6.136560821533202,0.06193619072437284,-0.844689418375492,-0.24241255596280092,-0.20867027211934328,0.4026430428028106,0.2671974739059806,-1.6986660301685332,2.5698164939880375,-0.38667485713958744,-0.2253685092553496,-0.14401427712291479,-0.24295891127549113,-0.156765416264534
2019-04-20 16:00:00,20.52201519012451,-1.0259226694703103,-1.8683915257453918,0.36878643929958355,-0.2889093667268753,-0.048441125452518455,-3.2032938241958617,1.6639672756195067,0.0398093454306945,-0.40167382881045344,-0.11176472716033456,0.18587256129831073,0.4954696699976921,0.31423640232533206,1.7977446079254151,0.6692147687077523,1.7012126445770264,0.4981189429759979,0.18967451453208922,-0.9281644031405449
2019-08-07 08:00:00,-15.481531620025635,23.65939254760742,2.4614575266838075,-0.3470210149884224,-3.6470324993133545,1.5734095811843876,-17.95043029785156,-2.3411105394363405,0.19589737579226493,-0.23500497061759235,-0.21914649829268457,0.2292265571653843,0.2049414567649364,5.038965702056885,-0.6728849649429322,-0.16928577967919406,0.4794783368706703,0.26878576502203944,-0.21205661147832872,-1.3931172847747804
2019-09-20 22:00:00,-3.2403239011764513,10.859601306915282,0.5370801210403442,-0.30491468757390977,-2.4365463316440588,1.1679469734430312,-12.051579093933105,0.8629520952701568,0.19589737579226493,-0.2794500272721053,-0.19557493776082993,0.2834192454814911,0.2810321586206555,1.6282142102718349,-1.290542757511139,-0.20034134909510612,0.17404469102621078,0.13118569925427437,-0.18115415945649146,-0.8806126564741135
2020-01-21 06:00:00,-18.361816215515137,-26.25980701446533,2.1178187608718875,-0.5154462635517121,5.724474501609802,-2.430534183979034,20.228274726867674,-1.9041934370994569,-0.32439596503973006,-0.3238950654864311,-0.18247950207442043,0.31593484729528426,0.3917095348238945,-0.580387357622385,-0.6728849649429322,-0.47984151840209954,-0.9772054135799408,-0.14401427712291479,-0.20175573229789734,0.19723274856805798
2019-05-14 22:00:00,13.321302509307861,-0.8430685304105282,-0.28765303194522857,-0.5575526356697083,0.10157010839320724,-0.06533533781766891,-2.5478651165962223,0.4988539755344391,-0.22033731341362,-0.30537630170583724,-0.17200327045284214,0.2509037137031555,0.35020546317100526,0.7615476131439209,-0.8272995293140412,0.07915885522961616,0.9493762612342834,0.2229190208017826,-0.03694309135898949,-0.7273895412683486
2019-11-11 00:00:00,-9.000892734527588,-6.694402694702148,1.7741794109344482,-0.30491468757390977,1.5072965443134307,-0.8086839661002159,4.334130954742432,-1.3216365456581114,-0.2723666585981845,-0.21278247935697436,-0.25057525262236596,0.3918046049773694,0.21877604499459266,-1.5868382602930071,-0.8272995293140412,-0.8525086313486099,-0.6012867718935013,0.45225236713886263,-0.37686924338340766,-0.3311229081125931
2020-02-13 11:00:00,-7.560750961303711,-8.705798387527466,1.980363249778748,0.7477431178092957,3.5377892732620237,-1.6702920138835906,13.018563842773435,-2.122652280330658,0.5080733818002046,-0.2794500272721053,-0.20343213751912118,0.20754954069852832,0.27411479381844395,-0.6922150634229183,1.0256728887557984,-0.16928577967919406,0.009580486873164769,0.5439857602119446,-0.1605525944381952,-0.18846651017665866
2019-06-27 22:00:00,-17.64174575805664,13.968122673034667,2.1178187608718875,-1.104934811592102,-2.4755939871072767,1.083475735783577,-13.526291656494141,-1.8313738346099857,-0.48048399984836576,-0.22018995536200237,-0.24795614928007126,0.12084136828780175,0.21185858324170112,2.075525641441345,0.7168445616960526,-0.6351196527481079,0.24452952630817898,1.1402522385120393,-0.3459668174386024,-1.0021343320608138
2019-12-07 09:00:00,-11.161106395721436,-20.04276075363159,1.4992686390876773,0.41089292019605655,4.6311329364776626,-2.0588611841201785,16.787271785736085,-1.0303580701351167,-0.532513415068388,-0.2868575111031532,-0.19295578971505165,0.3809660643339157,0.3225360557436943,-1.4190962970256804,-1.4449569463729859,-0.16928577967919406,0.19753963828552518,-0.23574764654040337,-0.15025174543261527,-0.11978030949831012
2019-08-15 20:00:00,-9.720960903167725,19.819454479217526,1.4305407404899597,-1.104934811592102,-3.7641768395900725,1.6916699826717374,-18.442005920410157,-1.2488167762756346,1.704748173058033,-0.2461161825805903,-0.22438459247350698,-0.08509064018726349,0.2395280757918954,3.6131589889526365,1.0256728887557984,-0.6351196527481079,-0.6482764095067978,1.9199857473373414,-0.28416214473545554,-1.2398945963010193
2019-12-13 14:00:00,-3.2403239011764513,-15.83711223602295,0.46835223883390426,1.0424879610538482,3.733028292655945,-1.6871864318847656,13.018563842773435,-0.30216186642646786,-0.48048399984836576,-0.2757461994886398,-0.20343213751912118,0.3809660643339157,0.28794944025576114,-1.6707096159458161,-0.5184708416461945,-0.2624524936079979,0.29151927977800374,-0.32748097181320196,-0.1914548508822918,-0.5635992117226124
