,0
SHAP_OX_01,12.641719743338477
SHAP_TEMP_01,8.167487882065183
SHAP_TEMP_02,6.015532193958262
SHAP_TEMP_03,1.859336275450867
SHAP_OX_02,1.1643788319173578
SHAP_TEMP_05,0.8066420397027231
SHAP_TEMP_16,0.7412916986671819
SHAP_TEMP_17,0.6895600507369886
SHAP_NOX_02,0.6075182964825382
SHAP_TEMP_07,0.5925308807827222
SHAP_NOX_01,0.5527540431165137
SHAP_NMHC_02,0.5251482188566762
SHAP_TEMP_04,0.4175503937365468
SHAP_TEMP_23,0.3921677574775743
SHAP_TEMP_13,0.3911717634033936
SHAP_OX_23,0.3794655518816522
SHAP_OX_04,0.35686796487060785
SHAP_TEMP_20,0.3344766474105282
SHAP_OX_15,0.3310847014368511
SHAP_OX_12,0.3118445730007952
