,0
SHAP_OX_01,8.113340871368559
SHAP_TEMP_01,3.247901322768062
SHAP_HUM_01,1.2498854995983235
SHAP_OX_03,1.088829658055401
SHAP_OX_04,0.9150529607689808
SHAP_TEMP_03,0.8604184589933697
SHAP_SPM_01,0.6939817613514125
SHAP_TEMP_02,0.6612126629276216
SHAP_OX_06,0.5922348912369003
SHAP_TEMP_04,0.5695702706589791
SHAP_OX_23,0.5203734205659548
SHAP_TEMP_05,0.5163550146621382
SHAP_OX_17,0.5073810589173136
SHAP_SPM_14,0.48046987618412046
SHAP_SPM_18,0.4185293184119962
SHAP_OX_20,0.41743930355556236
SHAP_HUM_02,0.40700517065153446
SHAP_OX_19,0.3659262648304493
SHAP_SPM_17,0.36184960515815606
SHAP_OX_21,0.3367453998787914
