,OX
2020-04-30 14:00:00,82.0
2020-05-01 02:00:00,22.0
2020-05-01 14:00:00,74.0
2020-05-02 02:00:00,20.0
2020-05-02 14:00:00,87.0
2020-05-03 02:00:00,16.0
2020-05-03 14:00:00,50.0
2020-05-04 02:00:00,21.0
2020-05-04 14:00:00,51.0
2020-05-05 02:00:00,6.0
2020-05-05 14:00:00,54.0
2020-05-06 02:00:00,33.0
2020-05-06 14:00:00,35.0
2020-05-07 02:00:00,22.0
2020-05-07 14:00:00,44.0
2020-05-08 02:00:00,31.0
2020-05-08 14:00:00,59.0
2020-05-09 02:00:00,16.0
2020-05-09 14:00:00,57.0
2020-05-10 02:00:00,19.0
2020-05-10 14:00:00,58.0
2020-05-11 02:00:00,16.0
2020-05-11 14:00:00,66.0
2020-05-12 02:00:00,26.0
2020-05-12 14:00:00,59.0
2020-05-13 02:00:00,15.0
2020-05-13 14:00:00,60.0
2020-05-14 02:00:00,36.0
2020-05-14 14:00:00,72.0
2020-05-15 02:00:00,25.0
2020-05-15 14:00:00,67.0
2020-05-16 02:00:00,45.0
2020-05-16 14:00:00,46.0
2020-05-17 02:00:00,30.0
2020-05-17 14:00:00,52.0
2020-05-18 02:00:00,39.0
2020-05-18 14:00:00,41.0
2020-05-19 02:00:00,28.0
2020-05-19 14:00:00,45.0
2020-05-20 02:00:00,31.0
2020-05-20 14:00:00,29.0
2020-05-21 02:00:00,23.0
2020-05-21 14:00:00,28.0
2020-05-22 02:00:00,19.0
2020-05-22 14:00:00,37.0
2020-05-23 02:00:00,19.0
2020-05-23 14:00:00,52.0
2020-05-24 02:00:00,26.0
2020-05-24 14:00:00,59.0
2020-05-25 02:00:00,33.0
2020-05-25 14:00:00,72.0
2020-05-26 02:00:00,11.0
2020-05-26 14:00:00,62.0
2020-05-27 02:00:00,36.0
2020-05-27 14:00:00,66.0
2020-05-28 02:00:00,50.0
2020-05-28 14:00:00,77.0
2020-05-29 02:00:00,38.0
2020-05-29 14:00:00,61.0
2020-05-30 02:00:00,24.0
2020-05-30 14:00:00,75.0
2020-05-31 02:00:00,25.0
2020-05-31 14:00:00,49.0
2020-06-01 02:00:00,43.0
2020-06-01 14:00:00,45.0
2020-06-02 02:00:00,29.0
2020-06-02 14:00:00,73.0
2020-06-03 02:00:00,41.0
2020-06-03 14:00:00,78.0
2020-06-04 02:00:00,27.0
2020-06-04 14:00:00,87.0
2020-06-05 02:00:00,28.0
2020-06-05 14:00:00,107.0
2020-06-06 02:00:00,37.0
2020-06-06 14:00:00,72.0
2020-06-07 02:00:00,39.0
2020-06-07 14:00:00,56.0
2020-06-08 02:00:00,39.0
2020-06-08 14:00:00,86.0
2020-06-09 02:00:00,23.0
2020-06-09 14:00:00,72.0
2020-06-10 02:00:00,14.0
2020-06-10 14:00:00,45.0
2020-06-11 02:00:00,26.0
2020-06-11 14:00:00,13.0
2020-06-12 02:00:00,11.0
2020-06-12 14:00:00,58.0
2020-06-13 02:00:00,25.0
2020-06-13 14:00:00,29.0
2020-06-14 02:00:00,26.0
2020-06-14 14:00:00,44.0
2020-06-15 02:00:00,15.0
2020-06-15 14:00:00,53.0
2020-06-16 02:00:00,48.0
2020-06-16 14:00:00,64.0
2020-06-17 02:00:00,35.0
2020-06-17 14:00:00,79.0
2020-06-18 02:00:00,23.0
2020-06-18 14:00:00,59.0
2020-06-19 02:00:00,47.0
2020-06-19 14:00:00,52.0
2020-06-20 02:00:00,28.0
2020-06-20 14:00:00,44.0
2020-06-21 02:00:00,38.0
2020-06-21 14:00:00,47.0
2020-06-22 02:00:00,22.0
2020-06-22 14:00:00,30.0
2020-06-23 02:00:00,31.0
2020-06-23 14:00:00,46.0
2020-06-24 02:00:00,32.0
2020-06-24 14:00:00,38.0
2020-06-25 02:00:00,21.0
2020-06-25 14:00:00,35.0
2020-06-26 02:00:00,18.0
2020-06-26 14:00:00,62.0
2020-06-27 02:00:00,17.0
2020-06-27 14:00:00,82.0
2020-06-28 02:00:00,22.0
2020-06-28 14:00:00,51.0
2020-06-29 02:00:00,34.0
2020-06-29 14:00:00,78.0
2020-06-30 02:00:00,23.0
2020-06-30 14:00:00,38.0
2020-07-01 02:00:00,19.0
2020-07-01 14:00:00,13.0
2020-07-02 02:00:00,31.0
2020-07-02 14:00:00,63.0
2020-07-03 02:00:00,11.0
2020-07-03 14:00:00,40.0
2020-07-04 02:00:00,23.0
2020-07-04 14:00:00,34.0
