,0
SHAP_OX_01,9.540202898373952
SHAP_TEMP_04,7.1724694895916326
SHAP_TEMP_24,6.1324205363473245
SHAP_TEMP_22,5.772130406207373
SHAP_TEMP_21,4.668943382865687
SHAP_TEMP_01,3.9508891274372737
SHAP_HUM_01,3.3346030691863975
SHAP_TEMP_06,3.071341537446987
SHAP_TEMP_05,2.5711527148685303
SHAP_HUM_02,2.309219667542974
SHAP_WS_01,1.408620768986518
SHAP_TEMP_20,0.5025808118792484
SHAP_HUM_03,0.48276751279762253
SHAP_OX_02,0.3983848440204436
SHAP_WS_03,0.3631116317841379
SHAP_WD_02,0.29113454309885073
SHAP_SPM_03,0.20477935360732563
SHAP_WS_02,0.1423926541064686
SHAP_WD_03,0.13322767022051069
SHAP_SPM_04,0.1219399709790867
