,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_TEMP_21,SHAP_HUM_02,SHAP_OX_02,SHAP_WS_01,SHAP_TEMP_04,SHAP_TEMP_20,SHAP_TEMP_05,SHAP_TEMP_06,SHAP_WS_02,SHAP_TEMP_22,SHAP_TEMP_24,SHAP_WD_03,SHAP_WS_03,SHAP_WD_02,SHAP_SPM_03,SHAP_SPM_04,SHAP_HUM_03
2019-05-17 01:00:00,1.0388591200113297,-0.4617437765002251,-2.4324652671813967,0.5706209883093833,0.6076480120420455,0.3826001167297364,-0.14319793693721292,-4.938517093658449,-0.3754285231232643,-0.8666236259043216,3.9210191488265993,0.07730124411173163,1.1548275219276547,-3.114582002162934,-0.1206102391704917,0.034754505939781674,-0.3905831694602966,-0.05337189445272086,-0.12081586271524429,-0.3052291095256806
2019-06-07 08:00:00,7.337749862670899,2.3962586820125584,-3.0444260597229005,9.80974726676941,2.322909498214721,0.37337595969438553,-0.01836701687425373,-7.65530161857605,0.3178113371133805,-1.791551113128662,4.574468302726745,-0.012091522663831678,10.728720664978027,-10.315208435058594,-0.1705660941079259,0.034754505939781674,-0.5398298472166061,0.7494698077440262,0.1831551912240684,0.08089720960124396
2019-11-03 05:00:00,-7.359665584564209,-2.7805004000663756,-1.2085401654243468,0.057336189225316046,0.32177109867334364,0.41949608772993086,-0.01836701687425373,0.39802278354763987,-0.3851924028247594,1.018805258022621,2.358426654338836,0.0006789132719859474,-0.9023725513368843,2.0404112219810484,0.12916882764548063,-0.23377121984958654,-0.5895786732435226,0.0985171214677393,-0.02728627994656559,-0.28251574784517286
2019-06-01 13:00:00,24.834680747985843,4.0139963865280155,3.483171510696411,4.6127383470535275,-2.3940587043762203,0.32495028637349604,1.729266142845153,-8.916665172576904,-0.14109407737851137,-1.8982732236385345,4.148306059837341,-0.02486188476905224,5.902210474014282,-8.760526323318482,-0.1206102391704917,-0.17409879341721535,-0.34083432406187064,-0.009975029825000042,-0.12081586271524429,-0.6232153952121735
2019-04-04 09:00:00,-5.260033988952637,-4.07469003200531,7.7669086933135985,-2.2524457812309264,-4.252257871627808,0.43563808500766754,0.480957017838955,10.682989978790284,-0.6439366400241852,4.9319573640823355,-0.7099378101527691,0.16669399142265318,-3.0386955738067627,3.267790603637695,0.15414673843188212,0.27344393767416475,0.20640289597213263,0.0551202389411628,0.01947849020361899,-0.9639151930809021
2019-10-12 18:00:00,-4.560157537460329,3.5826000928878785,-6.104239273071289,3.2653663635253904,3.4664164543151856,0.41488424837589266,5.973521184921264,-10.566141510009766,-0.20944142639636998,-2.823199653625489,5.426791501045227,-0.6889221966266634,4.082381653785707,-6.14211802482605,-0.1206102391704917,-1.636071354150772,-0.34083432406187064,-0.35714989006519315,-0.2026542022824287,0.3080302514135837
2020-01-04 03:00:00,-9.459293746948243,-8.17295789718628,-1.2085401654243468,-9.823397302627564,0.6076480120420455,0.44716804325580595,-1.2666766464710235,9.809739589691162,-1.1614252835512162,4.505069732666016,-0.2837768465280533,0.07730124411173163,-11.663112354278564,9.895638513565064,0.12916882764548063,0.06459074690937996,0.1566540008410811,-0.09676869958639148,-0.06235992591828106,-0.23708915212191642
2019-12-26 23:00:00,-18.557693481445312,-5.36888017654419,-1.004552322626114,-7.64193639755249,0.178832646459341,0.4586980279535055,-0.6425218313932419,5.249424219131469,-1.0540219336748122,2.868659555912018,0.7390115544199943,0.026219674642197783,-9.289418649673461,7.850006580352783,0.12916882764548063,-0.23377121984958654,0.1566540008410811,0.3805965408682824,0.13639044586452656,-0.44150893688201914
2020-03-07 05:00:00,-4.560157537460329,-6.878767275810242,2.871209287643432,-4.818871688842774,-2.679935574531555,0.41488424837589266,-0.39285996854305266,8.16026520729065,-0.7366944607812911,4.0070307970047,0.00033163728658109904,-0.16533614005893468,-7.232220268249511,7.931834697723389,0.07921295594424008,0.004918306181207301,0.1566540008410811,-0.2920545339584351,-0.10912465369328857,-0.827635383605957
2019-12-29 06:00:00,-2.4605261206626894,-8.9279034614563,0.6273476719856262,-4.94719169139862,-1.393490350246429,0.40335426181554795,-0.6425218313932419,10.682989978790284,-0.7659860581159592,4.9675307989120485,-0.8519924134016037,-0.012091522663831678,-6.994850158691406,7.850006580352783,-0.2205218594521284,-0.1442625790834427,-0.5895786732435226,-0.27035610079765326,-0.16758071295917035,-0.6232153952121735
2019-05-09 17:00:00,19.93554229736328,1.9109381273388863,5.523047256469726,1.5971904695034025,-5.824581050872803,0.3272561963647604,3.227238726615906,-8.722609519958496,-0.3607826605439186,-2.0049961149692535,4.546058344841003,-0.20364733172245905,2.420797049999237,-5.5693418979644775,-0.02069860354531552,-0.5321329176425934,-0.14183908673003315,0.033421809040009944,-0.14419818334281445,-1.2364743441343307
2019-11-23 18:00:00,1.738735842704773,-3.373671281337738,-6.5122133731842045,-5.139674043655395,4.038170647621155,0.39182418445125217,2.727914643287659,1.9504710555076599,-0.8245697245001793,1.8014353930950162,1.562924760580063,-0.24195843981578952,-6.361865282058716,4.658819317817688,-0.245499699935317,-0.6216413795948028,-0.5895786732435226,-0.27035610079765326,-0.2143454495817423,0.2853170484304428
2019-05-07 17:00:00,10.837138462066651,-1.9177076160907744,0.6273476719856262,1.725512534379959,-0.8217363059520721,0.34801002796739344,1.4796050667762757,-3.2890408992767335,-0.3314907491207123,-0.04841860532760618,3.352804780006408,-0.08871378971962258,2.3416736721992497,-5.651164197921753,0.1041908659040928,-0.8603309333324433,-0.4900809288024902,0.1419139366596937,-0.09743348076008258,-1.1910478264093398
2019-05-28 10:00:00,15.036400032043456,5.146412134170532,3.8911476850509645,11.927050971984865,-3.2516889572143555,0.3503161627799273,3.726563477516175,-11.05128173828125,0.391040289029479,-2.823199653625489,5.3131482124328615,-0.3952029891312122,13.814522457122802,-15.715673637390136,-0.02069860354531552,-0.7111502468585968,-0.19158789962530132,0.12021548710763455,-0.06235992591828106,-0.9639151930809021
2019-11-07 01:00:00,-17.857825088500977,-4.020765590667724,-2.8404388189315797,-4.562229084968567,0.7505866199731828,0.4586980279535055,-0.5176909744739533,0.2039668835699558,-0.8099238179624081,0.9476565070450305,2.443659281730652,0.0645308463601395,-5.333265733718871,3.104139304161072,0.12916882764548063,0.12426304277032614,0.1566540008410811,0.2938029095530511,0.031169697735458596,-0.3506557762622832
