,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_TEMP_05,SHAP_WS_01,SHAP_TEMP_04,SHAP_TEMP_06,SHAP_WS_02,SHAP_OX_03,SHAP_OX_15
2019-04-19 12:00:00,-4.145082077980043,-31.634952964782713,-0.07479848809540271,16.42699934005737,1.5295014512538911,8.592032858133317,-1.5823272527661174,-0.049674905006540926,-2.9744927227497096,1.3913596150279046
2019-04-19 13:00:00,3.585536465644836,-23.295631818771362,1.948394594117999,13.97400980949402,0.18789387252181766,7.0251181507110605,-1.3158461420238017,0.16164939522743224,-6.9683459711074835,1.2266171191632744
2019-04-19 14:00:00,5.794284563064576,-21.21080159187317,1.948394594117999,10.294523203372956,0.18789387252181766,6.502812665700913,-1.1992602975666522,-0.2609992007352412,-10.29655743598938,1.0618743610475212
2019-04-19 15:00:00,5.794284563064576,-23.99057550430298,2.7070918488502502,9.068027420043947,1.3059000796079632,5.159742624759675,-1.024382070079446,-0.2609992007352412,-12.626303844451904,-1.7387486224249007
2019-04-22 11:00:00,-16.293197336196904,-31.634952964782713,-1.5921932220458985,16.952639942169192,1.5295014512538911,8.293572846651077,-1.5323622699826953,0.3025322524085642,2.0178238584101202,1.5561022993922233
2019-04-22 12:00:00,-6.3538299703598025,-26.075405559539785,-0.07479848809540271,13.27315472126007,1.0822988492250443,7.09973229765892,-1.340828559547663,0.16164939522743224,-2.3088505446910856,0.7323894490115345
2019-04-22 13:00:00,4.689910624027253,-21.905743513107296,-0.07479848809540271,10.469736342430114,0.18789387252181766,5.682047793865205,-1.16595039665699,0.020766541389748462,-6.635524635314942,0.0734194049239159
2019-05-03 15:00:00,-8.562577862739563,-16.693668680191042,4.730284595489502,5.914182697534562,-2.048118464946747,4.488207626342773,-0.9577617257088423,-0.965413464307785,-6.9683459711074835,-0.2560658031702042
2019-05-05 13:00:00,-6.3538299703598025,-22.600687789916993,0.6838988594710826,13.09794054031372,-3.166124908924102,6.20435273528099,-1.3574838495254515,-0.7540892431139946,-5.304240398406984,-0.7502932333946228
2019-05-05 14:00:00,2.481162477731705,-21.21080159187317,1.948394594117999,8.367172925472259,-2.7189224076271055,5.159742624759675,-1.157622668147087,-1.3176207190752032,-7.6339875507354735,-1.0797783724218606
2019-05-25 10:00:00,-16.293197336196904,-19.125971393585207,0.6838988594710826,14.850077114105222,1.5295014512538911,7.547422984838486,-1.3574838495254515,0.16164939522743224,0.02089721273630858,4.027240136265755
2019-05-25 11:00:00,-1.936333678364754,-11.481591839790344,1.948394594117999,11.521018180847168,1.0822988492250443,5.383587723970413,-1.240898194462061,0.16164939522743224,-4.305777266025542,3.3682699871063235
2019-05-25 12:00:00,8.003032741546631,-7.659403223991395,2.454192793369293,6.439823853969574,0.8586976155638695,3.368982453346252,-1.0826748939976094,0.020766541389748462,-6.635524635314942,0.40290422588586805
2019-05-25 13:00:00,21.25552356719971,-0.3624960049241781,3.7186883604526515,1.709055982679129,-0.035707377307117,2.4736024814844138,-0.8411761429905893,-0.049674905006540926,-10.962199282646178,-0.9150357892364264
2019-05-25 14:00:00,31.19488790512085,2.0698062258958823,5.236083436012268,-0.3935074797272683,-0.9301123124361037,0.832072449065745,-0.6163324856758118,-0.33144062668085095,-13.957589149475098,-0.5855507735908031
2019-05-25 15:00:00,38.92550916671753,2.0698062258958823,4.983184089660645,-4.24820722579956,-3.6133274292945865,0.011307255681604145,-0.5164021281152965,-0.6132063165307045,-17.95144304275513,-1.4092635716125366
2019-05-25 16:00:00,47.7605012512207,2.0698062258958823,4.477385840415955,-6.17555657863617,-4.284131355285644,-1.5556079421937468,-0.3331961761787535,-1.4585034829378127,-20.946832513809206,-2.232976212203502
2019-05-25 17:00:00,35.61238380432129,-2.0998547575622797,3.971587361097336,-9.855042033195499,-5.178536028862,-2.077912655770779,-0.241593127772212,-1.6698278260231014,-23.276580028533935,-1.5740060425922273
2019-05-26 08:00:00,-28.44131341934203,-26.075405559539785,-2.603789761066437,12.922727131843567,0.8586976155638695,8.517418162822723,-1.1159849923383445,0.44341512423008683,5.013213970065117,9.463743722438812
2019-05-26 09:00:00,-11.875700836181641,-22.25321632385254,-2.0979914391040806,13.798796768188476,0.8586976155638695,7.995112661123275,-1.149295164048672,-0.049674905006540926,2.0178238584101202,7.651576159000396
2019-05-26 10:00:00,5.794284563064576,-13.913894882202149,-1.0863949334621428,12.572299799919133,1.7531026506423952,6.20435273528099,-1.1909329132735729,-0.049674905006540926,-2.9744927227497096,6.498378171920777
2019-05-26 11:00:00,19.046773490905757,-6.964459536075592,-0.5805967970192432,8.367172925472259,1.7531026506423952,3.9659025037288678,-1.1326400539651509,0.23209086090326309,-7.966809487342834,5.015695753097535
2019-05-26 12:00:00,28.986141891479498,-0.3624960049241781,2.201293623745441,3.1107647199742496,1.0822988492250443,3.1451373708248136,-0.932779133580625,0.23209086090326309,-13.291947288513189,1.8855871024727826
2019-05-26 13:00:00,34.50800947189331,4.8495805025100704,2.7070918488502502,1.1834150660783054,-0.2593086291290819,1.354377367794514,-0.6829527696967125,0.020766541389748462,-17.28580028533936,0.40290422588586805
2019-05-26 14:00:00,36.71676027297973,9.019242677688599,3.4657890558242803,-3.0217116916179654,-1.6009162789583207,-0.13792282357811933,-0.5913499454408884,-0.40188207000494003,-20.28119118690491,-1.2445211741700768
2019-05-26 15:00:00,54.38674434661866,7.9768271207809445,3.4657890558242803,-6.525984401702881,-1.6009162789583207,-1.5556079421937468,-0.39148890845477596,-0.8245306414365767,-21.945294647216798,-2.397718772888183
