観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2018年3月2日1時,4.7,13,3.7,14,2.8,14,3.3,14,1,14,11.5,13,0.8,15,3,15,///,///,2.6,14,1.7,15,1.6,8,2.4,16,2,16,0.4,2,1.4,13,2.6,12,1.4,13,5.6,13,4.2,15,3,16,2.4,14
2018年3月2日2時,5.4,13,2.8,14,1.5,14,4,14,2.8,15,12.2,13,1,14,1.6,15,///,///,2.7,15,2.8,14,1,11,2,15,2.6,16,0.7,4,2.1,12,3.6,13,0.9,14,6.9,13,3.4,15,2.5,15,4,13
2018年3月2日3時,6.2,13,3.1,12,1.6,13,3.5,13,1.8,14,11.7,13,1.2,14,2.5,15,///,///,4.4,14,4.5,14,0.8,10,1,1,1.4,15,0.3,5,1.2,13,2.3,14,1.8,12,6.4,13,4.5,16,4.5,15,4.5,13
2018年3月2日4時,5.9,13,4.3,16,1.4,13,1.7,13,1,13,11.4,13,1.6,13,3.1,15,///,///,5.6,15,2.7,15,0.8,13,2,1,1.7,15,0.3,7,1.2,12,2.2,13,0,0,5,12,4.4,16,3.9,15,3.9,13
2018年3月2日5時,5.4,13,3.4,14,1.5,13,2.8,11,2.2,15,11.5,14,1.9,12,1.7,14,///,///,3.5,15,2.4,16,0.8,12,1.3,16,2.3,15,0.1,0,0.7,12,2.4,14,0.6,5,4.7,13,3.8,16,2.8,15,3.9,13
2018年3月2日6時,3.9,13,4.8,15,2.6,14,2.7,14,1.8,13,9.5,13,1,15,2.9,14,///,///,3,14,2.2,16,0.2,0,1.5,1,2,15,0.1,0,1.4,13,2.5,14,0.3,6,5.3,13,3.6,15,2.8,15,3.6,14
2018年3月2日7時,2.3,14,3.6,13,1.4,13,2.9,13,1.6,14,9.2,13,1.6,13,2.3,15,///,///,2.3,14,2.1,16,0.8,16,1.5,1,2,15,0.3,6,0.6,14,3.1,14,1.2,14,5.1,13,3,16,2.9,15,3.4,13
2018年3月2日8時,2,13,3.8,14,2.9,13,3.4,13,2.6,15,7.6,13,2.3,12,1.7,14,///,///,3.3,14,2.3,16,2.3,2,2.2,1,2.1,1,1.5,16,1.7,16,3.5,14,0.3,5,4.8,13,2.2,16,2.4,16,4,14
2018年3月2日9時,3.3,13,4.7,14,3.8,12,3.3,13,3.8,15,5.9,13,2.9,12,3.2,15,///,///,2.2,14,3.1,16,2.9,3,1.1,15,2.8,1,2.1,16,1.8,13,3.2,15,4,15,7.5,13,2.6,16,3.4,16,3.7,14
2018年3月2日10時,4.6,14,2.4,12,3.1,12,2.5,15,3.5,15,6.9,13,1.9,13,2.7,15,///,///,3.5,14,1.4,16,2.2,1,1,12,4.1,1,1.2,2,2.3,12,2,13,3.3,16,7.1,15,2.2,16,3.7,16,3.8,14
2018年3月2日11時,4.8,13,3.6,15,3.8,13,3.4,15,2.8,15,5.3,13,1.6,14,1.8,14,///,///,2.4,14,3.9,16,1.7,1,2,14,3.5,1,0.7,12,1.5,11,3.3,11,3,14,5,14,4.4,16,2.5,16,4.4,14
2018年3月2日12時,5.3,14,3,14,4.8,14,3.4,16,2.3,15,6,13,3.8,2,3.3,15,///,///,3.1,15,3.9,16,2.4,15,1.2,11,3.2,1,1,15,1.3,7,3.2,9,1.2,1,4.2,15,3.6,15,2.9,16,2.4,13
