測定年度,測定局コード,市町村コード,測定項目コード,測定単位コード,測定月,測定日,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2011,12201050,103,NETR,0.01MJ, 4,31,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998,9998
2011,12201050,103,NETR,0.01MJ, 5, 1, -10, -10, -10, -11, -10,  -5,   2,   4,  10,  33,  45,  63,  96,  42,  12,  26,   8,   0,  -2,  -2,  -2, -12, -15, -17
2011,12201050,103,NETR,0.01MJ, 5, 2, -19, -21, -21, -23, -23,  -5,  45, 102, 158, 179, 203, 178, 204, 175, 126,  80,  36,  -3, -22, -23, -23, -21, -22, -23
2011,12201050,103,NETR,0.01MJ, 5, 3, -22, -21, -21, -20, -20,   1,  42,  61,  63,  52,  87,  51,  23,  43,  21,  -2,   0,  -1,  -4,  -4,  -5,  -5,  -5,  -3
2011,12201050,103,NETR,0.01MJ, 5, 4,  -4,  -6,  -5,  -7,  -6,  -3,  37, 110, 155, 195, 222, 230, 214, 199, 152,  96,  35,  -4, -21, -22, -24, -22, -19, -13
2011,12201050,103,NETR,0.01MJ, 5, 5, -15, -11, -18, -19,  -7,   2,  24,  65,  72,  87, 151, 137,  65,  54, 113,  78,  34,   4, -17, -11,  -6,  -6,  -6,  -6
2011,12201050,103,NETR,0.01MJ, 5, 6,  -6,  -8,  -4,  -4,  -4,  -1,  18,  60,  88, 177, 196, 171, 119,  76,  60,  28,   0,  -2, -12, -15, -14, -14,  -9,  -6
2011,12201050,103,NETR,0.01MJ, 5, 7,  -9, -10,  -8,  -7,  -5,  -2,   4,  14,  15,  32,  25,  57,  55,  29,  31,  30,  27,  20,  -3,  -3, -14, -20, -21, -20
2011,12201050,103,NETR,0.01MJ, 5, 8, -19, -17, -16, -16, -14,  -1,  49, 102, 167, 214, 239, 245, 221, 190, 130, 113,  54,  -2, -22, -23, -27, -27, -28, -26
2011,12201050,103,NETR,0.01MJ, 5, 9, -25, -24, -23, -23, -21,  -6,  16,  57, 132, 163, 204, 230, 225, 190, 124,  70,  29,   4, -21, -22, -18, -18, -19, -16
2011,12201050,103,NETR,0.01MJ, 5,10, -15, -13,  -9,  -8, -11,  -2,   7,  31,  75, 165, 161,9999,  58,  33,  16,  12,  12,   2,  -3,  -3,  -3,  -3,  -2,  -3
2011,12201050,103,NETR,0.01MJ, 5,11,  -4,  -3,  -3,  -3,  -3,   0,   7,  18,  21,  28,  33,  24,  24,  20,  19,  10,   6,   0,  -2,  -2,  -2,  -3,  -3,  -2
2011,12201050,103,NETR,0.01MJ, 5,12,  -2,  -2,  -2,  -2,  -2,   2,  11,  33,  38,  25,  51,  28,  27,  33,  24,   7,   8,   2,   0,   0,   0,   0,   0,   0
2011,12201050,103,NETR,0.01MJ, 5,13,   0,  -5,  -1,   0,   0,   3,  11,  38,  98, 145, 124, 208, 139, 109,  73,  47,  44,   5,  -7,  -7, -11, -10, -10,  -9
2011,12201050,103,NETR,0.01MJ, 5,14, -14, -14, -15, -24, -23,  -1,  55,  96, 162, 182, 225, 244, 223, 207, 170, 118,  41,  -5, -11, -18, -23, -19, -21, -22
2011,12201050,103,NETR,0.01MJ, 5,15, -25, -29, -30, -26, -23,   5,  66, 128, 181, 211, 243, 250, 228, 215, 156,  95,  41,  -2, -21, -24, -23, -22, -22, -23
2011,12201050,103,NETR,0.01MJ, 5,16, -24, -25, -25, -24, -22,  -2,  29,  67, 101, 130, 170, 195, 165, 113,  62,  33,  12,  -1, -15, -18, -17, -16, -15, -15
2011,12201050,103,NETR,0.01MJ, 5,17, -14, -14, -13, -12, -11,  -3,   9,  38,  28,  29,  52,  73, 121, 100,  91,  28,  -4,  -4,  -6,  -8,  -8,  -9, -15, -15
2011,12201050,103,NETR,0.01MJ, 5,18, -16, -20, -15, -18, -16,   2,  33,  96, 156, 167, 234, 138, 198, 188, 155, 113,  55,   6, -20, -25, -25, -25, -24, -24
2011,12201050,103,NETR,0.01MJ, 5,19, -23, -23, -23, -24, -22,   5,  62, 123, 173, 208, 232, 240, 223, 212, 169, 120,  61,   1, -26, -27, -25, -19, -19, -24
2011,12201050,103,NETR,0.01MJ, 5,20, -23, -23, -23, -21, -20,   5,  55, 112, 163, 201, 203, 226, 209, 193, 154, 105,  49,   2, -22, -25, -24, -24, -23, -22
2011,12201050,103,NETR,0.01MJ, 5,21, -20, -20, -20, -20, -18,   4,  53, 111, 164, 202, 223, 229, 211, 191, 135, 113,  58,   5, -19, -19, -19, -19, -12, -18
2011,12201050,103,NETR,0.01MJ, 5,22, -19, -18, -11, -18, -15,  12,  64,  87, 157, 182, 224, 234, 170,  90,   2,  -3,   2,   2,  -3,  -4,  -4,  -4,  -3,  -4
2011,12201050,103,NETR,0.01MJ, 5,23,  -4,  -4,  -5,  -4,  -4,   6,  17,  25,  30,  27,  65,  63, 105,  78,  50,  20,   9,  -3,  -6,  -7,  -6,  -6,  -6,  -6
