,予測値,実測値,予測値_lug
7403,18.242739,13.0,19.92342
7404,19.92342,23.0,29.909882
7405,29.909882,15.0,15.955209
7406,15.955209,18.0,24.1833
7407,24.1833,24.0,25.640068
7408,25.640068,18.0,16.67237
7409,16.67237,0.99999994,6.726252
7410,6.726252,1.9999999,12.442229
7411,12.442229,6.0,14.835829
7412,14.835829,21.0,23.261847
7413,23.261847,24.0,23.144827
7414,23.144827,19.0,22.867733
7415,22.867733,11.000001,12.107762
7416,12.107762,14.0,16.733038
7417,16.733038,10.0,15.273204
7418,15.273204,7.9999995,13.692324
7419,13.692324,5.0,10.532037
7420,10.532037,3.9999998,7.576746
7421,7.576746,6.0,10.033994
7422,10.033994,7.0,11.404285
7423,11.404285,7.9999995,15.096779
7424,15.096779,7.0,12.962802
7425,12.962802,7.0,13.415323
7426,13.415323,7.9999995,14.831592
7427,14.831592,9.0,12.939116
7428,12.939116,11.000001,21.846235
7429,21.846235,35.0,38.533302
7430,38.533302,29.0,31.029793
7431,31.029793,35.0,38.34131
7432,38.34131,39.0,38.00924
7433,38.00924,44.000004,46.433838
7434,46.433838,41.0,42.040894
7435,42.040894,26.0,26.036789
7436,26.036789,23.0,28.896223
7437,28.896223,25.0,29.622248
7438,29.622248,25.0,29.424374
7439,29.424374,30.0,36.162914
7440,36.162914,34.0,38.870163
7441,38.870163,38.0,39.06899
7442,39.06899,36.0,37.43998
7443,37.43998,36.0,37.720623
7444,37.720623,34.0,33.015842
7445,33.015842,29.0,30.388832
7446,30.388832,29.0,32.74326
7447,32.74326,27.000002,29.891665
7448,29.891665,26.0,29.754488
7449,29.754488,24.0,27.657177
7450,27.657177,33.0,40.121998
7451,40.121998,41.0,44.07949
7452,44.07949,43.0,47.31187
7453,47.31187,46.0,47.183727
7454,47.183727,47.0,48.326504
7455,48.326504,42.0,41.240578
7456,41.240578,40.0,40.503036
7457,40.503036,37.0,36.43817
7458,36.43817,36.0,36.92466
7459,36.92466,35.0,37.14771
7460,37.14771,33.0,34.854584
7461,34.854584,31.0,34.265255
7462,34.265255,37.0,40.270515
7463,40.270515,37.0,36.944252
7464,36.944252,31.999998,31.54443
7465,31.54443,27.000002,27.253855
7466,27.253855,26.0,27.40757
7467,27.40757,27.000002,28.576027
7468,28.576027,27.000002,28.374086
7469,28.374086,24.0,25.351128
7470,25.351128,24.0,28.114557
7471,28.114557,24.0,28.105104
7472,28.105104,25.0,29.169127
7473,29.169127,23.0,27.364864
7474,27.364864,33.0,38.893566
7475,38.893566,38.0,42.10224
7476,42.10224,42.0,43.462944
7477,43.462944,42.0,44.484837
7478,44.484837,42.0,41.57702
7479,41.57702,41.0,42.396324
7480,42.396324,36.0,36.773853
7481,36.773853,34.0,37.555386
7482,37.555386,30.0,32.172665
7483,32.172665,29.0,33.194523
7484,33.194523,26.0,29.17452
7485,29.17452,23.0,28.06023
7486,28.06023,21.0,25.339775
7487,25.339775,19.0,21.327454
7488,21.327454,20.0,23.163622
7489,23.163622,23.0,26.411072
7490,26.411072,24.0,27.190744
7491,27.190744,26.0,27.454336
7492,27.454336,27.000002,29.235144
7493,29.235144,24.0,25.1678
7494,25.1678,20.0,25.370058
7495,25.370058,23.0,26.442776
7496,26.442776,24.0,27.520958
7497,27.520958,31.999998,37.16224
7498,37.16224,36.0,42.098602
7499,42.098602,41.0,45.19243
7500,45.19243,45.0,49.011066
7501,49.011066,48.0,49.728447
7502,49.728447,48.0,50.274685
7503,50.274685,48.0,48.434128
7504,48.434128,42.0,41.00003
7505,41.00003,36.0,36.154236
7506,36.154236,33.0,33.941574
7507,33.941574,34.0,34.55065
7508,34.55065,31.999998,33.614525
7509,33.614525,31.0,31.928102
7510,31.928102,31.0,32.142326
7511,32.142326,31.999998,32.8694
7512,32.8694,30.0,30.017672
7513,30.017672,28.0,29.520807
7514,29.520807,26.0,26.678377
7515,26.678377,20.0,20.504156
7516,20.504156,20.0,22.468683
7517,22.468683,21.0,23.726002
7518,23.726002,18.0,19.516409
7519,19.516409,13.0,17.46633
7520,17.46633,7.9999995,12.68669
7521,12.68669,9.0,12.7511
7522,12.7511,14.0,21.551538
7523,21.551538,20.5,26.042484
7524,26.042484,27.000002,30.49086
7525,30.49086,27.000002,28.851679
7526,28.851679,19.0,19.12074
7527,19.12074,6.0,11.944006
7528,11.944006,14.0,22.414982
7529,22.414982,21.0,24.414415
7530,24.414415,20.0,21.248768
7531,21.248768,12.0,11.347454
7532,11.347454,3.9999998,8.272663
7533,8.272663,15.0,22.420662
7534,22.420662,13.0,16.139675
7535,16.139675,14.0,18.117895
7536,18.117895,12.0,13.24508
7537,13.24508,5.0,7.2733507
7538,7.2733507,0.99999994,6.6509857
7539,6.6509857,0.99999994,7.6151037
7540,7.6151037,7.0,13.754572
7541,13.754572,11.000001,17.651266
7542,17.651266,15.999999,24.428675
7543,24.428675,27.000002,35.206314
7544,35.206314,30.0,38.696804
7545,38.696804,30.0,38.010994
7546,38.010994,33.0,40.612534
7547,40.612534,39.0,43.449444
7548,43.449444,42.0,45.613197
7549,45.613197,43.0,45.699947
7550,45.699947,39.0,41.437897
7551,41.437897,37.0,40.85506
7552,40.85506,31.999998,35.801147
7553,35.801147,30.0,33.49242
7554,33.49242,30.0,35.691544
7555,35.691544,31.0,34.360855
7556,34.360855,29.0,30.29209
7557,30.29209,26.0,31.167015
7558,31.167015,31.999998,35.345047
7559,35.345047,33.0,36.48746
7560,36.48746,33.0,35.084797
7561,35.084797,30.0,31.664312
7562,31.664312,29.0,31.773838
7563,31.773838,29.0,31.63981
7564,31.63981,24.0,24.970226
7565,24.970226,19.0,22.928183
7566,22.928183,15.999999,19.25702
7567,19.25702,11.000001,15.482236
7568,15.482236,9.0,13.505539
7569,13.505539,7.9999995,11.841565
7570,11.841565,11.000001,16.362188
7571,16.362188,14.0,19.359936
7572,19.359936,15.0,19.155804
7573,19.155804,18.0,21.3585
7574,21.3585,14.0,17.666344
7575,17.666344,9.0,13.170244
7576,13.170244,6.0,10.538431
7577,10.538431,7.9999995,12.486271
7578,12.486271,7.9999995,11.68634
7579,11.68634,9.0,11.154325
7580,11.154325,3.9999998,6.7825694
7581,6.7825694,0.99999994,6.6319876
7582,6.6319876,1.9999999,8.1797285
7583,8.1797285,1.9999999,8.193207
7584,8.193207,22.000002,33.53755
7585,33.53755,42.0,42.959927
7586,42.959927,45.0,42.998604
7587,42.998604,46.0,44.75503
7588,44.75503,46.0,46.41176
7589,46.41176,44.000004,42.761482
7590,42.761482,43.0,41.861202
7591,41.861202,37.0,35.222816
7592,35.222816,23.0,23.363926
7593,23.363926,12.0,17.061386
7594,17.061386,5.0,9.765615
7595,9.765615,13.0,28.164051
7596,28.164051,31.0,41.348797
7597,41.348797,43.0,47.63583
7598,47.63583,40.0,40.655144
7599,40.655144,35.0,37.10656
7600,37.10656,33.0,36.854397
7601,36.854397,34.0,37.57329
7602,37.57329,36.0,39.535305
7603,39.535305,36.0,38.95618
7604,38.95618,35.0,37.724728
7605,37.724728,31.0,32.986244
7606,32.986244,30.0,31.993221
7607,31.993221,26.0,25.639101
7608,25.639101,27.000002,29.196938
7609,29.196938,28.0,30.225063
7610,30.225063,29.0,29.869913
7611,29.869913,28.0,29.621027
7612,29.621027,28.0,30.742867
7613,30.742867,27.000002,28.711006
7614,28.711006,24.0,25.35062
7615,25.35062,21.0,24.083834
7616,24.083834,19.0,22.5299
7617,22.5299,22.000002,27.277212
7618,27.277212,23.0,28.421082
7619,28.421082,25.0,28.621115
7620,28.621115,25.0,28.62369
7621,28.62369,30.0,34.26842
7622,34.26842,30.0,31.50805
7623,31.50805,27.000002,27.721197
7624,27.721197,24.0,24.118681
7625,24.118681,18.0,17.946444
7626,17.946444,15.0,17.19933
7627,17.19933,7.9999995,11.478305
7628,11.478305,5.0,12.923677
7629,12.923677,9.0,14.1043415
7630,14.1043415,14.0,17.999752
7631,17.999752,9.0,9.402542
7632,9.402542,3.0,6.7451596
7633,6.7451596,3.0,10.87213
7634,10.87213,1.9999999,10.3185425
7635,10.3185425,7.9999995,14.911839
7636,14.911839,7.9999995,13.405244
