,0
SHAP_OX_01,8.828892215319971
SHAP_TEMP_01,8.023602657149299
SHAP_TEMP_02,5.244924005421748
SHAP_TEMP_24,4.337165937449485
SHAP_TEMP_22,2.6816232732559864
SHAP_TEMP_04,2.6432698821806815
SHAP_TEMP_21,2.617008907423867
SHAP_TEMP_23,2.2212676983604673
SHAP_TEMP_03,2.214012880891608
SHAP_HUM_01,2.1767348336921697
SHAP_TEMP_20,1.8129651877413813
SHAP_TEMP_05,1.705490691427545
SHAP_TEMP_07,1.5423027394482869
SHAP_TEMP_10,1.3088769893961376
SHAP_WS_01,1.2109479041905453
SHAP_TEMP_06,1.0789469868953088
SHAP_TEMP_11,1.0394770732170049
SHAP_HUM_02,0.9715263725161554
SHAP_TEMP_17,0.8063199448446116
SHAP_NO2_01,0.5837321018928973
