国環研局番,測定局名,緯度,経度
25201060,下阪本,35.06472222222222,135.87666666666667
25201070,藤尾,34.99027777777778,135.83805555555557
25201080,堅田,35.11388888888889,135.9186111111111
25201090,膳所,35.00277777777778,135.89027777777778
25201510,逢坂,35.00222222222222,135.86638888888888
25201540,石山,34.95583333333334,135.90916666666666
25201570,上田上,34.959722222222226,135.9713888888889
25202090,彦根,35.25222222222222,136.23944444444444
25203030,長浜,35.38861111111111,136.26694444444445
25204050,八幡,35.126111111111115,136.09444444444446
25205030,東近江,35.10611111111111,136.20388888888888
25206030,草津,35.013888888888886,135.95027777777776
25206510,自排草津,35.01166666666666,135.9611111111111
25207010,守山,35.06333333333333,135.98555555555555
25209010,甲賀,34.96472222222223,136.165
25212010,高島,35.405833333333334,136.04
26101010,北,35.04055555555556,135.73805555555555
26102510,自排上京,35.032777777777774,135.75916666666666
26103010,左京,35.04861111111111,135.77861111111113
26103810,比叡山,35.06472222222222,135.82916666666665
26104010,京都市役所,35.01166666666666,135.7675
26104060,壬生,34.99777777777778,135.73527777777775
26104510,自排大宮,35.00388888888889,135.7486111111111
26104520,自排西ノ京,35.0225,135.73166666666665
26106010,京都タワー,34.987500000000004,135.75916666666666
26106510,自排四条河原町,35.00361111111111,135.76944444444445
26107510,自排南,34.97694444444445,135.74638888888887
26109010,伏見,34.93222222222222,135.7575
26109020,久我,34.93833333333333,135.73222222222222
26109030,醍醐,34.94555555555555,135.80722222222224
26110010,山科,34.98861111111111,135.81222222222223
26110510,自排山科,34.972500000000004,135.81361111111113
26111010,西京,34.97222222222222,135.6977777777778
26201040,福知山,35.295833333333334,135.12666666666667
26202030,東舞鶴,35.472500000000004,135.39916666666667
26203010,綾部,35.302499999999995,135.2422222222222
26204010,宇治,34.88777777777778,135.79777777777778
26205020,宮津,35.532222222222224,135.19916666666668
26206010,亀岡,35.015277777777776,135.56333333333333
26207030,城陽,34.85305555555556,135.79
26208020,向陽,34.94694444444444,135.70416666666665
26210510,国道１号,34.85916666666667,135.7147222222222
26212010,京丹後,35.62638888888889,135.07416666666666
26213010,南丹,35.10861111111111,135.45499999999998
26303020,大山崎,34.907222222222224,135.69361111111112
26303510,国道１７１号,34.893055555555556,135.685
26322020,久御山,34.8875,135.73694444444442
26342020,田辺,34.823055555555555,135.76916666666668
26343010,井手,34.7975,135.8077777777778
26362020,木津,34.73777777777778,135.82638888888889
26366030,精華,34.74583333333334,135.76555555555555
26367010,南山城,34.765277777777776,136.0263888888889
27101010,菅北小学校,34.70861111111111,135.51361111111112
27101510,梅田新道,34.69611111111111,135.50166666666667
27103510,海老江西小学校,34.6975,135.47055555555556
27104010,此花区役所,34.68333333333333,135.4525
27106010,九条南小学校,34.67305555555555,135.4727777777778
27108010,平尾小学校,34.64138888888889,135.47444444444446
27113510,出来島小学校,34.70388888888889,135.43694444444444
27114510,上新庄交差点,34.74861111111111,135.52833333333334
27115010,国設大阪,34.6825,135.51916666666668
27115510,今里交差点,34.66833333333333,135.5427777777778
27116010,桃谷中学校,34.655,135.53333333333333
27117010,大宮中学校,34.727222222222224,135.54166666666666
27117510,新森小路小学校,34.71527777777778,135.5613888888889
27118020,聖賢小学校,34.6975,135.5425
27120510,我孫子中学校,34.60444444444445,135.51305555555555
27121510,杭全町交差点,34.63666666666666,135.53805555555556
27122010,今宮中学校,34.64861111111111,135.4983333333333
27123010,野中小学校,34.72805555555556,135.48083333333332
27124010,茨田北小学校,34.70888888888889,135.5861111111111
27124510,茨田中学校,34.70416666666667,135.57777777777778
27125010,清江小学校,34.60777777777778,135.4802777777778
27125030,南港中央公園,34.6325,135.43055555555554
27125510,北粉浜小学校,34.62277777777778,135.49027777777778
27125520,住之江交差点,34.60916666666667,135.47333333333333
27126010,摂陽中学校,34.61972222222222,135.54611111111112
27143510,中環石原,34.558611111111105,135.53083333333333
27146010,金岡南,34.555277777777775,135.5102777777778
27147010,美原,34.5375,135.56361111111113
27201020,少林寺,34.571111111111115,135.47194444444446
27201030,浜寺,34.54416666666666,135.45833333333331
27201050,石津,34.559999999999995,135.45583333333332
27201080,三宝,34.59305555555556,135.4727777777778
27201090,若松台,34.486666666666665,135.51222222222222
27201100,登美丘,34.52638888888889,135.5288888888889
27201340,深井,34.530833333333334,135.5013888888889
27201510,堺市役所,34.57416666666667,135.4836111111111
27201560,湾岸,34.55833333333333,135.4477777777778
27201570,常磐浜寺,34.56888888888889,135.51583333333335
27201580,阪和深井畑山,34.52833333333333,135.50722222222223
27201600,美原丹上,34.55305555555555,135.56472222222223
27202060,岸和田中央公園,34.46888888888889,135.39222222222222
27202530,天の川下水ポンプ場,34.48361111111111,135.38111111111112
27203030,豊中市千成,34.737500000000004,135.47416666666666
27203510,豊中市役所,34.780833333333334,135.46972222222223
27203520,豊中市千里,34.80722222222222,135.49055555555555
27204030,池田市立南畑会館,34.825,135.4475
27205060,吹田市垂水,34.759166666666665,135.5036111111111
27205080,吹田市北消防署,34.81166666666666,135.51694444444445
27205090,吹田市高野台,34.791666666666664,135.52083333333334
27205530,吹田簡易裁判所,34.756388888888885,135.5213888888889
27206030,泉大津市役所,34.504444444444445,135.41055555555556
27207020,高槻北,34.863055555555555,135.59861111111113
27207030,庄所,34.837500000000006,135.6147222222222
27207040,梶原,34.86555555555556,135.64944444444444
27207510,高槻市役所,34.84527777777778,135.61694444444444
27208010,貝塚市消防署,34.43583333333333,135.3661111111111
27209010,西部コミュニティセンター,34.72972222222222,135.55694444444447
27209040,大日測定局,34.75527777777778,135.5811111111111
27209510,淀川工科高校,34.73527777777778,135.56
27210010,枚方市役所,34.81444444444444,135.65083333333334
27210020,王仁公園,34.819722222222225,135.7072222222222
27210030,楠葉,34.859722222222224,135.68194444444444
27210510,招提,34.82972222222222,135.6875
27210520,中振,34.795833333333334,135.62666666666667
27211010,茨木市役所,34.81666666666667,135.5686111111111
27211020,耳原小学校,34.83888888888889,135.56194444444446
27212010,八尾市保健所,34.62555555555556,135.60222222222222
27212030,水越,34.63527777777778,135.63833333333332
27212510,太子堂,34.61277777777778,135.5888888888889
27212520,久宝寺緑地,34.62722222222222,135.57805555555555
27213050,佐野中学校,34.403888888888886,135.29888888888888
27213510,末広公園,34.39833333333333,135.30944444444447
27214020,富田林市役所,34.49944444444444,135.59722222222223
27215010,寝屋川市役所,34.76611111111111,135.62805555555556
27215020,成田,34.77722222222222,135.64083333333332
27216010,三日市公民館,34.43888888888888,135.56694444444443
