,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_04,SHAP_TEMP_24,SHAP_OX_03,SHAP_WS_01,SHAP_OX_22,SHAP_HUM_02,SHAP_OX_21
2019-04-19 10:00:00,-11.912400627136229,-6.568514239788056,-9.116872262954711,-0.29332284182310103,-1.4763032818562354,7.132367086410523,0.7471845865249634,0.6240130600519478,0.6583095833659172,1.8617192327976226
2019-04-19 11:00:00,-3.542556715011597,-5.365917956829072,-5.9470518112182615,0.9977636247873306,-1.4782970726490021,0.9412178754806517,1.177219069004059,0.6427698751911521,-3.206549572944641,3.0191204071044924
2019-04-19 12:00:00,2.544601142406464,-4.658509361743926,-1.509304828941822,2.2888498187065123,-1.4815365791320798,-3.31519730091095,0.9622017711400985,0.6146345423185267,-5.138979196548462,3.404920792579651
2019-04-19 13:00:00,6.349074459075929,-3.5266547739505767,2.2944774568080897,3.1764717102050786,-1.484776383638382,-7.571612310409546,1.607253223657608,0.6052560532931238,-7.84438009262085,4.176521921157837
2019-04-19 14:00:00,7.1099693298339846,-2.96072778403759,2.9284412741661074,4.064093780517578,-1.4852742999792097,-10.66718635559082,-1.187970393896103,0.5864992894232273,-10.163297271728515,5.333922433853149
2019-04-22 11:00:00,-8.868819761276246,-4.163323283195497,-5.9470518112182615,1.2398421838879583,-1.4730640053749084,3.262898254394531,-0.7579359114170074,0.6709051739424468,-3.9795212745666513,2.2475195646286013
2019-04-22 12:00:00,-3.162109136581422,-3.102209174633026,-2.777232789993286,1.8046924293041229,-1.4763032818562354,-0.606569654867053,-0.32790153194218874,0.6333914348855615,-5.138979196548462,2.63331995010376
2019-04-22 13:00:00,2.544601142406464,-2.25331826210022,-0.8753413483500481,2.6116214752197267,-1.4790446370840071,-4.862984323501587,0.31715015657246115,0.6240130600519478,-7.071408939361572,1.8617192327976226
2019-04-22 14:00:00,7.1099693298339846,-1.333686482766643,0.3925862807780504,3.499243330955507,-1.4805399477481842,-7.765085506439209,-0.9729531526565551,0.6427698751911521,-8.230866718292237,2.2475195646286013
2019-05-10 09:00:00,-14.95597658157349,-4.375545608997345,2.2944774568080897,0.9977636247873306,-1.4763032818562354,6.358473467826844,-2.478073525428772,0.8209603503346443,-9.776810455322266,-4.696887803077698
2019-05-10 10:00:00,-11.912400627136229,-4.163323283195497,2.2944774568080897,1.1591492637991905,-1.479792758822441,4.810686540603638,-1.4029874086380005,0.8022035464644433,-10.163297271728515,-5.082688820362091
2019-05-10 11:00:00,-1.2598723292350769,-2.465540897846222,6.732224225997925,1.4819209534674884,-1.4812876284122467,-1.767409974336624,-0.9729531526565551,0.8115819811820983,-10.163297271728515,-5.082688820362091
2019-05-10 12:00:00,7.1099693298339846,-2.04109551012516,10.536007118225097,2.853700029850006,-1.4822842240333556,-3.31519730091095,-0.7579359114170074,0.8115819811820983,-12.868698406219483,-4.696887803077698
2019-05-10 13:00:00,10.9144437789917,-1.1214636832475664,11.803934288024903,3.1764717102050786,-1.4835304528474809,-8.732452821731567,-1.4029874086380005,0.8022035464644433,-15.187614250183106,-3.539487105607987
2019-05-10 14:00:00,8.63175916671753,-0.48479526583105326,15.607718181610107,4.306171870231629,-1.4820352077484131,-12.988867473602294,-0.7579359114170074,0.774068184196949,-15.960583972930909,-3.9252875089645385
2019-05-10 15:00:00,8.63175916671753,-0.13109067976474761,13.705825233459473,5.193793797492981,-1.484277975559235,-14.923601627349854,-2.478073525428772,0.7834465265274048,-18.27950162887573,-5.854289484024048
2019-05-10 16:00:00,7.870864486694336,-0.2725725501775742,14.339790534973144,5.597258162498474,-1.482782366871834,-13.762761116027832,-1.8330219507217407,0.8303388327360153,-17.12004346847534,-9.326494598388672
2019-05-10 17:00:00,13.197128582000733,-0.8384997487068176,11.169971466064455,5.355179214477539,-1.4812876284122467,-13.762761116027832,-3.553159546852112,0.9147448506206276,-17.506528472900392,-12.798697090148924
2019-05-10 18:00:00,17.001601028442384,-1.899613456428051,7.366188383102416,5.355179214477539,-1.4773003756999967,-13.37581434249878,-4.198211073875426,0.9991508752107616,-15.574097919464112,-17.042502403259277
2019-05-10 19:00:00,15.479811096191408,-3.102209174633026,6.098260498046875,5.27448673248291,-1.4745588809251786,-16.08444299697876,-0.7579359114170074,1.1023136608302595,-13.25518341064453,-19.35730333328247
2019-05-11 09:00:00,-12.673292636871338,-5.719623589515686,-4.045160698890686,0.3522204488515855,-1.4830316543579103,5.197633171081543,1.177219069004059,0.5396069845184683,-7.457894802093506,8.034526348114014
2019-05-11 10:00:00,-5.064346122741699,-4.375545608997345,-4.045160698890686,1.4012280896306035,-1.4890125334262847,0.9412178754806517,-0.32790153194218874,0.4927147075533867,-6.29843683242798,6.87712459564209
2019-05-11 11:00:00,5.588179683685302,-4.021841210126877,-2.1432697236537934,2.2888498187065123,-1.4905080027878288,-2.9282506942749023,-1.6180047631263732,0.5208500374108553,-6.29843683242798,6.87712459564209
2019-05-11 12:00:00,10.15354700088501,-2.3948000758886336,4.196368741989136,3.095778810977936,-1.4937474116683005,-6.797718524932861,-0.7579359114170074,0.5208500374108553,-7.457894802093506,6.491324853897095
2019-05-11 13:00:00,15.479811096191408,-0.9799817271530629,9.268079566955567,3.9027077198028572,-1.495990128815174,-12.21497449874878,-1.187970393896103,0.5302286490797996,-11.322755241394042,9.191928005218506
2019-05-11 14:00:00,23.84965229034423,-0.2018316552042961,9.268079566955567,5.0324084043502815,-1.4972362533211707,-14.536654949188232,-1.6180047631263732,0.4645793899893761,-14.41464147567749,11.120929431915282
