,0
SHAP_OX_01,9.462802346710763
SHAP_TEMP_01,8.197127043315465
SHAP_TEMP_24,3.3953773209937776
SHAP_HUM_01,3.3774874504178976
SHAP_TEMP_18,2.8220152267214393
SHAP_TEMP_20,2.676657670557219
SHAP_OX_22,2.0316913298137176
SHAP_TEMP_03,1.9067490451390505
SHAP_OX_17,1.7657680382487277
SHAP_TEMP_08,1.7540705899310645
SHAP_TEMP_22,1.6235859687831524
SHAP_TEMP_04,1.596073961103389
SHAP_TEMP_07,1.436056334767204
SHAP_TEMP_21,1.3577976389050794
SHAP_OX_04,1.2808394119185667
SHAP_TEMP_09,1.0961005524356775
SHAP_OX_03,1.0418946962515938
SHAP_HUM_24,1.0226022623594093
SHAP_OX_18,1.0217391671010958
SHAP_OX_02,1.0010965829735379
