,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_04,SHAP_OX_05,SHAP_TEMP_24,SHAP_WS_01,SHAP_OX_17,SHAP_TEMP_08,SHAP_OX_03
2019-04-06 12:00:00,-0.5937889888882637,-16.49318542480469,1.7694541379809379,-3.060410106182098,-0.310820617666468,-1.5185528054833413,-1.2644432663917542,2.1774450287222864,11.094687867164613,-3.0717160463333135
2019-04-06 13:00:00,3.0942938804626463,-16.114022254943848,1.9321377396583557,-3.697400951385498,-0.6267929717898368,-1.2758508056402207,-1.2644432663917542,0.6176484260708094,12.192770409584046,-3.9926461696624758
2019-04-06 14:00:00,4.56952702999115,-16.303601074218747,1.8507960841059685,-4.20699360370636,-0.8901034608483315,-1.3837182134389878,-1.9284673333168034,3.2915854156017303,10.98487846851349,-5.143808341026307
2019-04-18 13:00:00,6.044760227203369,-13.080712699890137,1.2814031213521957,-3.4426047086715696,-0.2581584885716438,-2.8399290055036546,-2.4596867084503176,-0.719320535287261,10.106411218643188,-3.9926461696624758
2019-04-18 14:00:00,6.782376527786255,-10.426569271087645,1.5254286255687475,-4.20699360370636,-0.7847792461514473,-2.9477966755628584,-2.1940770983695983,-0.719320535287261,8.788711309432983,-5.604273176193237
2019-04-18 15:00:00,6.044760227203369,-11.374477100372314,1.8507960841059685,-5.098780679702759,-1.100751669704914,-3.0017301440238953,-2.5924916744232176,-1.3878045916557311,4.835610270500182,-7.215900421142576
2019-04-19 10:00:00,-10.182804727554322,-14.028621101379395,-0.10140829244628549,0.7615356475114823,0.9004070878028869,-2.2196906536817553,0.19641019171103835,8.193804025650024,8.898519396781921,2.914326632022858
2019-04-19 11:00:00,-7.232337617874146,-14.597367095947266,-0.10140829244628549,-0.3850481152534485,0.9530689775943756,-2.0309227287769316,-0.4676141353324056,6.634006810188294,9.337752866744996,-0.30892718452960255
2019-04-19 12:00:00,-0.5937889888882637,-13.270294570922852,0.22395918667316433,-2.1686224713921547,0.4791104026138783,-1.788221337646246,-0.4676141353324056,3.7372416496276855,9.776986408233643,-2.1507865488529205
2019-04-19 13:00:00,7.519992876052856,-11.564059734344482,0.4679847866296768,-3.187808299064636,-0.2581584885716438,-1.4106851249933243,-1.2644432663917542,1.9546170979738235,9.996602869033813,-3.0717160463333135
2019-04-19 14:00:00,11.945692825317385,-10.047405433654784,0.7933520521968603,-3.697400951385498,-0.6794550687074661,-1.5455194458365438,-2.1940770983695983,0.840476282313466,7.910244357585907,-5.143808341026307
2019-04-21 13:00:00,-0.5937889888882637,-14.028621101379395,-0.3454336628317833,-2.9330118179321287,-0.04751022160053253,-2.6241946309804915,-1.5300528168678282,-1.6106324791908264,10.765261363983155,-2.841483867168426
2019-04-22 10:00:00,-12.026844501495363,-13.83904047012329,-0.7521428808569908,1.525924700498581,1.269041508436203,-2.5702607721090316,-0.8660286396741868,7.079663324356079,6.263118171691895,4.525953984260559
2019-04-22 11:00:00,-0.5937889888882637,-10.616149711608887,-0.26409189254045484,0.5067393533885479,1.269041508436203,-2.3275582879781727,-0.8660286396741868,5.742694449424745,5.933693969249726,1.9933973401784897
2019-04-22 12:00:00,5.307143592834473,-7.5828431129455565,0.30530106127262113,-0.8946406438946726,0.8477450311183929,-1.9230552360415456,-1.1316382527351379,4.405726182460786,6.263118171691895,-1.5752056300640107
2019-04-22 13:00:00,8.995226287841797,-4.928698325157166,0.4679847866296768,-2.8693126797676087,0.26846215128898626,-1.734287590906024,-0.20200437754392625,1.731788945198059,6.1533103585243225,-5.143808341026307
2019-04-22 15:00:00,8.995226287841797,-7.39326105117798,0.22395918667316433,-5.863170099258423,-1.3640620261430738,-1.5455194458365438,-1.662857711315155,-0.2736643999814987,2.5296339236199854,-8.13683042526245
2019-05-10 10:00:00,-6.494721174240112,-7.5828431129455565,1.6881121888756752,-0.6398442104458809,0.3211242351680994,-2.057889834046364,-0.4676141353324056,0.6176484260708094,6.1533103585243225,1.7631646379828454
2019-05-10 11:00:00,2.3566773533821106,-5.6870252132415775,2.0948214799165727,-1.0220388323068617,0.3737863461227334,-1.9230552360415456,-2.4596867084503176,-0.719320535287261,6.702352917194366,-1.460089272260666
2019-05-10 12:00:00,6.782376527786255,-3.2224625825881956,2.3388471245765685,-2.8056136369705205,0.21580020189285273,-1.8691216006875038,-1.1316382527351379,-2.5019453767687083,7.251394271850586,-3.3019487261772156
2019-05-10 13:00:00,11.945692825317385,-2.084971976280212,2.4201890766620635,-3.824799108505249,-0.5214687846601009,-1.9230552360415456,-0.8660286396741868,-2.7247732490301133,6.592544615268707,-6.064738416671753
2019-05-10 14:00:00,18.584242057800292,-2.843299341201782,2.4201890766620635,-5.353577566146851,-0.9427655532956123,-1.8960889279842377,-1.1316382527351379,-3.170429104566574,3.847334313392639,-7.446133041381836
2019-05-10 15:00:00,20.79709053039551,-2.843299341201782,2.1761633932590483,-6.117966413497925,-1.5747101366519929,-1.8421549946069717,-3.522125768661499,-3.170429104566574,0.22365841194987296,-9.05775942802429
2019-05-10 16:00:00,18.584242057800292,-5.4974434852600105,1.7694541379809379,-7.009754705429077,-1.89068289399147,-2.0039563298225405,-4.451759767532349,-2.7247732490301133,-2.8509760737419128,-11.129851818084715
2019-05-10 17:00:00,17.84662504196167,-6.634934043884277,1.8507960841059685,-8.156338310241699,-2.259316965937614,-1.950022554397583,-3.9205402612686155,-2.7247732490301133,-3.839251363277435,-11.820548343658446
