,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_TEMP_21,SHAP_HUM_02,SHAP_OX_02,SHAP_WS_01,SHAP_TEMP_04,SHAP_TEMP_20,SHAP_TEMP_05,SHAP_TEMP_06,SHAP_WS_02,SHAP_TEMP_22,SHAP_TEMP_24,SHAP_WD_03,SHAP_WS_03,SHAP_WD_02,SHAP_SPM_03,SHAP_SPM_04,SHAP_HUM_03,SHAP_WD_04,SHAP_WS_04,SHAP_TEMP_19,SHAP_OX_16,SHAP_OX_05,SHAP_NO2_15,SHAP_TEMP_07,SHAP_OX_18,SHAP_OX_17,SHAP_NOX_15
2019-04-22 10:00:00,-14.918043899536134,-26.89481430053711,-6.1872352123260494,-3.8366860270500185,-1.0677556142210958,2.922490429878235,1.2837201058864591,8.497805643081666,-2.3648839354515077,4.603128862380982,6.124602371454238,1.442084896564484,-4.282507169246673,9.827122020721436,-2.3977436423301697,-0.05452986462041733,-3.0802907705307008,0.5440819174051285,-0.30152279827743766,-0.4293274194002151,-1.8042520761489869,-0.19691330902278423,-0.3407117139548063,-1.751049971580505,-0.07962867505848406,-2.0234769344329835,-1.8414806246757507,-0.16819626949727534,-0.5855529338121415,-1.7311859488487245
2019-04-22 11:00:00,-6.272302961349487,-22.10856647491455,-4.364380288124085,-3.696127164363861,-0.6801903516054153,2.0202992916107183,1.2837201058864591,7.4915406703948975,-2.6748716235160828,3.975455474853516,5.859945315122604,0.678186482191086,-4.3344053506851195,8.164359855651856,-2.7418943405151373,1.1629878163337706,-2.6549521565437315,1.32928032875061,0.18635870418511333,-0.34857607036828997,-1.8042520761489869,-0.4002778381109239,-0.3407117139548063,-1.8506798684597014,-0.0891785591840744,-1.6811884164810185,-1.8628881931304933,-0.31768846958875663,-0.4936199337244034,-1.48100848197937
2019-05-10 09:00:00,-11.67589225769043,-21.510284996032716,4.749897217750549,-3.227598190307617,0.04649445489048956,2.348368835449219,-0.38677278775721785,9.25250277519226,-1.942173302173615,4.872132444381714,6.124602371454238,-0.08571206480264662,-3.867323911190033,6.326569414138794,-2.7418943405151373,-0.5415369749069214,-2.6549521565437315,-1.8115131616592404,-1.0333450376987459,-0.1668857283890247,1.7167094111442567,-0.8070068597793579,-0.13877531439065932,-1.4521603852510452,-0.08201617891900241,-1.6811884164810185,-1.8200732707977292,-0.31768846958875663,-0.5671662792563439,-1.48100848197937
2019-05-10 10:00:00,-2.4897913336753845,-19.117161655426024,7.028466415405274,-2.9933335304260256,0.48250532895326614,1.5281951904296875,-3.3936603307723994,7.239975833892823,-1.9985348463058472,4.37896008491516,6.256931161880493,-0.5949778050184251,-3.659732574224473,5.976514101028442,-2.3977436423301697,-0.29803343862295156,-3.0802907705307008,-0.3392661830410362,-1.7651674270629876,-0.1164162054657936,-2.0557493209838866,-0.8070068597793579,-0.1808453038334846,-1.5185803920030594,-0.07962867505848406,-1.3388999938964845,-1.8628881931304933,-0.34068725630640984,-0.5763596400618554,-1.230830955505371
2019-05-10 11:00:00,5.0752316236495965,-13.433489131927491,8.395607566833496,-3.0870392203331005,0.7247336000204087,0.1338999703526497,-3.059561443328858,5.3113037109375,-2.1394384026527407,3.3029475450515746,5.529123306274413,-2.886673498153686,-3.4002422928810128,6.501597452163698,-2.7418943405151373,-0.7850404918193817,3.2997890233993536,-0.9281648904085159,-0.545463564991951,-0.02557095736265182,-1.8042520761489869,-0.6036423176527024,-0.22291542813181878,-1.5850003063678741,-0.0533667815849185,-0.4831788033246994,-1.9057033300399777,-0.32918788194656373,-0.5579730555415153,-0.6053873896598817
2019-05-10 12:00:00,7.777025556564331,-11.638646411895753,8.395607566833496,-3.3213038802146913,0.870070512406528,-1.014343124628067,0.2814244065433741,2.7956448793411255,-2.2803418159484865,2.271768939495087,3.9411783725023275,-2.6320407152175904,-3.5040381789207458,6.151541757583618,2.420370018482209,-2.9765724897384644,2.4491117119789125,-0.6337155640125275,-1.0333450376987459,0.02489858567714681,-2.0557493209838866,-1.0103713989257812,-0.25657156519591806,-1.8506798684597014,-0.03904200904071333,1.2282635986804964,-1.6702206611633301,-0.3521866757422686,-0.5395864471793175,0.7705886207520961
2019-05-10 13:00:00,9.938460445404052,-9.245522594451904,11.585604763031006,-3.555568516254425,0.870070512406528,-1.4244298815727234,-0.0526741706766188,2.124802577495575,-2.3930646419525146,0.9267535120248794,2.4193979680538176,-0.08571206480264662,-3.763528037071228,5.71397294998169,1.7320680737495422,-2.733068704605102,3.2997890233993536,-0.24111639074981212,-0.7894043445587159,0.05518027693033219,1.7167094111442567,-2.840651917457581,-0.3154695808887481,-2.3488290309906015,-0.015167461149394535,3.7954272270202636,-1.15644052028656,-0.37518548406660557,-0.46604008646681905,2.6469194889068604
2019-05-10 14:00:00,12.099895572662351,-7.151538372039795,10.674176883697509,-3.742980122566223,1.2091901183128355,-1.752499270439148,-0.38677278775721785,0.5315518982708454,-2.590329372882843,0.5680826604366302,0.4344669461250306,-0.3403449133038521,-4.023017406463623,5.889000654220581,2.420370018482209,-0.29803343862295156,-2.6549521565437315,-0.24111639074981212,-0.46414998173713684,0.05518027693033219,1.2137148916721343,-2.6372873663902285,-0.3407117139548063,-2.9133983016014096,0.025419306382536876,5.506869983673096,-0.6640677094459534,-0.46718066930770885,-0.3281405732035637,5.2737830638885494
2019-05-10 15:00:00,12.099895572662351,-5.65583529472351,11.585604763031006,-4.070950877666474,1.112298797816038,-2.0805688440799717,-1.0549699544906619,0.028420148298027924,-2.6748716235160828,-0.2837604742497206,-0.09484784249216316,-0.5949778050184251,-4.2306092262268065,6.326569414138794,-2.3977436423301697,-0.5415369749069214,1.5984345436096192,-0.24111639074981212,-0.46414998173713684,0.12583776265382765,1.7167094111442567,-0.6036423176527024,-0.4500937931239605,-3.1790777564048764,0.05884337723255158,5.164581298828126,-0.02184232026338578,-0.6396716336719692,-0.1718544825911522,5.2737830638885494
2019-05-10 18:00:00,9.938460445404052,-18.219739437103275,2.015614056587219,-5.382832086086273,0.19183141607791185,-2.0805688440799717,-8.071040725708007,-1.6486856997013093,-3.71755735874176,-1.2252712845802307,-2.2782721370458603,-7.979331398010254,-5.424261593818665,7.726790142059326,-0.6769887149333953,-7.846642971038818,-0.5282587319612503,0.6422317683696745,-0.7894043445587159,0.05518027693033219,-0.2952686004340649,-1.4171004056930543,-0.7025142639875412,-3.1790777564048764,0.08988065570592885,2.426273465156555,0.6846055515110493,-0.932906283158809,-0.0891147622372955,1.646209728717804
