,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_04,SHAP_OX_03,SHAP_OX_05,SHAP_OX_18,SHAP_TEMP_03,SHAP_TEMP_21,SHAP_TEMP_22
2019-04-21 12:00:00,-7.642626762390137,-30.15637626647949,-5.252886533737184,-0.25100703686475756,1.9156605422496795,-0.8755224421620369,-3.9668969392776487,17.473595428466798,-4.09432775080204,-1.0288474887609484
2019-04-22 12:00:00,-6.989640140533448,-17.163374042510988,-4.4200315237045285,-0.21790889110416173,2.5402845949400215,-0.31145268119871616,0.3174085125327111,15.122257518768311,-3.133774077892303,-1.347049130499363
2019-04-22 13:00:00,-4.377694606781006,-13.165526008605957,-3.5871761083602904,-0.48269435316324233,-0.8951484970748425,-1.721626991033554,-2.895820379257202,12.183085060119629,-3.347230446338653,-1.3277641497552395
2019-05-10 08:00:00,-23.967290496826173,-31.15583763122558,-0.6721826925873756,0.24546568244695663,11.90964722633362,-0.31145268119871616,-2.18176919221878,24.527614021301268,-3.261847889423371,-1.2409818824380638
2019-05-10 09:00:00,-13.519504928588868,-21.827527809143067,3.0756651997566222,0.5102511364035308,7.849590277671814,0.252616997808218,-2.538794910907746,20.8046573638916,-3.2191566944122316,-1.2699092760682105
2019-05-10 10:00:00,-4.377694606781006,-17.163374042510988,5.574230265617371,0.07997482791543009,5.351093924045563,1.3807563543319703,-2.895820379257202,16.29792766571045,-3.133774077892303,-1.2891944020986557
2019-05-10 11:00:00,3.4581430315971375,-15.164448928833007,6.40708589553833,-0.18481066897511483,0.35410003587603567,-0.4524701699614525,-2.895820379257202,10.81147108078003,-3.304539179801941,-1.3277641497552395
2019-05-10 12:00:00,7.376062107086182,-8.501370239257813,7.656368446350098,-0.7143816292285919,-4.01826958656311,-1.5806095004081724,-3.252846336364746,8.068242406845092,-3.304539179801941,-1.2506241302937269
2019-05-10 13:00:00,9.988008213043212,-5.502984714508057,8.072796034812928,-1.1777561873197553,-7.766014575958252,-3.8368884086608888,-3.9668969392776487,6.892573380470276,-3.389921760559082,-1.2506241302937269
2019-05-10 14:00:00,3.4581430315971375,-8.16821608543396,7.239940881729126,-1.5749344542622568,-9.639888286590576,-5.811132025718689,-5.394998264312745,2.9736763656139376,-3.453958624601364,-1.2120543438009916
2019-05-10 15:00:00,8.682035541534423,-6.502446103096008,6.823513412475586,-1.7735233303159474,-10.88913550376892,-7.503341436386108,-7.180125808715822,1.2101724743843079,-3.539341300725937,-1.1831269940361382
