測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
34201020,2024/05/01,01,0,0,0.002,0.002,,0.047,,,,0.011,9,,NW,0.8,,
34201020,2024/05/01,02,0,0,0.001,0.001,,0.046,,,,0.014,3,,N,1.4,,
34201020,2024/05/01,03,0,0,0.001,0.001,,0.045,,,,0.014,14,,NNW,1.2,,
34201020,2024/05/01,04,0,0,0.001,0.001,,0.044,,,,0.014,10,,N,1.5,,
34201020,2024/05/01,05,0,0,0.002,0.002,,0.043,,,,0.014,1,,NNW,1.4,,
34201020,2024/05/01,06,0,0,0.002,0.002,,0.043,,,,0.016,11,,N,1.1,,
34201020,2024/05/01,07,0,0,0.003,0.003,,0.042,,,,0.018,20,,NNW,1.2,,
34201020,2024/05/01,08,0,0,0.004,0.004,,0.042,,,,0.016,8,,NNW,1.4,,
34201020,2024/05/01,09,0,0,0.004,0.004,,0.041,,,,0.014,18,,NNW,1.0,,
34201020,2024/05/01,10,0,0.001,0.005,0.006,,0.039,,,,0.011,5,,NNW,1.1,,
34201020,2024/05/01,11,0,0.001,0.005,0.006,,0.040,,,,0.013,26,,NNW,1.6,,
34201020,2024/05/01,12,0,0.001,0.004,0.005,,0.042,,,,0.010,7,,NNW,1.9,,
34201020,2024/05/01,13,0,0.001,0.003,0.004,,0.041,,,,0.012,20,,NNW,1.6,,
34201020,2024/05/01,14,0,0,0.004,0.004,,0.044,,,,0.011,12,,N,1.5,,
34201020,2024/05/01,15,0,0,0.004,0.004,,0.043,,,,0.013,4,,NW,1.5,,
34201020,2024/05/01,16,0,0,0.004,0.004,,0.042,,,,0.013,8,,NNW,1.4,,
34201020,2024/05/01,17,0,0,0.004,0.004,,0.042,,,,0.013,0,,NNW,1.3,,
34201020,2024/05/01,18,0,0,0.004,0.004,,0.042,,,,0.012,1,,NNW,1.3,,
34201020,2024/05/01,19,0,0,0.004,0.004,,0.041,,,,0.013,9,,NNW,0.8,,
34201020,2024/05/01,20,0,0,0.004,0.004,,0.041,,,,0.013,12,,NW,0.9,,
34201020,2024/05/01,21,0,0,0.003,0.003,,0.045,,,,0.010,9,,NNW,0.8,,
34201020,2024/05/01,22,0,0,0.003,0.003,,0.043,,,,0.012,11,,NW,0.9,,
34201020,2024/05/01,23,0,0,0.003,0.003,,0.043,,,,0.009,7,,W,0.6,,
