測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
22219010,2024/05/01,01,,,,,,-,,,,,12,,,,,
22219010,2024/05/01,02,,,,,,0.026,,,,,9,,,,,
22219010,2024/05/01,03,,,,,,0.029,,,,,8,,,,,
22219010,2024/05/01,04,,,,,,0.019,,,,,9,,,,,
22219010,2024/05/01,05,,,,,,0.010,,,,,8,,,,,
22219010,2024/05/01,06,,,,,,0.008,,,,,8,,,,,
22219010,2024/05/01,07,,,,,,0.009,,,,,10,,,,,
22219010,2024/05/01,08,,,,,,0.011,,,,,9,,,,,
22219010,2024/05/01,09,,,,,,0.020,,,,,8,,,,,
22219010,2024/05/01,10,,,,,,0.021,,,,,10,,,,,
22219010,2024/05/01,11,,,,,,0.024,,,,,9,,,,,
22219010,2024/05/01,12,,,,,,0.033,,,,,7,,,,,
22219010,2024/05/01,13,,,,,,0.036,,,,,8,,,,,
22219010,2024/05/01,14,,,,,,0.034,,,,,7,,,,,
22219010,2024/05/01,15,,,,,,0.042,,,,,3,,,,,
22219010,2024/05/01,16,,,,,,0.045,,,,,1,,,,,
22219010,2024/05/01,17,,,,,,0.048,,,,,5,,,,,
22219010,2024/05/01,18,,,,,,0.049,,,,,5,,,,,
22219010,2024/05/01,19,,,,,,0.053,,,,,9,,,,,
22219010,2024/05/01,20,,,,,,0.052,,,,,8,,,,,
22219010,2024/05/01,21,,,,,,0.053,,,,,9,,,,,
22219010,2024/05/01,22,,,,,,0.052,,,,,6,,,,,
22219010,2024/05/01,23,,,,,,0.052,,,,,3,,,,,
22219010,2024/05/01,24,,,,,,0.051,,,,,3,,,,,
22219010,2024/05/02,01,,,,,,-,,,,,5,,,,,
22219010,2024/05/02,02,,,,,,0.051,,,,,5,,,,,
22219010,2024/05/02,03,,,,,,0.051,,,,,3,,,,,
22219010,2024/05/02,04,,,,,,0.050,,,,,5,,,,,
22219010,2024/05/02,05,,,,,,0.050,,,,,8,,,,,
22219010,2024/05/02,06,,,,,,0.050,,,,,6,,,,,
22219010,2024/05/02,07,,,,,,0.049,,,,,4,,,,,
22219010,2024/05/02,08,,,,,,0.050,,,,,5,,,,,
22219010,2024/05/02,09,,,,,,0.050,,,,,7,,,,,
22219010,2024/05/02,10,,,,,,0.051,,,,,9,,,,,
22219010,2024/05/02,11,,,,,,0.054,,,,,9,,,,,
22219010,2024/05/02,12,,,,,,0.058,,,,,6,,,,,
22219010,2024/05/02,13,,,,,,0.060,,,,,7,,,,,
22219010,2024/05/02,14,,,,,,0.065,,,,,8,,,,,
22219010,2024/05/02,15,,,,,,0.067,,,,,9,,,,,
22219010,2024/05/02,16,,,,,,0.066,,,,,9,,,,,
22219010,2024/05/02,17,,,,,,0.065,,,,,7,,,,,
22219010,2024/05/02,18,,,,,,0.060,,,,,11,,,,,
22219010,2024/05/02,19,,,,,,0.045,,,,,7,,,,,
22219010,2024/05/02,20,,,,,,0.036,,,,,10,,,,,
22219010,2024/05/02,21,,,,,,0.028,,,,,7,,,,,
22219010,2024/05/02,22,,,,,,0.022,,,,,9,,,,,
22219010,2024/05/02,23,,,,,,0.018,,,,,7,,,,,
22219010,2024/05/02,24,,,,,,0.018,,,,,6,,,,,
22219010,2024/05/03,01,,,,,,-,,,,,6,,,,,
