測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
33202530,2024/05/01,01,,0.001,0.004,0.005,0.2,,,,,0.013,10,,N,1.3,,
33202530,2024/05/01,02,,0.001,0.004,0.005,0.2,,,,,0.017,11,,ENE,0.8,,
33202530,2024/05/01,03,,0.001,0.006,0.007,0.2,,,,,0.007,8,,NE,1.6,,
33202530,2024/05/01,04,,0.001,0.004,0.005,0.2,,,,,0.011,10,,NE,1.3,,
33202530,2024/05/01,05,,0.001,0.004,0.005,0.1,,,,,0.011,14,,N,0.7,,
33202530,2024/05/01,06,,0.001,0.005,0.006,0.2,,,,,0.012,14,,NNW,1.3,,
33202530,2024/05/01,07,,0.001,0.004,0.005,0.2,,,,,0.012,14,,NE,0.8,,
33202530,2024/05/01,08,,0.001,0.005,0.006,0.2,,,,,0.014,13,,NNE,1.5,,
33202530,2024/05/01,09,,0.001,0.006,0.007,0.2,,,,,0.017,14,,NE,1.8,,
33202530,2024/05/01,10,,0.001,0.005,0.006,0.2,,,,,0.011,10,,NNE,2.5,,
33202530,2024/05/01,11,,0.001,0.004,0.005,0.2,,,,,0.011,9,,NNE,2.8,,
33202530,2024/05/01,12,,0,0.003,0.003,0.2,,,,,0.007,9,,NNE,3.0,,
33202530,2024/05/01,13,,0,0.003,0.003,0.2,,,,,0.011,12,,NNE,2.1,,
33202530,2024/05/01,14,,0.001,0.003,0.004,0.1,,,,,0.012,14,,NNE,2.5,,
33202530,2024/05/01,15,,0,0.003,0.003,0.2,,,,,0.012,13,,N,1.9,,
33202530,2024/05/01,16,,0.001,0.004,0.005,0.2,,,,,0.013,12,,NNE,1.8,,
33202530,2024/05/01,17,,0,0.004,0.004,0.1,,,,,0.011,14,,NNE,1.7,,
33202530,2024/05/01,18,,0.001,0.004,0.005,0.2,,,,,0.012,13,,N,2.7,,
33202530,2024/05/01,19,,0,0.004,0.004,0.2,,,,,0.012,13,,NNW,1.1,,
33202530,2024/05/01,20,,0.001,0.005,0.006,0.2,,,,,0.013,14,,N,0.5,,
33202530,2024/05/01,21,,0.001,0.006,0.007,0.2,,,,,0.010,13,,NNW,0.6,,
33202530,2024/05/01,22,,0.001,0.006,0.007,0.2,,,,,0.013,9,,NW,0.7,,
33202530,2024/05/01,23,,0.001,0.004,0.005,0.1,,,,,0.008,8,,NNW,1.1,,
33202530,2024/05/01,24,,0,0.003,0.003,0.1,,,,,0.007,9,,WNW,0.7,,
33202530,2024/05/02,01,,0,0.004,0.004,0.1,,,,,0.008,9,,NNW,0.9,,
