測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
09205010,2024/05/01,01,,0.001,0.002,0.003,,0.007,0.11,1.93,2.04,0.014,7,,NNW,1.3,,
09205010,2024/05/01,02,,0.001,0.002,0.003,,0.007,0.11,1.99,2.10,0.012,7,,NNW,0.7,,
09205010,2024/05/01,03,,0.001,0.002,0.003,,-,0.11,2.07,2.18,0.011,6,,CALM,0.3,,
09205010,2024/05/01,04,,0.001,0.002,0.003,,0.006,0.11,2.08,2.19,0.013,6,,NW,0.7,,
09205010,2024/05/01,05,,0.001,0.002,0.003,,0.006,0.11,1.99,2.10,0.010,6,,WNW,0.6,,
09205010,2024/05/01,06,,0.001,0.002,0.003,,0.005,0.10,1.94,2.04,0.011,6,,CALM,0.3,,
09205010,2024/05/01,07,,0.001,0.003,0.004,,0.005,0.13,1.96,2.09,0.011,4,,CALM,0.1,,
09205010,2024/05/01,08,,0.002,0.004,0.006,,0.005,0.14,1.95,2.09,0.014,5,,CALM,0.3,,
09205010,2024/05/01,09,,0.002,0.005,0.007,,0.010,0.20,1.96,2.16,0.015,7,,E,0.5,,
09205010,2024/05/01,10,,0.002,0.007,0.009,,0.023,0.13,2.00,2.13,0.010,6,,SE,1.6,,
09205010,2024/05/01,11,,0.001,0.005,0.006,,0.036,0.14,1.95,2.09,0.007,3,,ESE,1.0,,
09205010,2024/05/01,12,,0.001,0.009,0.010,,0.037,0.11,1.95,2.06,0.010,9,,SSE,2.2,,
09205010,2024/05/01,13,,0.001,0.004,0.005,,0.046,0.09,1.96,2.05,0.014,9,,SE,3.6,,
09205010,2024/05/01,14,,0.001,0.005,0.006,,0.046,0.08,1.95,2.03,0.016,10,,ESE,1.4,,
09205010,2024/05/01,15,,0.001,0.005,0.006,,0.047,0.07,1.95,2.02,0.016,10,,SE,2.0,,
09205010,2024/05/01,16,,0.001,0.006,0.007,,0.046,0.07,1.96,2.03,0.016,9,,ESE,1.9,,
09205010,2024/05/01,17,,0.001,0.004,0.005,,0.046,0.08,1.97,2.05,0.015,9,,ENE,1.6,,
09205010,2024/05/01,18,,0.001,0.004,0.005,,0.044,0.08,1.96,2.04,0.017,9,,NE,0.8,,
09205010,2024/05/01,19,,0.001,0.004,0.005,,0.041,0.07,1.97,2.04,0.015,8,,NE,1.5,,
09205010,2024/05/01,20,,0.001,0.003,0.004,,0.044,0.06,1.97,2.03,0.014,8,,NNE,1.5,,
09205010,2024/05/01,21,,0.001,0.003,0.004,,0.045,0.06,1.98,2.04,0.013,9,,NNE,2.0,,
09205010,2024/05/01,22,,0.001,0.003,0.004,,0.043,0.06,1.97,2.03,0.012,8,,NNE,2.1,,
09205010,2024/05/01,23,,0.001,0.002,0.003,,0.042,0.06,1.97,2.03,0.010,6,,N,0.7,,
09205010,2024/05/01,24,,0.001,0.002,0.003,,0.040,0.06,1.98,2.04,0.012,8,,NNW,0.5,,
09205010,2024/05/02,01,,0.001,0.002,0.003,,0.033,0.07,2.01,2.08,0.013,10,,NNW,0.5,,
09205010,2024/05/02,02,,0.001,0.002,0.003,,0.030,0.07,2.02,2.09,0.012,7,,NNW,0.6,,
09205010,2024/05/02,03,,0.001,0.002,0.003,,0.032,0.06,2.01,2.07,0.011,7,,NNW,1.0,,
09205010,2024/05/02,04,,0.001,0.002,0.003,,0.033,0.06,2.02,2.08,0.011,6,,NNW,1.1,,
09205010,2024/05/02,05,,0.001,0.001,0.002,,0.034,0.05,2.06,2.11,0.010,7,,NNW,1.6,,
09205010,2024/05/02,06,,0.001,0.001,0.002,,0.033,0.05,2.03,2.08,0.010,5,,NNW,1.9,,
09205010,2024/05/02,07,,0.001,0.002,0.003,,0.040,0.05,2.04,2.09,0.009,3,,NNE,2.2,,
09205010,2024/05/02,08,,0.001,0.002,0.003,,0.044,0.05,1.99,2.04,0.008,4,,NNE,2.7,,
09205010,2024/05/02,09,,0.001,0.003,0.004,,0.046,0.06,1.99,2.05,0.010,5,,NNE,2.6,,
09205010,2024/05/02,10,,0.001,0.003,0.004,,0.047,0.06,1.99,2.05,0.006,6,,NE,2.7,,
09205010,2024/05/02,11,,-,-,-,,-,-,-,-,-,7,,NE,3.6,,
09205010,2024/05/02,12,,-,-,-,,0.047,-,-,-,0.008,-,,NNE,2.9,,
09205010,2024/05/02,13,,0.001,0.002,0.003,,0.051,-,-,-,0.006,-,,ENE,2.4,,
09205010,2024/05/02,14,,0.001,0.002,0.003,,0.052,0.06,1.98,2.04,0.007,8,,NE,2.0,,
09205010,2024/05/02,15,,0.001,0.002,0.003,,0.052,0.06,1.98,2.04,0.007,6,,NNE,2.4,,
09205010,2024/05/02,16,,0.001,0.002,0.003,,0.053,0.06,1.98,2.04,0.007,9,,NNW,1.7,,
09205010,2024/05/02,17,,0.001,0.002,0.003,,0.054,0.05,1.98,2.03,0.009,6,,E,1.5,,
09205010,2024/05/02,18,,0.001,0.003,0.004,,0.051,0.06,1.98,2.04,0.012,12,,S,3.1,,
09205010,2024/05/02,19,,0.001,0.004,0.005,,0.049,0.06,1.98,2.04,0.011,8,,S,3.2,,
09205010,2024/05/02,20,,0.001,0.004,0.005,,0.048,0.06,1.99,2.05,0.010,10,,SE,1.2,,
09205010,2024/05/02,21,,0.001,0.003,0.004,,0.048,0.06,1.99,2.05,0.009,10,,NNE,0.5,,
09205010,2024/05/02,22,,0.001,0.003,0.004,,0.045,0.07,1.99,2.06,0.011,7,,ENE,0.9,,
09205010,2024/05/02,23,,0.001,0.002,0.003,,0.039,0.07,1.99,2.06,0.010,9,,CALM,0.1,,
09205010,2024/05/02,24,,0.001,0.002,0.003,,0.033,0.08,2.00,2.08,0.009,8,,CALM,0.2,,
09205010,2024/05/03,01,,0.001,0.002,0.003,,0.027,0.07,1.99,2.06,0.010,8,,CALM,0.1,,
09205010,2024/05/03,02,,0.001,0.002,0.003,,0.024,0.07,1.99,2.06,0.009,8,,CALM,0.2,,
09205010,2024/05/03,03,,0.001,0.002,0.003,,0.021,0.07,1.99,2.06,0.011,7,,CALM,0.1,,
09205010,2024/05/03,04,,0.001,0.001,0.002,,0.018,0.06,1.99,2.05,0.009,6,,CALM,0.3,,
09205010,2024/05/03,05,,0.001,0.001,0.002,,0.015,0.06,1.99,2.05,0.010,4,,NNW,1.1,,
09205010,2024/05/03,06,,0.001,0.001,0.002,,0.015,0.06,1.99,2.05,0.008,4,,CALM,0.3,,
09205010,2024/05/03,07,,0.001,0.001,0.002,,0.020,0.06,2.01,2.07,0.009,5,,NNE,1.3,,
09205010,2024/05/03,08,,0.001,0.003,0.004,,0.031,0.06,2.08,2.14,0.010,5,,SSE,1.2,,
09205010,2024/05/03,09,,0.001,0.003,0.004,,0.040,0.06,2.03,2.09,0.010,8,,SSE,1.1,,
09205010,2024/05/03,10,,0.001,0.004,0.005,,0.044,0.06,2.01,2.07,0.011,9,,S,2.1,,
09205010,2024/05/03,11,,0.001,0.004,0.005,,0.049,0.07,2.01,2.08,0.011,13,,SSW,2.3,,
09205010,2024/05/03,12,,0.001,0.003,0.004,,0.053,0.07,2.00,2.07,0.013,10,,SSE,3.1,,
