測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27122010,2024/05/01,01,,0,0.005,0.005,,-,,,,,,,CALM,0.2,,
27122010,2024/05/01,02,,0,0.004,0.004,,0.048,,,,,,,CALM,0.4,,
27122010,2024/05/01,03,,0,0.004,0.004,,0.051,,,,,,,NNE,1.0,,
27122010,2024/05/01,04,,0,0.004,0.004,,0.052,,,,,,,N,1.3,,
27122010,2024/05/01,05,,0,0.004,0.004,,0.053,,,,,,,ENE,2.0,,
27122010,2024/05/01,06,,0,0.004,0.004,,0.052,,,,,,,NNE,1.6,,
27122010,2024/05/01,07,,0,0.006,0.006,,0.049,,,,,,,N,1.5,,
27122010,2024/05/01,08,,0.001,0.008,0.009,,0.046,,,,,,,NE,1.7,,
27122010,2024/05/01,09,,0.001,0.009,0.010,,0.044,,,,,,,NNE,1.4,,
27122010,2024/05/01,10,,0.001,0.008,0.009,,0.044,,,,,,,ENE,2.1,,
27122010,2024/05/01,11,,0.002,0.009,0.011,,0.043,,,,,,,NE,1.9,,
27122010,2024/05/01,12,,0.001,0.007,0.008,,0.045,,,,,,,N,2.2,,
27122010,2024/05/01,13,,0.001,0.007,0.008,,0.045,,,,,,,NNE,1.8,,
27122010,2024/05/01,14,,0.001,0.008,0.009,,0.047,,,,,,,N,2.2,,
27122010,2024/05/01,15,,0.001,0.008,0.009,,0.046,,,,,,,NNE,1.2,,
27122010,2024/05/01,16,,0.001,0.009,0.010,,0.044,,,,,,,N,1.8,,
27122010,2024/05/01,17,,0.001,0.007,0.008,,0.044,,,,,,,N,0.5,,
27122010,2024/05/01,18,,0,0.007,0.007,,0.044,,,,,,,WSW,0.6,,
27122010,2024/05/01,19,,0,0.007,0.007,,0.046,,,,,,,W,0.5,,
27122010,2024/05/01,20,,0,0.005,0.005,,0.048,,,,,,,W,0.8,,
27122010,2024/05/01,21,,0,0.006,0.006,,0.047,,,,,,,CALM,0.4,,
27122010,2024/05/01,22,,0,0.006,0.006,,0.046,,,,,,,CALM,0.4,,
27122010,2024/05/01,23,,0,0.006,0.006,,0.045,,,,,,,CALM,0.3,,
27122010,2024/05/01,24,,0,0.007,0.007,,0.043,,,,,,,WSW,0.5,,
27122010,2024/05/02,01,,0,0.005,0.005,,-,,,,,,,WSW,0.5,,
27122010,2024/05/02,02,,0,0.005,0.005,,0.044,,,,,,,CALM,0.4,,
27122010,2024/05/02,03,,0,0.007,0.007,,0.041,,,,,,,CALM,0.4,,
27122010,2024/05/02,04,,0,0.006,0.006,,0.041,,,,,,,CALM,0.3,,
27122010,2024/05/02,05,,0,0.010,0.010,,0.036,,,,,,,CALM,0,,
27122010,2024/05/02,06,,0,0.011,0.011,,0.033,,,,,,,CALM,0.1,,
