測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
39212010,2024/05/01,01,0,0,0.002,0.002,,0.010,,,,0.009,6,,ESE,0.5,,
39212010,2024/05/01,02,0,0,0.001,0.001,,0.009,,,,0.008,8,,ENE,1.4,,
39212010,2024/05/01,03,0,0,0.001,0.001,,0.008,,,,0.009,6,,ENE,0.4,,
39212010,2024/05/01,04,0,0,0.002,0.002,,0.008,,,,0.008,6,,WNW,0.9,,
39212010,2024/05/01,05,0,0,0.002,0.002,,0.012,,,,0.004,3,,NNE,0.9,,
39212010,2024/05/01,06,0,0,0.002,0.002,,0.012,,,,0.006,4,,N,1.0,,
39212010,2024/05/01,07,0,0,0.002,0.002,,0.020,,,,0.002,3,,NNW,1.7,,
39212010,2024/05/01,08,0,0,0.004,0.004,,0.023,,,,0.004,3,,NNW,1.5,,
39212010,2024/05/01,09,0,0.001,0.004,0.005,,0.027,,,,0.001,3,,N,1.5,,
39212010,2024/05/01,10,0,0.001,0.003,0.004,,0.031,,,,0.004,2,,N,2.7,,
39212010,2024/05/01,11,0,0.001,0.003,0.004,,0.031,,,,0.005,3,,NNE,2.5,,
39212010,2024/05/01,12,0,0.001,0.003,0.004,,0.033,,,,0.005,4,,N,2.1,,
39212010,2024/05/01,13,0,0.001,0.003,0.004,,0.034,,,,0.004,1,,N,2.9,,
39212010,2024/05/01,14,0.001,0.001,0.004,0.005,,0.039,,,,0.005,3,,NNW,3.9,,
39212010,2024/05/01,15,0.001,0,0.003,0.003,,0.046,,,,0.006,6,,N,3.0,,
39212010,2024/05/01,16,0,0,0.003,0.003,,0.048,,,,0.008,5,,N,3.0,,
39212010,2024/05/01,17,0,0,0.002,0.002,,0.047,,,,0.006,4,,NNW,3.8,,
39212010,2024/05/01,18,0,0,0.002,0.002,,0.045,,,,0.004,3,,NNW,5.2,,
39212010,2024/05/01,19,0,0,0.002,0.002,,0.043,,,,0.006,3,,NNW,4.2,,
