測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
23202560,2024/05/01,01,,0,0.004,0.004,,0.035,,,,0,1,,N,1.5,19.3,60.5
23202560,2024/05/01,02,,0,0.004,0.004,,0.034,,,,0.003,1,,NNW,1.7,19.2,60.7
23202560,2024/05/01,03,,0,0.003,0.003,,0.039,,,,0.006,0,,NNW,2.0,19.1,58.7
23202560,2024/05/01,04,,0,0.002,0.002,,0.042,,,,0,0,,NNW,2.3,18.8,60.0
23202560,2024/05/01,05,,0,0.003,0.003,,0.041,,,,0,3,,NNW,1.3,18.4,60.6
23202560,2024/05/01,06,,0,0.005,0.005,,0.039,,,,0.005,4,,NNW,1.4,18.4,58.8
23202560,2024/05/01,07,,0,0.005,0.005,,0.041,,,,0,3,,NNW,1.7,18.5,55.9
23202560,2024/05/01,08,,0.001,0.005,0.006,,0.043,,,,0,8,,NW,3.3,18.7,52.0
23202560,2024/05/01,09,,0.001,0.007,0.008,,0.043,,,,0.016,15,,NNW,2.2,17.6,63.3
23202560,2024/05/01,10,,0.002,0.009,0.011,,0.040,,,,0.021,9,,NW,2.1,18.7,58.9
23202560,2024/05/01,11,,0.002,0.009,0.011,,0.041,,,,0.019,12,,NW,2.2,19.2,53.2
23202560,2024/05/01,12,,0.001,0.007,0.008,,0.045,,,,0.006,6,,NW,2.9,17.9,61.7
23202560,2024/05/01,13,,0.001,0.005,0.006,,0.045,,,,0.008,12,,NNW,2.8,16.8,67.5
23202560,2024/05/01,14,,0.001,0.006,0.007,,0.043,,,,0.013,6,,NNW,2.8,16.6,68.0
23202560,2024/05/01,15,,0.001,0.007,0.008,,0.043,,,,0.017,5,,NNW,3.0,17.1,63.6
23202560,2024/05/01,16,,0.001,0.007,0.008,,0.041,,,,0.010,7,,NNW,1.9,16.6,67.2
23202560,2024/05/01,17,,0.001,0.007,0.008,,0.038,,,,0.010,9,,NNW,1.9,16.2,71.7
23202560,2024/05/01,18,,0,0.007,0.007,,0.037,,,,0.009,12,,NNW,2.3,15.7,67.2
23202560,2024/05/01,19,,0,0.006,0.006,,0.036,,,,0.010,9,,NNW,2.6,15.4,63.9
23202560,2024/05/01,20,,0,0.005,0.005,,0.037,,,,0.014,11,,NNW,1.4,14.2,76.6
23202560,2024/05/01,21,,0,0.006,0.006,,0.034,,,,0.012,9,,N,0.8,14.0,76.7
23202560,2024/05/01,22,,0,0.006,0.006,,0.034,,,,0.011,10,,NNW,1.4,14.2,67.2
23202560,2024/05/01,23,,0,0.006,0.006,,0.035,,,,0,10,,NNW,1.2,14.1,63.8
23202560,2024/05/01,24,,0,0.005,0.005,,0.035,,,,0,9,,NNW,1.3,13.9,62.2
23202560,2024/05/02,01,,0.001,0.004,0.005,,0.036,,,,0.002,1,,NNE,1.1,13.0,70.7
23202560,2024/05/02,02,,0,0.005,0.005,,0.033,,,,0,8,,NE,0.7,12.6,76.5
23202560,2024/05/02,03,,0,0.005,0.005,,0.029,,,,0,5,,NNE,0.6,12.6,77.6
23202560,2024/05/02,04,,0,0.004,0.004,,0.027,,,,0.007,8,,NE,0.6,12.7,76.7
23202560,2024/05/02,05,,0,0.005,0.005,,0.027,,,,0.008,10,,NNW,1.1,12.3,66.4
23202560,2024/05/02,06,,0,0.005,0.005,,0.028,,,,0.006,5,,NE,0.7,11.8,71.7
23202560,2024/05/02,07,,0.001,0.006,0.007,,0.026,,,,0.021,8,,NE,0.7,12.3,67.1
23202560,2024/05/02,08,,0.002,0.006,0.008,,0.030,,,,0.009,4,,NE,0.8,13.6,58.3
23202560,2024/05/02,09,,0.002,0.006,0.008,,0.032,,,,0.016,9,,ENE,1.1,14.0,57.0
23202560,2024/05/02,10,,0.002,0.006,0.008,,0.032,,,,0,4,,NNW,0.7,15.6,46.7
23202560,2024/05/02,11,,0.002,0.004,0.006,,0.040,,,,0.003,1,,S,1.7,17.7,46.0
23202560,2024/05/02,12,,0.002,0.004,0.006,,0.043,,,,0,-4,,SSW,1.7,18.1,44.1
23202560,2024/05/02,13,,0.002,0.004,0.006,,0.047,,,,0.004,4,,SSW,2.5,19.5,40.0
23202560,2024/05/02,14,,0.002,0.003,0.005,,0.048,,,,0.004,5,,SSW,2.3,20.3,32.0
23202560,2024/05/02,15,,0.001,0.003,0.004,,0.050,,,,0,1,,SW,2.3,19.4,33.4
23202560,2024/05/02,16,,0.002,0.003,0.005,,0.052,,,,0,10,,SSW,1.9,20.3,32.4
23202560,2024/05/02,17,,0.001,0.004,0.005,,0.053,,,,0.003,11,,SSE,1.7,19.1,34.0
23202560,2024/05/02,18,,0.001,0.004,0.005,,0.052,,,,0.003,7,,S,1.7,18.8,34.0
23202560,2024/05/02,19,,0.001,0.005,0.006,,0.049,,,,0.002,11,,SSE,1.2,17.9,40.1
23202560,2024/05/02,20,,0.001,0.007,0.008,,0.043,,,,0.020,8,,SSE,1.0,17.0,49.5
23202560,2024/05/02,21,,0,0.006,0.006,,0.038,,,,0.017,13,,ESE,1.4,16.0,57.0
23202560,2024/05/02,22,,0,0.005,0.005,,0.038,,,,0.004,1,,ESE,0.8,15.8,61.2
23202560,2024/05/02,23,,0.001,0.006,0.007,,0.036,,,,0.007,4,,SE,0.6,15.6,62.1
23202560,2024/05/02,24,,0,0.006,0.006,,0.031,,,,0,6,,NE,0.8,14.8,68.6
23202560,2024/05/03,01,,-,-,-,,-,,,,0.011,4,,ENE,0.9,14.5,70.2
23202560,2024/05/03,02,,0,0.003,0.003,,0.025,,,,0.002,1,,NE,0.7,13.8,73.3
23202560,2024/05/03,03,,0,0.002,0.002,,0.020,,,,0.007,8,,ENE,0.4,13.6,73.8
23202560,2024/05/03,04,,0,0.003,0.003,,0.017,,,,0.017,6,,NE,0.7,12.7,76.3
23202560,2024/05/03,05,,0,0.002,0.002,,0.015,,,,0.011,3,,NE,0.6,12.2,77.5
23202560,2024/05/03,06,,0.001,0.004,0.005,,0.015,,,,0.010,9,,NE,0.7,13.1,72.7
23202560,2024/05/03,07,,0.002,0.004,0.006,,0.018,,,,0.007,6,,S,0.5,15.1,61.3
23202560,2024/05/03,08,,0.003,0.005,0.008,,0.028,,,,0.002,6,,WSW,0.4,18.8,44.8
23202560,2024/05/03,09,,0.001,0.003,0.004,,0.048,,,,0,5,,SW,1.0,20.1,38.8
23202560,2024/05/03,10,,0.001,0.003,0.004,,0.052,,,,0,-1,,S,0.8,21.3,32.1
23202560,2024/05/03,11,,0.001,0.003,0.004,,0.055,,,,0.009,8,,WSW,1.6,21.8,30.5
23202560,2024/05/03,12,,0.001,0.003,0.004,,0.059,,,,0.011,8,,SW,2.0,22.3,27.4
