測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
36363010,2024/05/01,01,,-,-,-,,0.028,,,,,2,,SE,2.2,,
36363010,2024/05/01,02,,0,0.001,0.001,,0.029,,,,,4,,ESE,2.1,,
36363010,2024/05/01,03,,0,0.001,0.001,,0.032,,,,,-1,,NE,2.6,,
36363010,2024/05/01,04,,0,0.001,0.001,,0.036,,,,,0,,SE,2.2,,
36363010,2024/05/01,05,,0,0.002,0.002,,0.034,,,,,4,,E,2.2,,
36363010,2024/05/01,06,,0,0,0,,0.043,,,,,3,,SE,2.2,,
36363010,2024/05/01,07,,0,0,0,,0.044,,,,,6,,SE,3.2,,
36363010,2024/05/01,08,,0,0.001,0.001,,0.046,,,,,8,,SE,3.2,,
36363010,2024/05/01,09,,0,0.001,0.001,,0.046,,,,,12,,SE,2.6,,
36363010,2024/05/01,10,,0,0.001,0.001,,0.046,,,,,12,,SE,3.1,,
36363010,2024/05/01,11,,0,0.001,0.001,,0.049,,,,,14,,SE,3.0,,
36363010,2024/05/01,12,,0,0.001,0.001,,0.048,,,,,10,,SE,2.5,,
36363010,2024/05/01,13,,0,0.001,0.001,,0.048,,,,,11,,E,2.3,,
36363010,2024/05/01,14,,0,0.001,0.001,,0.048,,,,,12,,SE,2.8,,
36363010,2024/05/01,15,,0,0.001,0.001,,0.048,,,,,6,,SE,2.5,,
36363010,2024/05/01,16,,0,0.001,0.001,,0.045,,,,,9,,ESE,3.2,,
36363010,2024/05/01,17,,0,0.001,0.001,,0.044,,,,,8,,ESE,3.5,,
36363010,2024/05/01,18,,0,0.001,0.001,,0.044,,,,,11,,SE,3.0,,
36363010,2024/05/01,19,,0,0.002,0.002,,0.043,,,,,11,,SE,3.0,,
36363010,2024/05/01,20,,0,0.002,0.002,,0.041,,,,,14,,ESE,3.6,,
36363010,2024/05/01,21,,0,0.001,0.001,,0.042,,,,,8,,SE,3.2,,
36363010,2024/05/01,22,,0,0.001,0.001,,0.042,,,,,8,,SSE,2.8,,
36363010,2024/05/01,23,,0,0.001,0.001,,0.039,,,,,7,,SE,2.4,,
36363010,2024/05/01,24,,0,0.001,0.001,,0.040,,,,,9,,SW,1.9,,
