測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
07208090,2024/05/01,01,,,,,,0.048,,,,0.002,,,SSW,1.4,15.5,81.4
07208090,2024/05/01,02,,,,,,0.048,,,,0.001,,,SW,1.7,14.2,84.3
07208090,2024/05/01,03,,,,,,0.051,,,,0.002,,,CALM,0.4,13.7,84.4
07208090,2024/05/01,04,,,,,,0.052,,,,0.003,,,ENE,1.1,13.3,85.5
07208090,2024/05/01,05,,,,,,0.051,,,,0.007,,,SSW,1.5,12.8,85.4
07208090,2024/05/01,06,,,,,,0.051,,,,0.010,,,S,1.1,12.6,84.6
07208090,2024/05/01,07,,,,,,0.050,,,,0.015,,,SSW,0.6,13.2,80.0
07208090,2024/05/01,08,,,,,,0.050,,,,0.015,,,SW,2.2,14.0,72.6
07208090,2024/05/01,09,,,,,,0.052,,,,0.011,,,WSW,3.0,14.8,63.6
07208090,2024/05/01,10,,,,,,0.052,,,,0.016,,,WSW,2.8,14.0,66.2
07208090,2024/05/01,11,,,,,,0.048,,,,0.015,,,WSW,1.9,14.4,59.6
07208090,2024/05/01,12,,,,,,0.047,,,,0.013,,,W,3.1,14.2,58.5
07208090,2024/05/01,13,,,,,,0.047,,,,0.013,,,WSW,2.8,13.4,60.0
07208090,2024/05/01,14,,,,,,0.047,,,,0.011,,,WSW,2.5,13.0,64.3
07208090,2024/05/01,15,,,,,,0.046,,,,0.012,,,WSW,1.6,12.6,66.1
07208090,2024/05/01,16,,,,,,0.047,,,,0.010,,,WSW,1.3,12.2,66.2
07208090,2024/05/01,17,,,,,,0.046,,,,0.014,,,W,2.0,11.9,68.4
07208090,2024/05/01,18,,,,,,0.045,,,,0.009,,,SW,1.0,11.1,70.5
07208090,2024/05/01,19,,,,,,0.044,,,,0.008,,,CALM,0.3,10.8,72.9
07208090,2024/05/01,20,,,,,,0.041,,,,0.008,,,WNW,0.8,10.2,76.5
07208090,2024/05/01,21,,,,,,0.038,,,,0.009,,,CALM,0.4,9.6,79.5
07208090,2024/05/01,22,,,,,,0.038,,,,0.010,,,SSE,0.7,9.6,79.1
07208090,2024/05/01,23,,,,,,0.038,,,,0.008,,,CALM,0.3,9.2,81.6
07208090,2024/05/01,24,,,,,,0.032,,,,0.007,,,CALM,0.5,8.9,83.3
07208090,2024/05/02,01,,,,,,0.031,,,,0.008,,,N,0.7,8.5,85.1
07208090,2024/05/02,02,,,,,,0.025,,,,0.011,,,CALM,0.5,8.5,86.3
