測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
28201390,2024/05/01,01,0.001,-,-,-,,0.044,0.04,1.98,2.02,0.009,,,NNE,2.1,,
28201390,2024/05/01,02,0.001,-,-,-,,0.045,0.04,1.99,2.03,0.011,,,NNE,2.7,,
28201390,2024/05/01,03,0.001,-,-,-,,0.047,0.04,1.99,2.03,0.015,,,NNE,2.8,,
28201390,2024/05/01,04,0.001,-,-,-,,0.047,0.04,1.99,2.03,0.020,,,NNE,4.5,,
28201390,2024/05/01,05,0.001,-,-,-,,0.051,0.04,1.99,2.03,0.022,,,N,4.7,,
28201390,2024/05/01,06,0.001,-,-,-,,0.051,0.04,1.99,2.03,0.018,,,N,5.2,,
28201390,2024/05/01,07,0.001,-,-,-,,0.047,0.04,1.99,2.03,0.015,,,N,3.4,,
28201390,2024/05/01,08,0.001,-,-,-,,0.048,0.04,1.99,2.03,0.015,,,N,4.4,,
28201390,2024/05/01,09,0.001,-,-,-,,0.048,0.04,1.99,2.03,0.015,,,N,3.8,,
28201390,2024/05/01,10,0.001,-,-,-,,0.047,0.04,1.99,2.03,0.014,,,NNE,3.7,,
28201390,2024/05/01,11,0.001,-,-,-,,0.047,0.05,1.99,2.04,0.013,,,N,4.9,,
28201390,2024/05/01,12,0.001,-,-,-,,0.050,0.05,1.99,2.04,0.016,,,N,5.7,,
28201390,2024/05/01,13,0.001,-,-,-,,0.050,0.04,2.00,2.04,0.016,,,N,6.1,,
28201390,2024/05/01,14,0.001,-,-,-,,0.050,0.04,2.00,2.04,0.017,,,N,6.8,,
28201390,2024/05/01,15,0.001,-,-,-,,0.049,0.04,1.99,2.03,0.019,,,N,6.5,,
28201390,2024/05/01,16,0.001,-,-,-,,0.048,0.04,1.99,2.03,0.017,,,N,6.1,,
28201390,2024/05/01,17,0.001,-,-,-,,0.049,0.04,1.99,2.03,0.016,,,N,4.6,,
28201390,2024/05/01,18,0.001,-,-,-,,0.049,0.04,1.99,2.03,0.014,,,N,6.0,,
28201390,2024/05/01,19,0.001,-,-,-,,0.050,0.04,1.99,2.03,0.013,,,N,3.8,,
28201390,2024/05/01,20,0.001,-,-,-,,0.049,0.04,1.99,2.03,0.013,,,N,3.6,,
28201390,2024/05/01,21,0.001,-,-,-,,0.047,0.04,1.99,2.03,0.012,,,N,2.6,,
28201390,2024/05/01,22,0.001,-,-,-,,0.043,0.05,2.00,2.05,0.012,,,N,3.3,,
28201390,2024/05/01,23,0.001,-,-,-,,0.040,0.04,1.99,2.03,0.013,,,NNW,1.7,,
28201390,2024/05/01,24,-,-,-,-,,0.028,0.03,1.99,2.02,0.012,,,NE,0.8,,
28201390,2024/05/02,01,0.001,-,-,-,,0.022,0.04,2.00,2.04,0.009,,,NW,1.1,,
28201390,2024/05/02,02,0.001,-,-,-,,0.021,0.03,1.99,2.02,0.010,,,WNW,1.1,,
28201390,2024/05/02,03,0.001,-,-,-,,0.025,0.03,1.99,2.02,0.010,,,NW,0.8,,
28201390,2024/05/02,04,0.001,-,-,-,,0.030,0.03,2.00,2.03,0.010,,,N,1.8,,
28201390,2024/05/02,05,0.001,-,-,-,,0.030,0.04,2.01,2.05,0.012,,,NNE,1.2,,
28201390,2024/05/02,06,0.001,-,-,-,,0.031,0.05,2.03,2.08,0.011,,,N,3.3,,
28201390,2024/05/02,07,0.001,-,-,-,,0.042,0.03,2.00,2.03,0.010,,,N,2.8,,
28201390,2024/05/02,08,0.001,-,-,-,,0.044,0.03,1.99,2.02,0.012,,,N,4.3,,
28201390,2024/05/02,09,0.001,-,-,-,,0.045,0.03,1.99,2.02,0.012,,,N,3.8,,
28201390,2024/05/02,10,-,-,-,-,,0.041,-,-,-,-,,,N,4.9,,
28201390,2024/05/02,11,0.001,-,-,-,,0.043,-,-,-,0.011,,,N,4.9,,
28201390,2024/05/02,12,0.001,-,-,-,,0.044,0.05,1.98,2.03,0.011,,,SE,1.9,,
28201390,2024/05/02,13,0.001,-,-,-,,0.045,0.05,1.99,2.04,0.012,,,N,1.8,,
28201390,2024/05/02,14,0.001,-,-,-,,0.047,0.05,1.99,2.04,0.010,,,ENE,2.1,,
28201390,2024/05/02,15,0.001,-,-,-,,0.050,0.05,1.99,2.04,0.013,,,E,2.4,,
28201390,2024/05/02,16,0.001,-,-,-,,0.051,0.07,2.01,2.08,0.017,,,SSW,4.5,,
28201390,2024/05/02,17,0.001,-,-,-,,0.054,0.09,2.05,2.14,0.014,,,SSW,2.5,,
28201390,2024/05/02,18,0.001,-,-,-,,0.051,0.08,2.03,2.11,0.017,,,E,5.7,,
28201390,2024/05/02,19,0.001,-,-,-,,0.046,0.05,1.99,2.04,0.015,,,ENE,3.0,,
28201390,2024/05/02,20,0.001,-,-,-,,0.045,0.05,1.99,2.04,0.016,,,NE,2.2,,
28201390,2024/05/02,21,0.001,-,-,-,,0.041,0.05,1.99,2.04,0.013,,,N,2.8,,
28201390,2024/05/02,22,0.001,-,-,-,,0.035,0.06,1.99,2.05,0.014,,,NNW,1.6,,
28201390,2024/05/02,23,0.001,-,-,-,,0.030,0.06,1.99,2.05,0.013,,,NNE,1.3,,
28201390,2024/05/02,24,0.001,-,-,-,,0.026,0.06,2.00,2.06,0.013,,,NNW,1.5,,
28201390,2024/05/03,01,0.001,-,-,-,,0.024,0.06,1.99,2.05,0.012,,,N,1.1,,
28201390,2024/05/03,02,0.001,-,-,-,,0.021,0.06,2.00,2.06,0.012,,,CALM,0.2,,
28201390,2024/05/03,03,0.001,-,-,-,,0.015,0.05,1.99,2.04,0.012,,,NNW,1.3,,
28201390,2024/05/03,04,0.001,-,-,-,,0.015,0.05,1.99,2.04,0.011,,,NNW,0.6,,
28201390,2024/05/03,05,0.001,-,-,-,,0.014,0.05,2.00,2.05,0.013,,,CALM,0.1,,
28201390,2024/05/03,06,0.001,-,-,-,,0.010,0.05,1.99,2.04,0.010,,,CALM,0.2,,
28201390,2024/05/03,07,0.001,-,-,-,,0.013,0.05,2.00,2.05,0.011,,,CALM,0.3,,
28201390,2024/05/03,08,0.001,-,-,-,,0.017,0.06,2.00,2.06,0.012,,,ESE,0.8,,
28201390,2024/05/03,09,0.001,-,-,-,,0.035,0.06,1.99,2.05,0.015,,,SE,2.4,,
28201390,2024/05/03,10,0.001,-,-,-,,0.049,0.05,2.03,2.08,0.013,,,SSE,2.2,,
28201390,2024/05/03,11,0.001,-,-,-,,0.055,0.06,2.07,2.13,0.014,,,ESE,1.4,,
28201390,2024/05/03,12,0.002,-,-,-,,0.057,0.05,2.04,2.09,0.012,,,S,3.0,,
28201390,2024/05/03,13,0.002,-,-,-,,0.058,0.05,2.01,2.06,0.012,,,SSW,4.1,,
28201390,2024/05/03,14,0.001,-,-,-,,0.056,0.05,2.00,2.05,0.010,,,S,4.3,,
28201390,2024/05/03,15,0.001,-,-,-,,0.057,0.05,2.01,2.06,0.011,,,S,4.1,,
28201390,2024/05/03,16,0.001,-,-,-,,0.056,0.06,2.00,2.06,0.013,,,S,3.7,,
28201390,2024/05/03,17,0.001,-,-,-,,0.056,0.05,2.02,2.07,0.012,,,SSW,3.7,,
28201390,2024/05/03,18,0.001,-,-,-,,0.056,0.06,2.04,2.10,0.012,,,SW,2.2,,
28201390,2024/05/03,19,0.002,-,-,-,,0.048,0.07,2.12,2.19,0.016,,,WSW,1.2,,
28201390,2024/05/03,20,0.001,-,-,-,,0.036,0.10,2.01,2.11,0.019,,,NW,0.8,,
28201390,2024/05/03,21,0.001,-,-,-,,0.033,0.09,2.00,2.09,0.017,,,NW,0.5,,
28201390,2024/05/03,22,0.001,-,-,-,,0.029,0.09,2.01,2.10,0.017,,,WNW,0.5,,
28201390,2024/05/03,23,0.001,-,-,-,,0.026,0.09,2.01,2.10,0.016,,,NW,0.4,,
28201390,2024/05/03,24,0.001,-,-,-,,0.024,0.08,2.02,2.10,0.016,,,CALM,0.2,,
28201390,2024/05/04,01,0.001,-,-,-,,0.020,0.08,2.04,2.12,0.015,,,CALM,0.3,,
28201390,2024/05/04,02,0.001,-,-,-,,0.021,0.07,2.01,2.08,0.014,,,CALM,0.2,,
28201390,2024/05/04,03,0.001,-,-,-,,0.017,0.08,2.02,2.10,0.014,,,CALM,0.3,,
28201390,2024/05/04,04,0.001,-,-,-,,0.015,0.07,2.01,2.08,0.012,,,NW,0.6,,
28201390,2024/05/04,05,0.001,-,-,-,,0.012,0.07,2.01,2.08,0.014,,,CALM,0.2,,
28201390,2024/05/04,06,0.001,-,-,-,,0.011,0.07,2.01,2.08,0.012,,,CALM,0.2,,
28201390,2024/05/04,07,0.001,-,-,-,,0.013,0.07,2.01,2.08,0.013,,,E,0.5,,
28201390,2024/05/04,08,0.001,-,-,-,,0.020,0.07,2.00,2.07,0.015,,,ENE,0.7,,
28201390,2024/05/04,09,0.001,-,-,-,,0.036,0.06,1.99,2.05,0.015,,,SE,1.2,,
28201390,2024/05/04,10,0.002,-,-,-,,0.045,0.06,2.01,2.07,0.017,,,SE,2.0,,
28201390,2024/05/04,11,0.002,-,-,-,,0.053,0.06,2.01,2.07,0.014,,,S,2.3,,
28201390,2024/05/04,12,0.002,-,-,-,,0.056,0.07,2.00,2.07,0.016,,,SSW,3.1,,
28201390,2024/05/04,13,0.003,-,-,-,,0.060,0.07,2.01,2.08,0.016,,,S,3.9,,
28201390,2024/05/04,14,0.002,-,-,-,,0.066,0.06,2.00,2.06,0.011,,,S,4.3,,
28201390,2024/05/04,15,0.002,-,-,-,,0.066,0.05,1.99,2.04,0.013,,,SSW,5.0,,
28201390,2024/05/04,16,0.002,-,-,-,,0.067,0.05,2.02,2.07,0.013,,,SW,4.1,,
28201390,2024/05/04,17,0.001,-,-,-,,0.063,0.07,2.04,2.11,0.010,,,SSW,4.2,,
28201390,2024/05/04,18,0.001,-,-,-,,0.063,0.05,1.99,2.04,0.015,,,SSW,3.2,,
28201390,2024/05/04,19,0.001,-,-,-,,0.058,0.06,1.99,2.05,0.017,,,WSW,1.4,,
28201390,2024/05/04,20,0.001,-,-,-,,0.049,0.08,2.00,2.08,0.018,,,WNW,0.7,,
