測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
11203040,2024/05/01,01,0.001,0.001,0.016,0.017,,0.024,0.24,2.02,2.26,0.016,12,,N,0.9,22.7,82.0
11203040,2024/05/01,02,0.001,0.001,0.017,0.018,,0.021,-,-,-,0.018,12,,CALM,0,22.3,83.0
11203040,2024/05/01,03,0.001,0.001,0.015,0.016,,0.020,0.23,2.04,2.27,0.018,12,,NE,0.5,21.6,86.0
11203040,2024/05/01,04,0.001,0.001,0.018,0.019,,0.013,0.23,2.04,2.27,0.018,14,,CALM,0.3,21.5,87.0
11203040,2024/05/01,05,0,0.002,0.019,0.021,,0.008,0.30,2.05,2.35,0.020,13,,ENE,0.7,21.6,86.0
11203040,2024/05/01,06,0.001,0.003,0.020,0.023,,0.008,0.25,2.03,2.28,0.013,8,,CALM,0.4,22.2,76.0
11203040,2024/05/01,07,0.001,0.002,0.013,0.015,,0.016,0.16,2.02,2.18,0.012,8,,NNW,1.0,22.3,73.0
11203040,2024/05/01,08,0.001,0.003,0.012,0.015,,0.015,0.14,2.02,2.16,0.016,11,,N,1.5,22.2,82.0
11203040,2024/05/01,09,0.001,0.003,0.012,0.015,,0.025,0.33,2.04,2.37,0.014,8,,E,3.3,20.1,88.0
11203040,2024/05/01,10,0.001,0.001,0.008,0.009,,0.036,1.25,1.98,3.23,0.012,7,,ESE,2.9,20.1,86.0
11203040,2024/05/01,11,0.001,0.001,0.009,0.010,,0.037,1.43,1.98,3.41,0.013,10,,E,2.2,18.7,97.0
11203040,2024/05/01,12,0.001,0.005,0.010,0.015,,0.040,1.33,1.98,3.31,0.009,6,,ENE,2.5,17.9,95.0
11203040,2024/05/01,13,0.001,0.014,0.016,0.030,,0.040,0.62,1.98,2.60,0.012,9,,E,2.5,17.3,95.0
11203040,2024/05/01,14,0.001,0.001,0.009,0.010,,0.043,0.42,1.99,2.41,0.016,12,,ENE,2.8,16.5,96.0
11203040,2024/05/01,15,0.001,0.001,0.007,0.008,,0.046,0.53,1.99,2.52,0.010,8,,E,3.3,16.2,97.0
11203040,2024/05/01,16,0.001,0.001,0.007,0.008,,0.046,0.69,2.00,2.69,0.011,8,,ENE,3.0,15.5,96.0
11203040,2024/05/01,17,0.001,0,0.006,0.006,,0.049,0.42,2.00,2.42,0.013,10,,ENE,2.4,14.9,94.0
11203040,2024/05/01,18,0.001,0,0.006,0.006,,0.050,0.37,2.00,2.37,0.018,13,,NE,2.3,14.5,95.0
11203040,2024/05/01,19,0.001,0,0.005,0.005,,0.049,0.12,2.00,2.12,0.014,10,,NE,2.6,13.8,95.0
11203040,2024/05/01,20,0.001,0,0.006,0.006,,0.045,0.10,2.00,2.10,0.015,10,,NE,2.5,13.8,94.0
11203040,2024/05/01,21,0.001,0,0.007,0.007,,0.041,0.09,2.00,2.09,0.015,11,,NNE,2.0,13.5,95.0
11203040,2024/05/01,22,0.001,0,0.006,0.006,,0.042,0.08,2.01,2.09,0.015,11,,NE,2.6,13.2,95.0
11203040,2024/05/01,23,0.001,0,0.005,0.005,,0.042,0.07,2.01,2.08,0.013,9,,NNE,1.6,13.2,96.0
11203040,2024/05/01,24,0,0,0.004,0.004,,0.040,0.07,2.01,2.08,0.011,8,,N,1.5,13.0,97.0
11203040,2024/05/02,01,0,0,0.003,0.003,,0.039,0.06,2.01,2.07,0.010,7,,N,2.3,12.7,96.0
11203040,2024/05/02,02,-,0,0.003,0.003,,0.037,0.05,2.01,2.06,0.011,8,,N,1.8,12.5,96.0
11203040,2024/05/02,03,0.001,0,0.003,0.003,,0.037,0.05,2.01,2.06,0.010,7,,N,2.2,12.4,96.0
11203040,2024/05/02,04,0,0,0.004,0.004,,0.038,0.05,2.00,2.05,0.010,7,,N,2.0,12.2,97.0
11203040,2024/05/02,05,0,0,0.004,0.004,,0.039,0.06,2.00,2.06,0.010,7,,NNW,1.9,12.3,95.0
11203040,2024/05/02,06,0,0,0.005,0.005,,0.036,0.06,2.00,2.06,0.010,6,,NNW,2.5,12.7,94.0
11203040,2024/05/02,07,0,0.001,0.007,0.008,,0.033,0.06,2.02,2.08,0.013,9,,NNW,2.2,13.9,88.0
11203040,2024/05/02,08,0,0.002,0.006,0.008,,0.035,0.07,2.02,2.09,0.010,5,,NNE,3.3,16.0,70.0
11203040,2024/05/02,09,0,0.002,0.005,0.007,,0.040,0.07,2.01,2.08,0.013,7,,NNE,2.9,18.0,63.0
11203040,2024/05/02,10,0,0.001,0.005,0.006,,0.045,0.09,1.99,2.08,0.009,4,,NE,4.2,19.0,52.0
11203040,2024/05/02,11,0.001,0.001,0.004,0.005,,0.049,0.08,1.99,2.07,0.010,7,,NNE,3.9,20.1,51.0
11203040,2024/05/02,12,0.001,0.005,0.008,0.013,,0.046,0.09,1.99,2.08,0.006,4,,NE,3.1,21.1,43.0
11203040,2024/05/02,13,0.001,0.011,0.013,0.024,,0.045,0.09,1.98,2.07,0.007,4,,NE,2.8,21.1,42.0
11203040,2024/05/02,14,0.001,0.001,0.004,0.005,,0.051,0.19,1.98,2.17,0.010,7,,ENE,2.5,22.5,40.0
11203040,2024/05/02,15,0.001,0.001,0.004,0.005,,0.052,0.41,1.98,2.39,0.010,7,,ENE,2.3,22.2,43.0
11203040,2024/05/02,16,0.001,0.001,0.005,0.006,,0.051,0.83,1.98,2.81,0.010,7,,ENE,2.8,21.9,48.0
11203040,2024/05/02,17,0.001,0.001,0.005,0.006,,0.050,0.86,1.98,2.84,0.013,9,,ESE,3.1,20.5,54.0
11203040,2024/05/02,18,0.001,0.001,0.005,0.006,,0.048,1.63,1.98,3.61,0.014,9,,E,2.7,18.5,56.0
11203040,2024/05/02,19,0.001,0,0.004,0.004,,0.046,0.93,1.99,2.92,0.011,7,,ESE,2.2,17.3,62.0
11203040,2024/05/02,20,0.001,0,0.004,0.004,,0.045,0.36,1.99,2.35,0.011,8,,ESE,2.0,16.8,63.0
11203040,2024/05/02,21,0.001,0,0.005,0.005,,0.044,0.16,1.99,2.15,0.010,6,,ESE,1.8,16.5,66.0
11203040,2024/05/02,22,0.001,0,0.005,0.005,,0.042,0.15,2.00,2.15,0.011,7,,CALM,0.3,15.8,70.0
11203040,2024/05/02,23,0.001,0.001,0.007,0.008,,0.033,0.20,2.01,2.21,0.010,6,,CALM,0.4,14.9,75.0
11203040,2024/05/02,24,0.001,0.001,0.011,0.012,,0.023,0.26,2.02,2.28,0.011,8,,CALM,0,14.2,81.0
11203040,2024/05/03,01,0,0.001,0.010,0.011,,0.019,0.81,2.03,2.84,0.012,8,,CALM,0.1,13.6,84.0
11203040,2024/05/03,02,0,0.001,0.019,0.020,,0.009,1.23,2.05,3.28,0.011,8,,CALM,0.2,13.3,85.0
11203040,2024/05/03,03,0,0.002,0.023,0.025,,0.007,0.59,2.07,2.66,0.013,9,,CALM,0.2,13.0,86.0
11203040,2024/05/03,04,0,0.002,0.022,0.024,,0.008,0.46,2.10,2.56,0.014,10,,CALM,0.2,13.1,87.0
11203040,2024/05/03,05,0,0.003,0.017,0.020,,0.009,0.27,2.13,2.40,0.015,10,,CALM,0.3,12.6,87.0
11203040,2024/05/03,06,0,0.005,0.014,0.019,,0.012,0.26,2.14,2.40,0.016,10,,NNW,0.5,14.1,76.0
11203040,2024/05/03,07,0.001,0.002,0.009,0.011,,0.026,0.16,2.09,2.25,0.014,8,,NNW,0.6,16.0,68.0
11203040,2024/05/03,08,0.001,0.002,0.007,0.009,,0.034,0.11,2.04,2.15,0.015,8,,NNE,1.4,18.0,62.0
11203040,2024/05/03,09,0.001,0.001,0.006,0.007,,0.043,0.10,2.01,2.11,0.015,9,,W,1.0,19.8,53.0
11203040,2024/05/03,10,0.001,0.001,0.006,0.007,,0.051,0.10,2.01,2.11,0.014,9,,SSE,1.0,21.7,56.0
11203040,2024/05/03,11,0.002,0.001,0.006,0.007,,0.056,0.11,2.02,2.13,0.014,9,,SSE,1.4,22.8,43.0
11203040,2024/05/03,12,0.002,0.001,0.006,0.007,,0.063,0.11,2.02,2.13,0.014,11,,SSE,2.1,24.5,44.0
11203040,2024/05/03,13,0.002,0.002,0.016,0.018,,0.062,0.14,2.06,2.20,0.018,13,,S,2.6,25.0,42.0
11203040,2024/05/03,14,0.003,0.001,0.013,0.014,,0.077,0.15,2.05,2.20,0.017,13,,SSE,2.6,26.0,38.0
11203040,2024/05/03,15,0.003,0.001,0.011,0.012,,0.075,0.14,2.04,2.18,0.016,12,,SSE,3.4,25.9,37.0
11203040,2024/05/03,16,0.002,0.001,0.008,0.009,,0.067,0.11,2.02,2.13,0.014,10,,S,2.8,26.0,34.0
11203040,2024/05/03,17,0.002,0.001,0.007,0.008,,0.059,0.10,2.00,2.10,0.013,10,,SSW,3.5,24.9,34.0
11203040,2024/05/03,18,0.001,0,0.005,0.005,,0.056,0.09,2.00,2.09,0.015,11,,SW,3.2,22.4,56.0
11203040,2024/05/03,19,0.001,0,0.005,0.005,,0.054,0.08,1.99,2.07,0.015,10,,SSW,2.5,21.1,58.0
11203040,2024/05/03,20,0.001,0,0.006,0.006,,0.052,0.09,1.99,2.08,0.013,8,,S,2.1,20.4,62.0
11203040,2024/05/03,21,0.001,0,0.006,0.006,,0.050,0.09,2.00,2.09,0.011,9,,S,2.0,20.1,64.0
11203040,2024/05/03,22,0.001,0,0.006,0.006,,0.050,0.09,2.01,2.10,0.013,9,,SSW,1.3,20.0,65.0
