測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
33201190,2024/05/01,01,0,0,0.002,0.002,,-,,,,0.008,7,,NNW,0.9,,
33201190,2024/05/01,02,0,0,0.002,0.002,,0.040,,,,0.008,7,,NNE,1.5,,
33201190,2024/05/01,03,0,0,0.002,0.002,,0.043,,,,0.013,11,,N,1.8,,
33201190,2024/05/01,04,0,0,0.002,0.002,,0.043,,,,0.014,10,,NNW,0.8,,
33201190,2024/05/01,05,0,0,0.004,0.004,,0.037,,,,0.014,10,,NNW,1.6,,
33201190,2024/05/01,06,0,0,0.004,0.004,,0.039,,,,0.015,12,,N,2.5,,
33201190,2024/05/01,07,0,0,0.003,0.003,,0.042,,,,0.015,15,,N,0.7,,
33201190,2024/05/01,08,0,0,0.003,0.003,,0.039,,,,0.015,14,,NNE,1.6,,
33201190,2024/05/01,09,0,0.001,0.003,0.004,,0.039,,,,0.015,12,,NE,1.5,,
33201190,2024/05/01,10,0,0.001,0.003,0.004,,0.039,,,,0.013,12,,ENE,2.9,,
33201190,2024/05/01,11,0,0.001,0.003,0.004,,0.041,,,,0.009,10,,NE,2.9,,
33201190,2024/05/01,12,0,0.001,0.002,0.003,,0.042,,,,0.010,10,,NE,1.9,,
33201190,2024/05/01,13,0,0.001,0.002,0.003,,0.041,,,,0.010,10,,NE,2.1,,
33201190,2024/05/01,14,0,0.001,0.002,0.003,,0.042,,,,0.010,10,,NNE,2.2,,
33201190,2024/05/01,15,0,0.001,0.003,0.004,,0.039,,,,0.013,12,,N,3.8,,
33201190,2024/05/01,16,0,0.001,0.005,0.006,,0.040,,,,0.013,12,,N,2.7,,
33201190,2024/05/01,17,0,0.001,0.005,0.006,,0.039,,,,0.014,11,,N,2.1,,
33201190,2024/05/01,18,0,0.001,0.003,0.004,,0.039,,,,0.014,10,,N,4.1,,
33201190,2024/05/01,19,0,0,0.002,0.002,,0.044,,,,0.014,10,,N,2.0,,
33201190,2024/05/01,20,0,0.001,0.005,0.006,,0.034,,,,0.013,10,,NNW,1.0,,
33201190,2024/05/01,21,0,0.001,0.008,0.009,,0.026,,,,0.016,15,,NW,0.9,,
33201190,2024/05/01,22,0,0.001,0.007,0.008,,0.027,,,,0.014,9,,WNW,2.1,,
33201190,2024/05/01,23,0,0.001,0.008,0.009,,0.027,,,,0.009,11,,WNW,1.6,,
33201190,2024/05/01,24,0,0.001,0.003,0.004,,0.036,,,,0.007,8,,NW,1.7,,
33201190,2024/05/02,01,-,0.001,0.004,0.005,,0.033,,,,0.008,9,,NW,1.7,,
33201190,2024/05/02,02,0,0.001,0.005,0.006,,0.030,,,,0.008,7,,WNW,0.8,,
33201190,2024/05/02,03,0,0.001,0.006,0.007,,0.029,,,,0.007,7,,CALM,0.4,,
33201190,2024/05/02,04,0,0.001,0.006,0.007,,0.027,,,,0.009,9,,NW,1.8,,
33201190,2024/05/02,05,0,0.001,0.009,0.010,,0.017,,,,0.008,6,,WSW,1.6,,
33201190,2024/05/02,06,0,0.002,0.009,0.011,,0.012,,,,0.009,7,,NW,0.7,,
33201190,2024/05/02,07,0,0.005,0.011,0.016,,0.013,,,,0.009,7,,CALM,0.3,,
33201190,2024/05/02,08,0,0.002,0.004,0.006,,0.031,,,,0.006,4,,NE,2.2,,
33201190,2024/05/02,09,0,0.001,0.002,0.003,,0.041,,,,0.005,3,,NE,2.1,,
33201190,2024/05/02,10,0,0.001,0.002,0.003,,0.045,,,,0.006,6,,N,1.7,,
33201190,2024/05/02,11,0,0.001,0.001,0.002,,0.047,,,,0.008,6,,NW,1.3,,
