測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27205060,2024/05/01,01,,0,0.002,0.002,,0.047,,,,0.007,,,E,0.9,17.9,81.0
27205060,2024/05/01,02,,0,0.003,0.003,,0.048,,,,0.012,,,E,0.8,17.6,79.0
27205060,2024/05/01,03,,0,0.002,0.002,,0.050,,,,0.022,,,ENE,0.6,17.0,79.0
27205060,2024/05/01,04,,0,0.002,0.002,,0.050,,,,0.035,,,NE,1.0,16.7,77.0
27205060,2024/05/01,05,,0,0.002,0.002,,0.051,,,,0.023,,,NNW,0.9,16.6,77.0
27205060,2024/05/01,06,,0,0.002,0.002,,0.051,,,,0.022,,,NNE,0.9,16.3,79.0
27205060,2024/05/01,07,,0,0.003,0.003,,0.049,,,,0.023,,,NNE,0.7,16.1,81.0
27205060,2024/05/01,08,,0,0.004,0.004,,0.048,,,,0.018,,,ENE,1.3,15.2,85.0
27205060,2024/05/01,09,,0.001,0.004,0.005,,0.046,,,,0.015,,,ENE,0.7,15.2,86.0
27205060,2024/05/01,10,,0.001,0.004,0.005,,0.045,,,,0.018,,,NE,1.0,15.3,86.0
27205060,2024/05/01,11,,0.001,0.004,0.005,,0.045,,,,0.015,,,NE,0.8,15.0,87.0
27205060,2024/05/01,12,,0.001,0.004,0.005,,0.045,,,,0.015,,,ENE,1.0,14.7,89.0
27205060,2024/05/01,13,,0.001,0.004,0.005,,0.046,,,,0.014,,,E,1.0,14.5,86.0
27205060,2024/05/01,14,,0,0.003,0.003,,0.049,,,,0.014,,,NE,1.2,14.6,81.0
27205060,2024/05/01,15,,0.001,0.004,0.005,,0.049,,,,0.015,,,NE,0.7,14.7,80.0
27205060,2024/05/01,16,,0.001,0.005,0.006,,0.047,,,,0.016,,,NNW,1.5,14.5,78.0
27205060,2024/05/01,17,,0.001,0.005,0.006,,0.045,,,,0.016,,,NNE,0.8,13.8,83.0
27205060,2024/05/01,18,,0,0.004,0.004,,0.045,,,,0.012,,,NW,1.1,13.4,82.0
27205060,2024/05/01,19,,0,0.004,0.004,,0.047,,,,0.012,,,NW,0.7,13.1,79.0
27205060,2024/05/01,20,,0,0.004,0.004,,0.046,,,,0.011,,,NNW,0.7,13.3,77.0
27205060,2024/05/01,21,,0,0.004,0.004,,0.047,,,,0.015,,,NW,1.1,13.1,77.0
27205060,2024/05/01,22,,0,0.004,0.004,,0.047,,,,0.013,,,NW,0.5,13.0,78.0
27205060,2024/05/01,23,,0,0.004,0.004,,0.045,,,,0.013,,,WNW,1.3,13.0,79.0
27205060,2024/05/01,24,,0,0.004,0.004,,0.044,,,,0.010,,,WNW,1.2,13.0,78.0
27205060,2024/05/02,01,,0,0.003,0.003,,0.043,,,,0.008,,,WNW,0.8,12.9,77.0
27205060,2024/05/02,02,,0,0.003,0.003,,0.044,,,,0.010,,,WNW,1.2,12.8,77.0
27205060,2024/05/02,03,,0,0.003,0.003,,0.043,,,,0.010,,,W,0.8,12.7,78.0
27205060,2024/05/02,04,,0,0.003,0.003,,0.042,,,,0.011,,,WNW,0.5,12.7,77.0
27205060,2024/05/02,05,,0,0.003,0.003,,0.041,,,,0.012,,,NW,0.6,13.0,74.0
27205060,2024/05/02,06,,0,0.004,0.004,,0.041,,,,0.011,,,NW,0.5,13.0,74.0
27205060,2024/05/02,07,,0,0.003,0.003,,0.043,,,,0.010,,,NE,1.1,13.7,65.0
27205060,2024/05/02,08,,0.001,0.003,0.004,,0.045,,,,0.009,,,NNW,1.1,14.7,57.0
27205060,2024/05/02,09,,0.001,0.002,0.003,,0.046,,,,0.012,,,ENE,1.8,15.5,52.0
27205060,2024/05/02,10,,0.001,0.002,0.003,,0.047,,,,0.012,,,E,1.6,16.5,47.0
27205060,2024/05/02,11,,0,0.003,0.003,,0.048,,,,0.009,,,NE,1.4,17.3,41.0
27205060,2024/05/02,12,,0.001,0.002,0.003,,0.048,,,,0.012,,,ENE,1.2,18.7,39.0
27205060,2024/05/02,13,,0.001,0.003,0.004,,0.050,,,,0.011,,,SW,1.2,20.6,38.0
27205060,2024/05/02,14,,0.001,0.004,0.005,,0.052,,,,0.010,,,SSW,2.1,21.2,37.0
27205060,2024/05/02,15,,0.001,0.007,0.008,,0.055,,,,0.011,,,NW,1.0,21.0,37.0
27205060,2024/05/02,16,,0.001,0.005,0.006,,0.057,,,,0.013,,,SSW,0.7,22.3,35.0
27205060,2024/05/02,17,,0.001,0.006,0.007,,0.057,,,,0.013,,,E,1.0,21.3,35.0
27205060,2024/05/02,18,,0.001,0.005,0.006,,0.049,,,,0.012,,,E,1.0,20.3,44.0
27205060,2024/05/02,19,,0,0.004,0.004,,0.045,,,,0.010,,,ENE,1.3,18.2,48.0
27205060,2024/05/02,20,,0,0.004,0.004,,0.045,,,,0.010,,,ENE,1.7,16.8,54.0
27205060,2024/05/02,21,,0,0.005,0.005,,0.044,,,,0.013,,,ENE,1.1,15.9,59.0
27205060,2024/05/02,22,,0,0.005,0.005,,0.041,,,,0.009,,,ENE,1.0,14.9,63.0
27205060,2024/05/02,23,,0,0.008,0.008,,0.038,,,,0.012,,,ENE,1.2,14.8,66.0
27205060,2024/05/02,24,,0,0.010,0.010,,0.035,,,,0.012,,,ENE,0.8,14.3,66.0
27205060,2024/05/03,01,,0,0.008,0.008,,0.033,,,,0.014,,,ENE,0.9,13.8,70.0
27205060,2024/05/03,02,,0,0.008,0.008,,0.031,,,,0.012,,,E,0.5,13.6,72.0
27205060,2024/05/03,03,,0,0.007,0.007,,0.030,,,,0.010,,,E,1.7,12.9,76.0
27205060,2024/05/03,04,,0,0.006,0.006,,0.028,,,,0.011,,,ENE,1.0,12.9,78.0
27205060,2024/05/03,05,,0,0.007,0.007,,0.025,,,,0.012,,,ENE,0.7,12.6,81.0
27205060,2024/05/03,06,,0,0.009,0.009,,0.022,,,,0.015,,,NE,1.1,12.8,81.0
27205060,2024/05/03,07,,0.001,0.006,0.007,,0.027,,,,0.014,,,NE,1.1,14.4,78.0
27205060,2024/05/03,08,,0.001,0.005,0.006,,0.033,,,,0.012,,,ENE,1.7,15.8,71.0
27205060,2024/05/03,09,,0.001,0.006,0.007,,0.035,,,,0.013,,,ESE,1.1,17.5,64.0
27205060,2024/05/03,10,,0.001,0.005,0.006,,0.043,,,,0.012,,,SSW,0.9,19.4,56.0
27205060,2024/05/03,11,,0,0.004,0.004,,0.055,,,,0.010,,,WNW,1.1,21.6,50.0
27205060,2024/05/03,12,,0,0.004,0.004,,0.059,,,,0.011,,,SSW,1.6,22.8,45.0
27205060,2024/05/03,13,,0,0.003,0.003,,0.055,,,,0.009,,,SW,2.1,23.3,39.0
27205060,2024/05/03,14,,0,0.004,0.004,,0.058,,,,0.010,,,WSW,2.0,24.0,38.0
27205060,2024/05/03,15,,0,0.005,0.005,,0.060,,,,0.011,,,SW,1.6,23.6,38.0
27205060,2024/05/03,16,,0.001,0.005,0.006,,0.062,,,,0.010,,,SW,2.5,23.3,39.0
27205060,2024/05/03,17,,0,0.006,0.006,,0.064,,,,0.011,,,WSW,1.7,23.0,38.0
27205060,2024/05/03,18,,0,0.006,0.006,,0.061,,,,0.010,,,SW,1.6,22.2,35.0
27205060,2024/05/03,19,,0,0.009,0.009,,0.058,,,,0.011,,,SW,2.7,20.0,51.0
27205060,2024/05/03,20,,0,0.018,0.018,,0.045,,,,0.013,,,WSW,1.6,18.5,70.0
27205060,2024/05/03,21,,0,0.010,0.010,,0.053,,,,0.016,,,SW,1.6,17.9,76.0
27205060,2024/05/03,22,,0,0.008,0.008,,0.055,,,,0.018,,,W,1.5,17.7,78.0
27205060,2024/05/03,23,,0,0.007,0.007,,0.056,,,,0.014,,,W,1.4,17.4,82.0
27205060,2024/05/03,24,,0,0.006,0.006,,0.054,,,,0.013,,,W,0.7,17.3,83.0
27205060,2024/05/04,01,,0,0.006,0.006,,0.052,,,,0.013,,,WSW,0.5,16.9,83.0
27205060,2024/05/04,02,,0,0.008,0.008,,0.042,,,,0.014,,,WNW,0.5,16.4,77.0
27205060,2024/05/04,03,,0,0.010,0.010,,0.029,,,,0.016,,,CALM,0.4,16.0,81.0
27205060,2024/05/04,04,,0,0.010,0.010,,0.026,,,,0.014,,,ENE,0.6,15.2,84.0
27205060,2024/05/04,05,,0,0.008,0.008,,0.028,,,,0.013,,,ENE,0.8,14.9,83.0
27205060,2024/05/04,06,,0.001,0.008,0.009,,0.027,,,,0.016,,,ENE,1.0,14.8,82.0
27205060,2024/05/04,07,,0.001,0.008,0.009,,0.028,,,,0.014,,,ENE,1.1,15.8,79.0
27205060,2024/05/04,08,,0.001,0.007,0.008,,0.033,,,,0.014,,,ENE,1.4,17.8,76.0
27205060,2024/05/04,09,,0.001,0.006,0.007,,0.045,,,,0.012,,,N,0.6,19.4,67.0
27205060,2024/05/04,10,,0.001,0.006,0.007,,0.050,,,,0.012,,,SSE,0.8,21.6,56.0
27205060,2024/05/04,11,,0.001,0.006,0.007,,0.059,,,,0.013,,,SSW,1.3,24.1,46.0
27205060,2024/05/04,12,,0.001,0.006,0.007,,0.067,,,,0.013,,,WSW,1.5,25.5,40.0
27205060,2024/05/04,13,,0,0.007,0.007,,0.071,,,,0.012,,,SW,1.8,26.4,38.0
27205060,2024/05/04,14,,0.001,0.007,0.008,,0.075,,,,0.014,,,SW,2.5,27.0,38.0
27205060,2024/05/04,15,,0,0.007,0.007,,0.070,,,,0.009,,,W,1.7,26.4,35.0
27205060,2024/05/04,16,,0.001,0.006,0.007,,0.068,,,,0.012,,,WSW,2.7,24.2,42.0
27205060,2024/05/04,17,,0.001,0.006,0.007,,0.063,,,,0.012,,,WSW,3.0,22.6,47.0
27205060,2024/05/04,18,,0,0.007,0.007,,0.059,,,,0.012,,,SW,2.2,21.2,52.0
27205060,2024/05/04,19,,0,0.007,0.007,,0.056,,,,0.012,,,WSW,1.6,20.2,60.0
27205060,2024/05/04,20,,0,0.008,0.008,,0.053,,,,0.013,,,WSW,1.9,19.6,66.0
27205060,2024/05/04,21,,0,0.008,0.008,,0.050,,,,0.013,,,W,1.4,19.3,71.0
27205060,2024/05/04,22,,0,0.008,0.008,,0.048,,,,0.008,,,WSW,1.2,19.0,72.0
27205060,2024/05/04,23,,0,0.007,0.007,,0.046,,,,0.012,,,WSW,1.2,18.7,74.0
27205060,2024/05/04,24,,0,0.006,0.006,,0.044,,,,0.010,,,W,1.4,18.3,77.0
27205060,2024/05/05,01,,0,0.005,0.005,,0.043,,,,0.010,,,W,1.9,18.1,81.0
27205060,2024/05/05,02,,0,0.005,0.005,,0.041,,,,0.012,,,W,1.4,17.7,83.0
27205060,2024/05/05,03,,0,0.005,0.005,,0.039,,,,0.009,,,WNW,1.0,17.2,78.0
27205060,2024/05/05,04,,0,0.006,0.006,,0.036,,,,0.010,,,WNW,0.7,16.9,78.0
27205060,2024/05/05,05,,0,0.005,0.005,,0.034,,,,0.011,,,CALM,0.4,16.5,79.0
27205060,2024/05/05,06,,0,0.006,0.006,,0.030,,,,0.012,,,E,1.6,16.3,82.0
27205060,2024/05/05,07,,0.001,0.007,0.008,,0.028,,,,0.012,,,ENE,1.8,17.4,82.0
27205060,2024/05/05,08,,0.001,0.006,0.007,,0.034,,,,0.014,,,ENE,2.0,18.8,76.0
27205060,2024/05/05,09,,0.001,0.004,0.005,,0.043,,,,0.013,,,E,2.3,20.7,64.0
27205060,2024/05/05,10,,0.001,0.003,0.004,,0.052,,,,0.017,,,SE,1.1,23.4,50.0
27205060,2024/05/05,11,,0,0.004,0.004,,0.059,,,,0.014,,,W,2.6,23.0,47.0
27205060,2024/05/05,12,,0.001,0.004,0.005,,0.056,,,,0.010,,,W,2.8,23.7,51.0
27205060,2024/05/05,13,,0.001,0.004,0.005,,0.052,,,,0.010,,,WNW,3.3,23.9,54.0
27205060,2024/05/05,14,,0.001,0.003,0.004,,0.050,,,,0.008,,,SW,4.0,23.9,54.0
27205060,2024/05/05,15,,0.001,0.003,0.004,,0.048,,,,0.008,,,WSW,3.7,23.2,56.0
27205060,2024/05/05,16,,0.001,0.003,0.004,,0.048,,,,0.008,,,W,3.2,22.5,58.0
27205060,2024/05/05,17,,0.001,0.003,0.004,,0.048,,,,0.009,,,WSW,3.3,21.5,63.0
27205060,2024/05/05,18,,0,0.004,0.004,,0.047,,,,0.010,,,WNW,2.5,20.6,67.0
27205060,2024/05/05,19,,0,0.005,0.005,,0.045,,,,0.009,,,WSW,1.9,20.1,72.0
27205060,2024/05/05,20,,0,0.006,0.006,,0.043,,,,0.012,,,WNW,1.3,19.6,72.0
27205060,2024/05/05,21,,0,0.008,0.008,,0.042,,,,0.012,,,W,1.1,19.6,73.0
27205060,2024/05/05,22,,0,0.008,0.008,,0.039,,,,0.010,,,CALM,0.4,19.7,72.0
27205060,2024/05/05,23,,0,0.010,0.010,,0.036,,,,0.010,,,E,0.5,19.5,72.0
27205060,2024/05/05,24,,0,0.011,0.011,,0.034,,,,0.009,,,E,0.5,19.6,70.0
27205060,2024/05/06,01,,0,0.009,0.009,,0.032,,,,0.012,,,E,1.2,18.8,72.0
27205060,2024/05/06,02,,0,0.008,0.008,,0.032,,,,0.010,,,ENE,1.3,18.6,67.0
27205060,2024/05/06,03,,0,0.005,0.005,,0.036,,,,0.009,,,ENE,0.8,18.2,69.0
27205060,2024/05/06,04,,0,0.005,0.005,,0.035,,,,0.010,,,E,1.0,18.1,71.0
27205060,2024/05/06,05,,0,0.005,0.005,,0.035,,,,0.011,,,ENE,0.8,18.3,72.0
27205060,2024/05/06,06,,0,0.006,0.006,,0.034,,,,0.009,,,ENE,1.8,18.2,73.0
27205060,2024/05/06,07,,0.001,0.007,0.008,,0.032,,,,0.010,,,ENE,1.7,18.6,72.0
27205060,2024/05/06,08,,0.001,0.006,0.007,,0.034,,,,0.009,,,E,1.9,19.6,68.0
27205060,2024/05/06,09,,0.001,0.006,0.007,,0.037,,,,0.012,,,ENE,1.4,21.3,60.0
27205060,2024/05/06,10,,0,0.005,0.005,,0.041,,,,0.013,,,NE,0.5,21.1,59.0
27205060,2024/05/06,11,,0,0.005,0.005,,0.043,,,,0.011,,,CALM,0.4,21.9,57.0
27205060,2024/05/06,12,,0.001,0.006,0.007,,0.045,,,,0.012,,,SE,1.6,22.5,55.0
