測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
09201080,2024/05/01,01,,,,,,,,,,0.014,,,CALM,0,,
09201080,2024/05/01,02,,,,,,,,,,0.014,,,CALM,0.4,,
09201080,2024/05/01,03,,,,,,,,,,0.015,,,CALM,0.2,,
09201080,2024/05/01,04,,,,,,,,,,0.015,,,CALM,0.2,,
09201080,2024/05/01,05,,,,,,,,,,0.013,,,CALM,0.1,,
09201080,2024/05/01,06,,,,,,,,,,0.012,,,CALM,0.2,,
09201080,2024/05/01,07,,,,,,,,,,0.014,,,CALM,0,,
09201080,2024/05/01,08,,,,,,,,,,0.012,,,CALM,0.4,,
09201080,2024/05/01,09,,,,,,,,,,0.010,,,E,0.8,,
09201080,2024/05/01,10,,,,,,,,,,0.009,,,SE,1.7,,
09201080,2024/05/01,11,,,,,,,,,,0.008,,,ESE,0.9,,
09201080,2024/05/01,12,,,,,,,,,,0.012,,,SSE,4.4,,
09201080,2024/05/01,13,,,,,,,,,,0.015,,,SE,1.1,,
09201080,2024/05/01,14,,,,,,,,,,0.017,,,CALM,0.1,,
09201080,2024/05/01,15,,,,,,,,,,0.017,,,E,1.1,,
09201080,2024/05/01,16,,,,,,,,,,0.015,,,SE,2.3,,
09201080,2024/05/01,17,,,,,,,,,,0.014,,,CALM,0.4,,
09201080,2024/05/01,18,,,,,,,,,,0.018,,,CALM,0.4,,
09201080,2024/05/01,19,,,,,,,,,,0.014,,,N,0.6,,
09201080,2024/05/01,20,,,,,,,,,,0.010,,,CALM,0,,
09201080,2024/05/01,21,,,,,,,,,,0.017,,,N,0.9,,
09201080,2024/05/01,22,,,,,,,,,,0.013,,,NNE,0.5,,
09201080,2024/05/01,23,,,,,,,,,,0.008,,,CALM,0,,
09201080,2024/05/01,24,,,,,,,,,,0.010,,,CALM,0.2,,
09201080,2024/05/02,01,,,,,,,,,,0.011,,,CALM,0,,
09201080,2024/05/02,02,,,,,,,,,,0.014,,,CALM,0,,
09201080,2024/05/02,03,,,,,,,,,,0.013,,,CALM,0.2,,
09201080,2024/05/02,04,,,,,,,,,,0.011,,,N,1.2,,
09201080,2024/05/02,05,,,,,,,,,,0.010,,,N,0.6,,
09201080,2024/05/02,06,,,,,,,,,,0.012,,,N,1.3,,
09201080,2024/05/02,07,,,,,,,,,,0.011,,,NNE,2.0,,
09201080,2024/05/02,08,,,,,,,,,,0.007,,,NNE,1.5,,
09201080,2024/05/02,09,,,,,,,,,,0.008,,,NE,0.7,,
09201080,2024/05/02,10,,,,,,,,,,0.007,,,ESE,1.0,,
09201080,2024/05/02,11,,,,,,,,,,0.005,,,NNE,0.6,,
