測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38204010,2024/05/01,01,,,,,,,,,,,8,,,,,
38204010,2024/05/01,02,,,,,,,,,,,6,,,,,
38204010,2024/05/01,03,,,,,,,,,,,6,,,,,
38204010,2024/05/01,04,,,,,,,,,,,5,,,,,
38204010,2024/05/01,05,,,,,,,,,,,6,,,,,
38204010,2024/05/01,06,,,,,,,,,,,4,,,,,
38204010,2024/05/01,07,,,,,,,,,,,2,,,,,
38204010,2024/05/01,08,,,,,,,,,,,4,,,,,
38204010,2024/05/01,09,,,,,,,,,,,2,,,,,
38204010,2024/05/01,10,,,,,,,,,,,6,,,,,
38204010,2024/05/01,11,,,,,,,,,,,6,,,,,
38204010,2024/05/01,12,,,,,,,,,,,8,,,,,
38204010,2024/05/01,13,,,,,,,,,,,7,,,,,
38204010,2024/05/01,14,,,,,,,,,,,10,,,,,
38204010,2024/05/01,15,,,,,,,,,,,11,,,,,
38204010,2024/05/01,16,,,,,,,,,,,10,,,,,
38204010,2024/05/01,17,,,,,,,,,,,10,,,,,
38204010,2024/05/01,18,,,,,,,,,,,8,,,,,
38204010,2024/05/01,19,,,,,,,,,,,8,,,,,
38204010,2024/05/01,20,,,,,,,,,,,5,,,,,
38204010,2024/05/01,21,,,,,,,,,,,9,,,,,
38204010,2024/05/01,22,,,,,,,,,,,9,,,,,
38204010,2024/05/01,23,,,,,,,,,,,11,,,,,
38204010,2024/05/01,24,,,,,,,,,,,10,,,,,
38204010,2024/05/02,01,,,,,,,,,,,9,,,,,
38204010,2024/05/02,02,,,,,,,,,,,10,,,,,
38204010,2024/05/02,03,,,,,,,,,,,10,,,,,
38204010,2024/05/02,04,,,,,,,,,,,9,,,,,
38204010,2024/05/02,05,,,,,,,,,,,9,,,,,
38204010,2024/05/02,06,,,,,,,,,,,9,,,,,
38204010,2024/05/02,07,,,,,,,,,,,9,,,,,
38204010,2024/05/02,08,,,,,,,,,,,9,,,,,
38204010,2024/05/02,09,,,,,,,,,,,7,,,,,
38204010,2024/05/02,10,,,,,,,,,,,8,,,,,
38204010,2024/05/02,11,,,,,,,,,,,11,,,,,
38204010,2024/05/02,12,,,,,,,,,,,11,,,,,
38204010,2024/05/02,13,,,,,,,,,,,10,,,,,
38204010,2024/05/02,14,,,,,,,,,,,10,,,,,
38204010,2024/05/02,15,,,,,,,,,,,9,,,,,
38204010,2024/05/02,16,,,,,,,,,,,10,,,,,
38204010,2024/05/02,17,,,,,,,,,,,10,,,,,
38204010,2024/05/02,18,,,,,,,,,,,10,,,,,
38204010,2024/05/02,19,,,,,,,,,,,11,,,,,
38204010,2024/05/02,20,,,,,,,,,,,10,,,,,
38204010,2024/05/02,21,,,,,,,,,,,10,,,,,
38204010,2024/05/02,22,,,,,,,,,,,10,,,,,
38204010,2024/05/02,23,,,,,,,,,,,9,,,,,
38204010,2024/05/02,24,,,,,,,,,,,10,,,,,
38204010,2024/05/03,01,,,,,,,,,,,9,,,,,
38204010,2024/05/03,02,,,,,,,,,,,8,,,,,
38204010,2024/05/03,03,,,,,,,,,,,8,,,,,
38204010,2024/05/03,04,,,,,,,,,,,10,,,,,
38204010,2024/05/03,05,,,,,,,,,,,10,,,,,
38204010,2024/05/03,06,,,,,,,,,,,9,,,,,
38204010,2024/05/03,07,,,,,,,,,,,8,,,,,
38204010,2024/05/03,08,,,,,,,,,,,10,,,,,
38204010,2024/05/03,09,,,,,,,,,,,10,,,,,
38204010,2024/05/03,10,,,,,,,,,,,12,,,,,
38204010,2024/05/03,11,,,,,,,,,,,10,,,,,
38204010,2024/05/03,12,,,,,,,,,,,14,,,,,
38204010,2024/05/03,13,,,,,,,,,,,11,,,,,
38204010,2024/05/03,14,,,,,,,,,,,15,,,,,
38204010,2024/05/03,15,,,,,,,,,,,11,,,,,
38204010,2024/05/03,16,,,,,,,,,,,11,,,,,
38204010,2024/05/03,17,,,,,,,,,,,11,,,,,
38204010,2024/05/03,18,,,,,,,,,,,13,,,,,
38204010,2024/05/03,19,,,,,,,,,,,10,,,,,
38204010,2024/05/03,20,,,,,,,,,,,8,,,,,
38204010,2024/05/03,21,,,,,,,,,,,8,,,,,
38204010,2024/05/03,22,,,,,,,,,,,9,,,,,
38204010,2024/05/03,23,,,,,,,,,,,8,,,,,
38204010,2024/05/03,24,,,,,,,,,,,8,,,,,
38204010,2024/05/04,01,,,,,,,,,,,7,,,,,
38204010,2024/05/04,02,,,,,,,,,,,8,,,,,
38204010,2024/05/04,03,,,,,,,,,,,8,,,,,
38204010,2024/05/04,04,,,,,,,,,,,8,,,,,
38204010,2024/05/04,05,,,,,,,,,,,8,,,,,
38204010,2024/05/04,06,,,,,,,,,,,9,,,,,
