,SHAP_HUM_01,SHAP_TEMP_06,SHAP_PM25_22,SHAP_OX_08,SHAP_TEMP_02,SHAP_TEMP_12,SHAP_OX_03,SHAP_TEMP_11,SHAP_OX_02,SHAP_HUM_03,SHAP_HUM_22,SHAP_TEMP_23,SHAP_TEMP_04,SHAP_TEMP_20,SHAP_OX_05,SHAP_OX_06,SHAP_HUM_04,SHAP_PM25_05,SHAP_OX_01,SHAP_TEMP_24,SHAP_TEMP_19,SHAP_PM25_02,SHAP_TEMP_03,SHAP_WD_01,SHAP_SPM_24,SHAP_TEMP_08,SHAP_PM25_15,SHAP_TEMP_01,SHAP_SPM_01
2019-04-18 17:00:00,0.2940196722745896,1.0955915577709674,-0.056347150811925505,-0.6763769590854645,2.5789920151233674,4.137734241485596,-0.40566099017858503,2.744181810617447,1.642892941236496,-0.5389635471999645,-0.07935408206656573,-0.6138059795647859,-3.110599477291107,-0.9898842236399652,-0.26723124250769614,-0.15258696360513566,-0.5266037678718567,-0.35941831141710284,-11.828364324569701,-0.32380035245791083,1.4621547694504262,-0.4546560424566269,-2.878923554420471,0.009982139850035276,0.36117410287261015,0.7399107772856951,-0.12537786347791552,-4.434014921188355,-0.33900174219161266
2019-04-19 14:00:00,0.5852077314257622,1.2014357266947628,0.21988167879171666,-0.026341211290564333,1.9676670420169835,3.710531306266785,-0.433055833876133,2.791052104234695,2.69781439781189,-0.08010656621307131,0.18597629638388752,-0.5005387123301626,-2.877557809352875,-0.7560050636529922,-1.0529615026712418,-0.6170247724652291,-0.052897638101130684,-0.6967913794517518,-10.682388792037965,-0.2706469631381333,0.8948273184895514,-0.4877857232093811,-2.4718452274799345,0.009982139850035276,0.29169474974274634,1.0732491508126256,-0.06967856504023073,-2.941603245735168,-0.19578159686177965
2019-04-19 15:00:00,0.2940196722745896,1.1352831211313608,-0.03793189923278985,-0.5138679978251458,1.8861570191383366,3.8529323315620423,-0.41661895304918295,2.6973115503787994,1.3791629803180696,-0.11834467031061649,0.05331111030653115,-0.517250317838043,-2.6445161914825444,-0.6922197929769754,-0.6832060712575914,-0.6170247724652291,-0.17132417514920234,-0.6967913794517518,-7.244467387199402,-0.2771889509726316,0.9090104506909847,-0.5540450850129127,-2.6198737859725947,0.009982139850035276,0.2569550777971744,0.8922940344875678,0.1531186168827116,-3.0564041090011598,-0.14804154381155968
2019-04-19 16:00:00,0.002831520863255699,0.9103641234803945,-0.019516643183305826,-0.622207370325923,1.9676670420169835,3.710531306266785,-0.40292151540517807,2.2989143621921544,0.5879719752073289,-0.1948208262585103,-0.0627709168428555,-0.5432460611173884,-2.8309495759010312,-0.6993071307986976,-0.35967011481523514,-0.27925181165337565,-0.2009307940304279,-0.4015899775922298,-6.098494520187378,-0.2845486071053892,1.0792085658758879,-0.6534341251850131,-2.54585923910141,0.009982139850035276,0.18747567288577557,0.7684826963767409,-0.06967856504023073,-3.400806713104248,-0.21965160697698588
2019-04-19 17:00:00,-0.482482022345066,0.8442114091711119,-0.16683871440589423,-0.622207370325923,2.2121970677375797,3.1053272819519044,-0.39470302611589436,2.2520440375804904,0.3242415775358677,-0.08010656621307131,-0.013021477260626812,-0.5562438976764679,-2.7377328395843508,-0.7843540860712528,-0.08235349550843236,0.01629951787646858,-0.26014407828450203,-0.06421681944280862,-4.952520475387573,-0.29599707916378976,1.2210405275225642,-0.35526698149740693,-2.6198737859725947,-1.517450759410858,0.1527360092103481,0.7208629098907113,0.09741931471507996,-3.8026100921630865,-0.17191156368702648
2019-04-22 14:00:00,0.2940196722745896,0.9632861812785268,0.38561901323497294,0.13616776126902547,0.9895469665527343,2.820525118112564,-0.4577111794054508,2.158303833007813,4.543927137851714,-0.0036304429732263053,-0.013021477260626812,-0.5135366272181272,-2.1318243825435643,-0.7489179266989231,-1.1916199350357057,-0.27925181165337565,0.09513553861994295,-0.4437616029381751,-14.120311098098757,-0.2771889509726316,1.0933919280022386,-0.7859528887271882,-2.249802245497704,0.009982139850035276,0.04851695970632134,0.8637221366725862,-0.4038743633031846,-1.1621888303756713,-0.02869143578689539
2019-04-22 15:00:00,0.09989428931978181,0.9235946350358428,0.38561901323497294,-0.18885011347476394,0.6227519734576344,2.8917256844043733,-0.4357953493297101,2.0645631432533262,2.1703538143634797,0.03460762878879901,-0.24518556207418435,-0.5209639994055033,-2.3648661649227143,-0.7914413081109524,-1.0529615026712418,-0.7436895620822908,-0.1121108938381076,-0.23290336109697818,-8.390442171096803,-0.2829131173645146,1.0082927624881268,-0.8190826052427292,-1.7317019748687748,0.009982139850035276,0.013777273308951371,0.8256264001876115,-0.4038743633031846,-1.621392552852631,-0.05256146141327913
2019-04-22 16:00:00,0.002831520863255699,0.6986755818966777,0.18305117398500442,-0.18885011347476394,0.9487919621169567,2.7493246555328374,-0.41113993525505066,1.9005172121524807,0.8517022716999054,-0.08010656621307131,-0.3612675832211971,-0.5358187105786055,-1.712349127531052,-0.7489179266989231,-0.7756448930501938,-0.6170247724652291,-0.08250426307553423,-0.3172466675937175,-7.244467387199402,-0.28618404693901545,1.022475927397609,-0.8522122731804849,-1.3986376649141312,0.009982139850035276,-0.055702091404236806,0.5970515437796712,-0.4038743633031846,-1.9657953178882601,0.019048606420692483
2019-04-22 17:00:00,-0.7736701023578645,0.7648282782547176,-0.019516643183305826,-0.784716310352087,1.1933219832181927,2.5001228308677677,-0.3974425634741784,1.73647141456604,0.5879719752073289,-0.0036304429732263053,-0.4441833106428385,-0.5543871446605773,-1.29287407040596,-0.7560050636529922,-0.4058895127475262,-0.36369507372379306,-0.17132417514920234,0.31532798469066614,-4.952520475387573,-0.29272602783516055,1.0508421619236468,-0.5871748110651971,-1.694694707989693,0.009982139850035276,-0.15992114290595055,0.5684796676039696,-0.4038743633031846,-2.5398001384735105,0.019048606420692483
2019-05-10 14:00:00,3.10883791923523,0.9632861812785268,0.5145257651805879,-0.4596984063833952,-0.39612313270568844,2.642523955106735,-0.4248373846709728,1.9942577552795409,3.225274810791016,-1.150772739648819,0.45130666099488737,-0.49311136938631533,-0.9200072342157364,-0.6284346668794751,-0.45210898429155355,-0.194808590374887,-0.9707032400369645,-0.8233063286542894,-12.97433720588684,-0.27555334620177746,0.7813618631660939,-1.382286987900734,-0.5104658052325249,0.009982139850035276,0.34380425751209265,0.8827700250782072,0.26451721891760827,-0.41598288912326103,-0.24352163225412368
