,SHAP_OX_01,SHAP_HUM_01,SHAP_TEMP_01,SHAP_SPM_01,SHAP_PM25_04,SHAP_PM25_05,SHAP_HUM_21,SHAP_PM25_21,SHAP_OX_06,SHAP_TEMP_11
2019-12-13 20:00:00,-4.233041381835937,-0.7168887048959732,-4.594913673400879,0.0264624283649027,0.039625449758023,-0.2045400891453028,-0.6063473135232925,-0.33126008696854115,-0.6972563415765762,4.769687461853027
2019-04-26 03:00:00,-5.721856021881104,-0.2620937571744435,-2.383798050880432,0.0032068535685539036,-0.11377831473946572,-0.3084545165300369,-0.02141170605536899,-0.14455082397907973,-0.6021634012460708,-0.3626266787439817
2020-02-05 11:00:00,-3.488633131980896,-0.888973343372345,-3.7535157203674325,0.045066860690712904,-0.07194090269622393,-0.2895609848201275,-0.8816110283136368,0.10439492668956518,-0.5070703983306885,5.49834840297699
2019-08-31 01:00:00,-6.466265296936035,-0.2620937571744435,-0.9162443570792675,0.04041577186435462,-0.030103562120348187,-0.3462415918707848,-0.02141170605536899,-0.08231445010751483,-0.8874422252178192,-1.471459477394819
2019-09-20 17:00:00,6.1886709213256825,-0.6308463543653489,-1.4641307324171062,0.04971798229962588,0.2488123700022698,-0.03449834212660794,-0.24506359510123735,-0.4972238225862384,-0.6497100055217743,0.8729299932718277
2019-12-29 23:00:00,-2.744224762916565,-0.6062628328800201,-4.731885218620301,0.04971798229962588,-0.044049275666475284,-0.3084545165300369,-0.7267750710248947,-0.28976915813982485,-0.5070703983306885,4.452877140045166
2019-09-10 05:00:00,-14.65475835800171,-0.4218865543603897,-0.48576136752963067,0.031113541685044748,-0.044049275666475284,-0.32734810858964913,-0.09022777024656534,-0.33126008696854115,-1.5055469751358035,-2.168440307676792
2019-04-21 08:00:00,3.9554484605789186,-0.48334525227546693,-2.93168544769287,0.0915779969189316,0.025679683871567233,-0.2612207655794919,-0.7611831039190292,0.0421584654599428,-0.31688452214002605,2.9005105733871455
2019-07-29 05:00:00,-11.677120971679688,-0.3112607948482037,-0.5053287077695131,0.05436909543350339,-0.044049275666475284,-0.36513510793447496,-0.05581978049594908,-0.08231445010751483,-1.5055469751358035,-2.6119735181331634
2019-07-16 20:00:00,-10.93271312713623,-0.2620937571744435,-1.6011029213666916,0.021811284916475396,0.025679683871567233,-0.2612207655794919,-0.02141170605536899,-0.3727509652264415,-1.0776284277439117,-0.235902813822031
2020-01-15 06:00:00,-13.165938568115234,-0.28667726553976536,-4.594913673400879,0.08692684618290512,0.19302913248538972,-0.14785951524972918,-0.2794716410338879,-0.08231445010751483,-1.315360379219055,4.1360671043396
2019-12-19 22:00:00,-11.677120971679688,-0.27438550740480416,-4.360105848312378,0.0032068535685539036,-0.1974530726671219,-0.3462415918707848,-0.4343073144555092,-0.2275326982140541,-1.3629072546958922,4.104386687278748
2020-02-23 10:00:00,3.9554484605789186,-1.0241827338933944,-3.7143805742263796,0.031113541685044748,0.011733857542276344,-0.2706675075925887,-0.6407551318407059,0.7060138624161482,0.11103384094312788,3.97766273021698
2019-10-25 04:00:00,0.9778156638145447,-0.2620937571744435,-2.8338480234146117,0.007857968285679804,0.602051842212677,0.12828149460256094,-0.02141170605536899,0.8234445448964834,-0.41197753846645363,1.7916775941848755
2019-08-20 22:00:00,-3.488633131980896,-0.2620937571744435,-0.8575415748171509,0.007857968285679804,-0.07194090269622393,-0.3084545165300369,-0.02141170605536899,-0.3520055722736288,-0.6021634012460708,-1.5348208911716938
2019-07-08 03:00:00,-7.955083513259888,-0.2620937571744435,-2.1098552346229553,-0.010746569745242605,-0.1974530726671219,-0.4029220972210169,-0.02141170605536899,-0.28976915813982485,-0.8398956537246705,0.20763042957987637
2020-03-27 05:00:00,12.143937587738039,-0.9995992667973042,-2.9121174812316895,0.0357646431773901,-0.044049275666475284,-0.28011427745223044,-1.363322567939758,-0.2067873191088438,0.06348735350184144,0.904611137509346
2019-07-12 07:00:00,-13.910352611541748,-0.2620937571744435,-1.9924506664276123,0.0032068535685539036,-0.08588671069592238,-0.36513510793447496,-0.02141170605536899,-0.14455082397907973,-0.6972563415765762,0.5561208635568619
2019-09-06 23:00:00,-10.93271312713623,-0.2620937571744435,-0.7205699636222562,0.08692684618290512,-0.4205856153741479,-0.657984709739685,-0.02141170605536899,0.10439492668956518,-1.0300818085670471,-2.516931104660034
2020-01-08 22:00:00,-2.744224762916565,-0.7414722204208374,-3.499139428138733,0.0032068535685539036,0.053571193246170865,-0.28011427745223044,-0.07302371375262735,0.0214129403233528,-0.5546168506145477,4.516239190101624
2019-06-07 18:00:00,5.4442644119262695,-0.2620937571744435,-1.9141803145408631,0.021811284916475396,-0.2811278281034902,-0.4312626116909087,-0.2794716410338879,-0.5387148767709732,0.015940870158374323,-0.07749796733260154
2019-12-02 20:00:00,-3.488633131980896,-0.32355249272659414,-3.2056288242340094,0.021811284916475396,-0.05799513603560624,-0.3934754528105259,-0.5203272581100464,-0.16529629526194184,-0.7448029041290283,2.1401681423187258
2019-04-23 19:00:00,17.354792594909664,-0.5693880379199981,-2.403365659713745,0.08692684618290512,0.41616199165582657,0.08830951172858477,-0.38269547373056406,-0.3727509652264415,1.1570563912391663,0.904611137509346
2019-11-13 06:00:00,2.4666322946548465,-0.888973343372345,-3.2838989019393927,0.021811284916475396,-0.14166989997029306,-0.3462415918707848,-0.6751629739999772,-0.24827824532985687,-0.41197753846645363,2.9005105733871455
