,高濃度出現回数,高濃度追跡,高濃度追跡率,高濃度RMSE,予測高濃度出現回数,予測高濃度追跡,予測高濃度追跡率,適合率,lag,locate
0,109,66,60.550458715596335,15.27537737652844,73,66,90.41095890410958,72.52747252747253,1,世田谷区世田谷
0,109,39,35.77981651376147,24.65806390783362,49,39,79.59183673469387,49.36708860759493,2,世田谷区世田谷
0,109,47,43.11926605504588,26.070580274032658,75,47,62.66666666666667,51.08695652173913,3,世田谷区世田谷
0,109,68,62.38532110091744,14.979326943652158,76,68,89.47368421052632,73.51351351351352,1,世田谷区世田谷
0,109,51,46.78899082568808,21.507217382158384,69,51,73.91304347826086,57.30337078651685,2,世田谷区世田谷
0,109,45,41.28440366972477,24.62606307882468,67,45,67.16417910447761,51.13636363636364,3,世田谷区世田谷
0,109,94,86.23853211009175,13.980209453051213,130,94,72.3076923076923,78.66108786610879,1,世田谷区世田谷
0,109,46,42.201834862385326,24.301021601895822,60,46,76.66666666666667,54.43786982248521,2,世田谷区世田谷
0,109,43,39.44954128440367,27.099645791439656,65,43,66.15384615384615,49.42528735632183,3,世田谷区世田谷
0,109,82,75.22935779816514,14.604894187487808,97,82,84.5360824742268,79.61165048543688,1,世田谷区世田谷
0,109,37,33.94495412844037,26.30056963421388,45,37,82.22222222222221,48.05194805194805,2,世田谷区世田谷
0,109,49,44.95412844036697,24.857920502477604,79,49,62.0253164556962,52.12765957446808,3,世田谷区世田谷
0,109,78,71.55963302752293,14.208478918118924,100,78,78.0,74.64114832535886,1,世田谷区世田谷
0,109,69,63.30275229357798,20.7264818033478,118,69,58.47457627118644,60.79295154185023,2,世田谷区世田谷
0,109,47,43.11926605504588,25.234960787897226,66,47,71.21212121212122,53.71428571428572,3,世田谷区世田谷
0,109,90,82.56880733944955,13.103171837869173,117,90,76.92307692307693,79.64601769911506,1,世田谷区世田谷
0,109,61,55.96330275229357,20.531668477396963,89,61,68.53932584269663,61.61616161616161,2,世田谷区世田谷
0,109,33,30.275229357798167,28.22298272127068,45,33,73.33333333333333,42.85714285714286,3,世田谷区世田谷
