,再現率,適合率,調和平均,特徴量,地点,lag
上位10個_世田谷区世田谷_lag=2,41.66666667,71.42857143,52.63157895,上位10個,世田谷区世田谷,2
上位10個_世田谷区世田谷_lag=3,41.66666667,58.82352941,48.7804878,上位10個,世田谷区世田谷,3
上位10個_多摩市愛宕_lag=1,60,58.06451613,59.01639344,上位10個,多摩市愛宕,1
上位10個_多摩市愛宕_lag=2,53.33333333,44.44444444,48.48484848,上位10個,多摩市愛宕,2
上位10個_多摩市愛宕_lag=3,46.66666667,66.66666667,54.90196078,上位10個,多摩市愛宕,3
上位10個_幸手_lag=1,80.64516129,75.75757576,78.125,上位10個,幸手,1
上位10個_幸手_lag=2,67.74193548,65.625,66.66666667,上位10個,幸手,2
上位10個_幸手_lag=3,19.35483871,60,29.26829268,上位10個,幸手,3
上位10個_所沢市東所沢_lag=1,76.31578947,80.55555556,78.37837838,上位10個,所沢市東所沢,1
上位10個_所沢市東所沢_lag=2,71.05263158,69.23076923,70.12987013,上位10個,所沢市東所沢,2
上位10個_所沢市東所沢_lag=3,36.84210526,56,44.44444444,上位10個,所沢市東所沢,3
上位10個_東秩父_lag=1,79.16666667,95,86.36363636,上位10個,東秩父,1
上位10個_東秩父_lag=2,41.66666667,66.66666667,51.28205128,上位10個,東秩父,2
上位10個_東秩父_lag=3,33.33333333,80,47.05882353,上位10個,東秩父,3
上位10個_江戸川区南葛西_lag=1,61.9047619,100,76.47058824,上位10個,江戸川区南葛西,1
上位10個_江戸川区南葛西_lag=2,47.61904762,76.92307692,58.82352941,上位10個,江戸川区南葛西,2
上位10個_江戸川区南葛西_lag=3,38.0952381,50,43.24324324,上位10個,江戸川区南葛西,3
上位10個_草加市西町_lag=1,54.54545455,80,64.86486486,上位10個,草加市西町,1
上位10個_草加市西町_lag=2,50,57.89473684,53.65853659,上位10個,草加市西町,2
上位10個_草加市西町_lag=3,40.90909091,56.25,47.36842105,上位10個,草加市西町,3
上位10個_青梅市東青梅_lag=1,75,81.81818182,78.26086957,上位10個,青梅市東青梅,1
上位10個_青梅市東青梅_lag=2,52.77777778,95,67.85714286,上位10個,青梅市東青梅,2
上位10個_青梅市東青梅_lag=3,47.22222222,73.91304348,57.62711864,上位10個,青梅市東青梅,3
上位10個_鴻巣_lag=1,57.57575758,86.36363636,69.09090909,上位10個,鴻巣,1
上位10個_鴻巣_lag=2,69.6969697,82.14285714,75.40983607,上位10個,鴻巣,2
上位10個_鴻巣_lag=3,63.63636364,67.74193548,65.625,上位10個,鴻巣,3
上位20個_世田谷区世田谷_lag=1,75,78.26086957,76.59574468,上位20個,世田谷区世田谷,1
上位20個_世田谷区世田谷_lag=2,41.66666667,100,58.82352941,上位20個,世田谷区世田谷,2
上位20個_世田谷区世田谷_lag=3,45.83333333,50,47.82608696,上位20個,世田谷区世田谷,3
上位20個_多摩市愛宕_lag=1,56.66666667,73.91304348,64.1509434,上位20個,多摩市愛宕,1
上位20個_多摩市愛宕_lag=2,53.33333333,59.25925926,56.14035088,上位20個,多摩市愛宕,2
上位20個_多摩市愛宕_lag=3,40,60,48,上位20個,多摩市愛宕,3
上位20個_幸手_lag=1,70.96774194,84.61538462,77.19298246,上位20個,幸手,1
上位20個_幸手_lag=2,41.93548387,65,50.98039216,上位20個,幸手,2
上位20個_幸手_lag=3,38.70967742,57.14285714,46.15384615,上位20個,幸手,3
上位20個_所沢市東所沢_lag=1,92.10526316,72.91666667,81.39534884,上位20個,所沢市東所沢,1
上位20個_所沢市東所沢_lag=2,65.78947368,67.56756757,66.66666667,上位20個,所沢市東所沢,2
上位20個_所沢市東所沢_lag=3,50,63.33333333,55.88235294,上位20個,所沢市東所沢,3
上位20個_東秩父_lag=1,83.33333333,83.33333333,83.33333333,上位20個,東秩父,1
上位20個_東秩父_lag=2,62.5,83.33333333,71.42857143,上位20個,東秩父,2
上位20個_東秩父_lag=3,54.16666667,68.42105263,60.46511628,上位20個,東秩父,3
上位20個_江戸川区南葛西_lag=1,80.95238095,77.27272727,79.06976744,上位20個,江戸川区南葛西,1
上位20個_江戸川区南葛西_lag=2,42.85714286,69.23076923,52.94117647,上位20個,江戸川区南葛西,2
上位20個_江戸川区南葛西_lag=3,28.57142857,85.71428571,42.85714286,上位20個,江戸川区南葛西,3
上位20個_草加市西町_lag=1,72.72727273,66.66666667,69.56521739,上位20個,草加市西町,1
上位20個_草加市西町_lag=2,54.54545455,63.15789474,58.53658537,上位20個,草加市西町,2
上位20個_草加市西町_lag=3,36.36363636,57.14285714,44.44444444,上位20個,草加市西町,3
上位20個_青梅市東青梅_lag=1,80.55555556,80.55555556,80.55555556,上位20個,青梅市東青梅,1
上位20個_青梅市東青梅_lag=2,58.33333333,80.76923077,67.74193548,上位20個,青梅市東青梅,2
上位20個_青梅市東青梅_lag=3,58.33333333,44.68085106,50.60240964,上位20個,青梅市東青梅,3
上位20個_鴻巣_lag=1,90.90909091,81.08108108,85.71428571,上位20個,鴻巣,1
上位20個_鴻巣_lag=2,48.48484848,88.88888889,62.74509804,上位20個,鴻巣,2
上位20個_鴻巣_lag=3,48.48484848,57.14285714,52.45901639,上位20個,鴻巣,3
上位30個_世田谷区世田谷_lag=1,75,69.23076923,72,上位30個,世田谷区世田谷,1
上位30個_世田谷区世田谷_lag=2,50,38.70967742,43.63636364,上位30個,世田谷区世田谷,2
上位30個_世田谷区世田谷_lag=3,50,75,60,上位30個,世田谷区世田谷,3
