,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_04,SHAP_OX_02,SHAP_OX_03,SHAP_OX_21,SHAP_OX_05,SHAP_WS_01,SHAP_TEMP_03
2019-04-19 11:00:00,-11.190321445465088,-34.34780769348144,-4.649780964851379,1.8278191328048705,4.622827887535095,-1.0106668770313263,2.295359218120575,-3.649628257751465,0.5353540472686291,33.5529878616333
2019-04-19 12:00:00,-3.818389344215393,-30.99676513671875,-3.1708657503128044,0.5163544595241547,1.2308711409568787,-0.8819801032543182,2.4957626104354866,-1.6322955995798112,0.43452504724264146,27.746631050109862
2019-04-19 13:00:00,0.7890673965215683,-25.635099601745605,-1.903224241733551,-0.38527758605778223,-1.2360064804553985,-0.7532933682203293,2.896568894386292,0.38503704518079757,0.7370117887854576,23.04624710083008
2019-04-19 14:00:00,1.710558795928955,-22.954268074035646,-1.6919506192207336,-1.2869095623493192,-2.777805042266846,-0.6597029849886895,3.4977781534194947,1.7719529747962952,-0.5737642094492912,20.28131237030029
2019-04-19 15:00:00,6.318015813827516,-20.608539962768553,-1.6919506192207336,-1.942641842365265,-3.0861646652221677,-0.6012089602649212,2.696165347099304,3.1588693141937254,-0.0696195697877556,15.857421684265137
2019-04-22 12:00:00,-10.729576492309572,-23.624476814270018,-3.593412733078003,1.008153723180294,3.3893889665603636,-0.9638714021071791,2.0949559688568113,-1.2540454939007761,-0.1704484898597002,22.493259429931637
2019-04-22 13:00:00,-3.818389344215393,-19.603227519989012,-2.9595921516418455,0.18848824203014375,1.0766914784908295,-0.83518488407135,1.6941496968269352,-0.37146269641816615,0.13203827352263037,18.34586067199707
2019-04-22 14:00:00,1.710558795928955,-15.246874141693116,-2.5370449304580687,-0.713143737614155,-1.2360064804553985,-0.7474439144134521,1.8945527791976926,0.8893701381981373,-0.47293525785207746,14.198462390899659
2019-04-22 15:00:00,6.318015813827516,-13.571354866027832,-2.3257708549499507,-1.327892792224884,-3.0861646652221677,-0.6597029849886895,-0.5102852284908295,2.2762860536575316,-0.5737642094492912,10.88054313659668
2019-05-10 10:00:00,-21.32672786712647,-28.651040458679198,-1.903224241733551,1.6638861417770385,5.856266689300537,-1.1276546955108644,-1.9131074786186217,-1.6322955995798112,-0.6745931029319763,22.216763496398922
2019-05-10 11:00:00,-8.425845718383789,-20.608539962768553,-0.42430976452305913,1.336019918322563,4.622827887535095,-0.9287752285599709,-1.9131074786186217,-1.380128799378872,-0.47293525785207746,19.175341415405274
2019-05-10 12:00:00,1.710558795928955,-18.59791440963745,0.8433315247297287,-0.0574114205315709,0.3057919968385249,-0.8819801032543182,-1.7127044916152954,-0.875795778632164,-0.37210634350776667,18.34586067199707
2019-05-10 13:00:00,6.318015813827516,-14.241560935974121,1.2658785592764612,-0.38527758605778223,-3.0861646652221677,-0.7181969508528709,-1.1114947557449342,1.2676199316978454,-0.6745931029319763,11.710022640228269
2019-05-10 14:00:00,3.5535417556762696,-11.225625228881835,2.533519384264946,-1.5328090667724612,-4.627963519096375,-0.5895101994276046,-1.3118979752063749,1.7719529747962952,-0.37210634350776667,10.051063632965088
2019-05-10 15:00:00,3.5535417556762696,-9.550104713439941,1.8996989365667105,-2.434441125392914,-3.702884292602539,-0.5310163139132783,-2.3139138221740723,3.5371188640594484,-1.178737649321556,6.456651020050051
2019-05-10 16:00:00,2.632050132751465,-10.220312690734863,2.1109727948904036,-2.8442736029624944,-3.702884292602539,-0.5661126237362624,-4.11754207611084,4.92403507232666,-0.8762509524822235,3.968211960792542
2019-05-10 17:00:00,9.08249077796936,-12.901145744323731,1.0546049296855926,-2.5983743190765383,-3.3945243835449217,-0.5661126237362624,-5.921170854568482,5.554451203346252,-1.6828823313117027,2.585745370388031
2019-05-10 18:00:00,13.689947032928467,-17.92770662307739,-0.2130360871553422,-2.5983743190765383,-5.553042554855347,-0.577811404876411,-8.125605869293214,5.176201319694519,-1.9853690356016158,3.138731980323791
2019-05-10 19:00:00,11.846964359283445,-23.624476814270018,-0.6355831522494555,-2.5164079427719117,-7.094841480255129,-0.4959197912365199,-9.328025341033936,5.176201319694519,-0.37210634350776667,5.350677633285523
2019-05-10 20:00:00,11.846964359283445,-28.651040458679198,-2.3257708549499507,-3.090173840522766,-6.478120899200439,-0.43742588236927993,-8.927219009399414,5.050118374824524,-1.0779088124632836,9.498076438903809
2019-05-11 10:00:00,-13.033303546905518,-29.656351089477546,-4.015959477424621,1.4179863363504412,4.931187629699707,-1.0106668770313263,4.299390816688538,-2.640961456298828,-0.1704484898597002,25.81117935180664
2019-05-11 11:00:00,-0.1324240120127797,-27.980826950073244,-3.382138657569885,0.5163544595241547,1.8475903272628784,-0.8936788402497768,4.299390816688538,-1.001879097521305,-0.7754220306873322,24.42871112823487
2019-05-11 12:00:00,5.396523952484131,-20.2734335899353,-1.2694036886096,-0.30331105217337606,-2.469445347785949,-0.7766909271478653,4.098988008499146,0.38503704518079757,-0.37210634350776667,19.175341415405274
2019-05-11 13:00:00,11.846964359283445,-13.571354866027832,0.4207845784723759,-1.1229765176773072,-4.319603276252746,-0.6129077479243279,5.501809930801391,1.6458697080612184,-0.5737642094492912,17.792874336242676
2019-05-11 14:00:00,21.983369255065917,-9.885208606719972,0.4207845784723759,-2.270508050918579,-6.478120899200439,-0.5427150471135974,6.503825950622558,2.9067026615142826,-0.7754220306873322,11.43352928161621
