,予測値,実測値,予測値_lug
7001,32.042774,34.0,33.104797
7002,33.104797,30.0,28.246456
7003,28.246456,29.0,30.002758
7004,30.002758,31.0,31.199764
7005,31.199764,31.0,31.117483
7006,31.117483,31.0,32.360077
7007,32.360077,31.0,32.297348
7008,32.297348,33.0,32.99341
7009,32.99341,36.0,35.820107
7010,35.820107,36.0,34.877243
7011,34.877243,33.0,30.466866
7012,30.466866,31.0,30.077953
7013,30.077953,27.000002,25.789103
7014,25.789103,23.0,24.417929
7015,24.417929,23.0,26.313057
7016,26.313057,27.000002,30.758116
7017,30.758116,29.0,32.014744
7018,32.014744,31.999998,34.008255
7019,34.008255,35.0,36.83357
7020,36.83357,40.0,40.561718
7021,40.561718,39.0,37.776207
7022,37.776207,36.0,36.202293
7023,36.202293,36.0,35.714054
7024,35.714054,36.0,35.52096
7025,35.52096,37.0,37.16206
7026,37.16206,36.0,36.8107
7027,36.8107,36.0,34.992634
7028,34.992634,34.0,32.626137
7029,32.626137,31.0,30.997019
7030,30.997019,28.0,28.474846
7031,28.474846,27.000002,27.479645
7032,27.479645,25.0,25.095861
7033,25.095861,23.0,24.086996
7034,24.086996,24.0,26.450361
7035,26.450361,26.0,27.239202
7036,27.239202,29.0,29.52672
7037,29.52672,31.999998,32.03333
7038,32.03333,31.999998,31.038633
7039,31.038633,34.0,33.452164
7040,33.452164,34.0,33.148434
7041,33.148434,37.0,36.490047
7042,36.490047,40.0,37.945747
7043,37.945747,41.0,37.650948
7044,37.650948,44.000004,39.909428
7045,39.909428,44.000004,41.069706
7046,41.069706,43.0,39.759365
7047,39.759365,42.0,39.262585
7048,39.262585,40.0,39.022247
7049,39.022247,40.0,37.427437
7050,37.427437,38.0,37.10137
7051,37.10137,39.0,37.64543
7052,37.64543,39.0,37.302124
7053,37.302124,38.0,35.608524
7054,35.608524,38.0,35.264076
7055,35.264076,37.0,33.506386
7056,33.506386,34.0,32.2703
7057,32.2703,31.0,30.161726
7058,30.161726,27.000002,26.315329
7059,26.315329,23.0,22.791601
7060,22.791601,20.0,23.036356
7061,23.036356,18.0,18.251383
7062,18.251383,6.0,10.797723
7063,10.797723,7.0,15.646137
7064,15.646137,10.0,16.352657
7065,16.352657,10.0,15.565454
7066,15.565454,13.0,20.28026
7067,20.28026,11.000001,16.973793
7068,16.973793,12.0,19.045258
7069,19.045258,20.0,27.661552
7070,27.661552,23.0,27.631973
7071,27.631973,23.0,24.7734
7072,24.7734,26.0,28.068054
7073,28.068054,29.0,28.87795
7074,28.87795,34.0,31.461235
7075,31.461235,30.0,26.309652
7076,26.309652,28.0,26.91957
7077,26.91957,29.0,27.530556
7078,27.530556,29.0,28.372108
7079,28.372108,31.999998,32.48174
7080,32.48174,29.0,28.47019
7081,28.47019,28.0,28.713282
7082,28.713282,28.0,28.731804
7083,28.731804,26.0,26.06651
7084,26.06651,25.0,26.181084
7085,26.181084,24.0,25.803947
