,予測値,実測値,予測値_lug
5859,18.182959,18.0,19.748241
5860,19.748241,21.0,22.489695
5861,22.489695,23.0,24.508373
5862,24.508373,21.0,22.334766
5863,22.334766,19.0,22.887848
5864,22.887848,21.0,26.288671
5865,26.288671,22.000002,27.899878
5866,27.899878,26.0,32.673016
5867,32.673016,33.0,39.776917
5868,39.776917,44.000004,53.07121
5869,53.07121,45.0,47.88054
5870,47.88054,38.5,37.090298
5871,37.090298,31.999998,30.563536
5872,30.563536,30.0,30.111288
5873,30.111288,27.000002,27.045256
5874,27.045256,29.0,29.238203
5875,29.238203,29.0,29.39247
5876,29.39247,35.0,37.38122
5877,37.38122,33.0,33.513996
5878,33.513996,35.0,35.85687
5879,35.85687,37.0,37.27342
5880,37.27342,36.5,36.4976
5881,36.4976,36.0,36.192898
5882,36.192898,33.0,32.088608
5883,32.088608,27.000002,25.87042
5884,25.87042,20.0,18.795053
5885,18.795053,21.0,22.194454
5886,22.194454,22.000002,23.864134
5887,23.864134,20.0,21.909706
5888,21.909706,18.0,20.730219
5889,20.730219,17.0,21.001354
5890,21.001354,30.0,39.684937
5891,39.684937,33.0,37.478558
5892,37.478558,38.0,45.687878
5893,45.687878,45.0,50.576744
5894,50.576744,43.0,42.66676
5895,42.66676,40.0,38.989853
5896,38.989853,40.0,39.332584
5897,39.332584,40.0,39.27082
5898,39.27082,39.0,38.63226
5899,38.63226,37.0,36.472095
5900,36.472095,42.0,40.576363
5901,40.576363,40.0,40.14333
5902,40.14333,45.0,43.446003
5903,43.446003,44.000004,42.63759
5904,42.63759,41.0,39.85239
5905,39.85239,37.0,35.588013
5906,35.588013,31.0,29.61914
5907,29.61914,31.0,30.470072
5908,30.470072,30.0,29.503082
5909,29.503082,26.0,25.548864
5910,25.548864,25.0,25.832544
5911,25.832544,22.000002,24.503979
5912,24.503979,23.0,27.823177
5913,27.823177,28.0,34.98679
5914,34.98679,35.0,43.46191
5915,43.46191,46.0,55.50968
5916,55.50968,62.0,73.12266
5917,73.12266,65.0,66.61578
5918,66.61578,60.0,57.241745
5919,57.241745,54.000004,49.27914
5920,49.27914,44.000004,39.62806
5921,39.62806,28.0,25.93835
5922,25.93835,28.0,30.758322
5923,30.758322,26.0,25.563395
5924,25.563395,14.0,14.924047
5925,14.924047,15.0,20.294552
5926,20.294552,21.0,25.314053
5927,25.314053,22.000002,23.842367
5928,23.842367,31.999998,34.25781
5929,34.25781,29.0,27.310402
5930,27.310402,29.0,29.826061
5931,29.826061,10.0,10.400377
5932,10.400377,7.0,9.867982
5933,9.867982,1.9999999,6.2546544
5934,6.2546544,6.0,12.0717325
5935,12.0717325,10.0,17.542017
5936,17.542017,18.0,28.274242
5937,28.274242,29.0,45.47417
5938,45.47417,49.000004,64.76769
5939,64.76769,34.0,34.049934
5940,34.049934,24.0,27.004517
5941,27.004517,34.0,47.09885
5942,47.09885,30.0,28.723072
5943,28.723072,21.0,21.91552
5944,21.91552,11.000001,11.80037
5945,11.80037,5.0,7.550786
5946,7.550786,1.9999999,6.2517095
5947,6.2517095,1.9999999,7.3996067
5948,7.3996067,0.99999994,6.413762
5949,6.413762,0.99999994,6.889253
5950,6.889253,0.99999994,6.1849475
5951,6.1849475,0.99999994,5.6314244
5952,5.6314244,0.99999994,5.6231885
5953,5.6231885,0.99999994,5.4456205
5954,5.4456205,0.0,4.336709
5955,4.336709,0.0,4.747329
5956,4.747329,0.99999994,5.9198895
5957,5.9198895,0.99999994,6.0752144
5958,6.0752144,0.99999994,7.02623
5959,7.02623,3.0,9.206826
5960,9.206826,7.0,14.321367
5961,14.321367,10.0,18.952377
5962,18.952377,12.0,17.813122
5963,17.813122,14.0,22.031017
5964,22.031017,20.0,26.677616
5965,26.677616,33.0,39.934994
5966,39.934994,34.0,34.763493
5967,34.763493,15.0,14.987349
5968,14.987349,10.0,12.883186
5969,12.883186,7.9999995,12.165052
5970,12.165052,7.9999995,12.192454
5971,12.192454,6.0,10.002244
5972,10.002244,1.9999999,6.8461394
5973,6.8461394,7.9999995,12.984748
