,予測値,実測値,予測値_lug
6961,23.634663,24.0,23.46787
6962,23.46787,24.0,22.784851
6963,22.784851,24.0,22.438217
6964,22.438217,22.000002,18.46832
6965,18.46832,20.0,17.810244
6966,17.810244,18.0,17.206055
6967,17.206055,18.0,17.470524
6968,17.470524,15.0,15.082552
6969,15.082552,14.0,15.14521
6970,15.14521,15.999999,19.8394
6971,19.8394,23.0,26.050266
6972,26.050266,26.0,25.292625
6973,25.292625,12.0,8.731786
6974,8.731786,12.0,13.236473
6975,13.236473,6.0,4.0971956
6976,4.0971956,0.99999994,1.1947545
6977,1.1947545,0.99999994,1.3211864
6978,1.3211864,1.9999999,2.283771
6979,2.283771,1.9999999,0.98232555
6980,0.98232555,0.99999994,0.18398076
6981,0.18398076,0.99999994,-0.63902676
6982,-0.63902676,0.99999994,0.35118002
6983,0.35118002,0.99999994,0.9787845
6984,0.9787845,0.99999994,1.4651599
6985,1.4651599,0.99999994,0.6482643
6986,0.6482643,3.9999998,6.884258
6987,6.884258,3.9999998,2.581757
6988,2.581757,3.9999998,6.098675
6989,6.098675,11.000001,14.212403
6990,14.212403,10.0,10.274377
6991,10.274377,11.000001,13.221644
6992,13.221644,13.0,16.396152
6993,16.396152,15.999999,21.1205
6994,21.1205,23.0,29.475143
6995,29.475143,27.000002,32.374104
6996,32.374104,33.0,38.917625
6997,38.917625,37.0,40.75004
6998,40.75004,37.0,39.0015
6999,39.0015,38.0,38.923805
7000,38.923805,34.0,32.25941
7001,32.25941,34.0,31.7277
7002,31.7277,30.0,26.53919
7003,26.53919,29.0,27.854023
7004,27.854023,31.0,28.581242
7005,28.581242,31.0,29.575945
7006,29.575945,31.0,30.264612
7007,30.264612,31.0,31.387804
7008,31.387804,33.0,32.123814
7009,32.123814,36.0,35.46754
7010,35.46754,36.0,34.53816
7011,34.53816,33.0,27.768627
7012,27.768627,31.0,27.662737
7013,27.662737,27.000002,22.177872
7014,22.177872,23.0,21.606148
7015,21.606148,23.0,23.6176
7016,23.6176,27.000002,30.41607
7017,30.41607,29.0,33.292377
7018,33.292377,31.999998,37.730637
7019,37.730637,35.0,41.376728
7020,41.376728,40.0,46.279156
7021,46.279156,39.0,41.5054
7022,41.5054,36.0,38.79327
7023,38.79327,36.0,37.40569
7024,37.40569,36.0,37.133167
7025,37.133167,37.0,38.247013
7026,38.247013,36.0,38.28008
7027,38.28008,36.0,34.568813
7028,34.568813,34.0,30.871084
7029,30.871084,31.0,28.792284
7030,28.792284,28.0,26.707613
7031,26.707613,27.000002,25.573517
7032,25.573517,25.0,23.12568
7033,23.12568,23.0,21.649801
7034,21.649801,24.0,23.597134
7035,23.597134,26.0,24.8597
7036,24.8597,29.0,26.983946
7037,26.983946,31.999998,29.680588
7038,29.680588,31.999998,28.959927
7039,28.959927,34.0,31.845028
7040,31.845028,34.0,32.15252
7041,32.15252,37.0,36.509922
7042,36.509922,40.0,39.94744
7043,39.94744,41.0,39.93309
7044,39.93309,44.000004,42.2409
7045,42.2409,44.000004,44.43641
7046,44.43641,43.0,41.42146
7047,41.42146,42.0,39.111717
7048,39.111717,40.0,38.273132
7049,38.273132,40.0,36.87851
7050,36.87851,38.0,36.423798
7051,36.423798,39.0,37.00464
7052,37.00464,39.0,36.189148
7053,36.189148,38.0,34.66831
7054,34.66831,38.0,34.560074
7055,34.560074,37.0,33.181118
7056,33.181118,34.0,30.924282
7057,30.924282,31.0,28.405128
7058,28.405128,27.000002,23.7948
7059,23.7948,23.0,18.836369
7060,18.836369,20.0,18.120152
7061,18.120152,18.0,13.231126
7062,13.231126,6.0,4.4369607
7063,4.4369607,7.0,7.802477
7064,7.802477,10.0,12.235765
7065,12.235765,10.0,10.494274
7066,10.494274,13.0,17.388577
7067,17.388577,11.000001,12.690105
7068,12.690105,12.0,12.777734
7069,12.777734,20.0,25.25348
7070,25.25348,23.0,23.583372
7071,23.583372,23.0,19.416088
7072,19.416088,26.0,23.123634
7073,23.123634,29.0,27.037117
7074,27.037117,34.0,30.662846
7075,30.662846,30.0,25.147842
7076,25.147842,28.0,25.847097
7077,25.847097,29.0,26.239561
7078,26.239561,29.0,27.923996
7079,27.923996,31.999998,32.311607
7080,32.311607,29.0,27.693722
7081,27.693722,28.0,27.008493
7082,27.008493,28.0,26.754734
7083,26.754734,26.0,23.44482
7084,23.44482,25.0,23.39854
7085,23.39854,24.0,22.62698
7086,22.62698,24.0,24.25575
7087,24.25575,24.0,23.236351
7088,23.236351,27.000002,30.398739
7089,30.398739,33.0,38.452587
7090,38.452587,37.0,42.857872
7091,42.857872,38.0,44.653603
7092,44.653603,40.0,42.608406
7093,42.608406,40.0,43.932587
7094,43.932587,39.0,40.191795
7095,40.191795,39.0,41.079258
7096,41.079258,38.0,38.726185
7097,38.726185,36.0,34.144688
7098,34.144688,35.0,32.32954
7099,32.32954,35.0,31.765846
7100,31.765846,35.0,31.45895
7101,31.45895,31.999998,30.611374
7102,30.611374,29.0,28.718267
7103,28.718267,30.0,30.09392
7104,30.09392,31.0,31.132397
7105,31.132397,33.0,31.689142
7106,31.689142,33.0,32.034893
7107,32.034893,31.999998,28.965193
7108,28.965193,31.0,27.14925
7109,27.14925,27.000002,22.861065
7110,22.861065,23.0,19.709078
7111,19.709078,23.0,21.551773
7112,21.551773,22.000002,21.793142
7113,21.793142,23.0,23.667507
7114,23.667507,22.000002,22.314354
7115,22.314354,22.000002,22.670788
7116,22.670788,31.999998,33.37051
7117,33.37051,35.0,34.160404
7118,34.160404,35.0,34.31196
7119,34.31196,27.000002,27.29612
7120,27.29612,27.000002,28.058006
7121,28.058006,28.0,28.881634
7122,28.881634,30.0,30.126911
7123,30.126911,31.0,30.823046
7124,30.823046,28.0,29.15563
7125,29.15563,29.0,29.263062
7126,29.263062,29.0,30.095167
7127,30.095167,19.0,18.055975
7128,18.055975,24.0,24.755886
7129,24.755886,17.0,16.787872
7130,16.787872,13.0,9.470802
7131,9.470802,13.0,10.7693615
7132,10.7693615,6.0,4.9265156
7133,4.9265156,3.9999998,2.7998457
7134,2.7998457,1.9999999,1.4953847
7135,1.4953847,3.0,3.4663286
7136,3.4663286,3.0,1.9141257
7137,1.9141257,3.9999998,4.5670633
7138,4.5670633,12.0,19.839615
7139,19.839615,21.0,25.429968
7140,25.429968,28.0,28.804068
7141,28.804068,33.0,38.558628
7142,38.558628,33.0,39.613564
7143,39.613564,26.0,24.669018
7144,24.669018,3.9999998,5.234477
7145,5.234477,12.0,13.11573
7146,13.11573,13.0,8.306316
7147,8.306316,3.0,1.7970511
7148,1.7970511,0.99999994,1.0869613
7149,1.0869613,6.0,11.145491
7150,11.145491,21.0,23.948828
7151,23.948828,22.000002,20.929207
7152,20.929207,22.000002,22.87814
7153,22.87814,24.0,24.685331
7154,24.685331,19.0,17.157944
7155,17.157944,19.0,18.287216
7156,18.287216,21.0,18.522787
7157,18.522787,22.000002,20.120369
7158,20.120369,22.000002,20.225264
7159,20.225264,17.0,15.824183
7160,15.824183,17.0,19.65494
7161,19.65494,20.0,24.092958
7162,24.092958,25.0,29.534037
7163,29.534037,28.0,35.15641
7164,35.15641,31.0,39.352158
7165,39.352158,38.0,44.9349
7166,44.9349,38.0,37.191685
7167,37.191685,41.0,39.416264
7168,39.416264,38.0,31.30757
7169,31.30757,29.0,21.77669
7170,21.77669,30.0,26.164137
7171,26.164137,33.0,32.060875
7172,32.060875,36.0,38.6492
7173,38.6492,35.0,36.621162
7174,36.621162,35.0,35.636932
7175,35.636932,33.0,29.671766
7176,29.671766,29.500002,24.167765
7177,24.167765,26.0,25.610552
7178,25.610552,23.0,21.000772
7179,21.000772,27.000002,27.865694
7180,27.865694,24.0,19.166773
7181,19.166773,19.0,19.932919
7182,19.932919,15.999999,14.425176
7183,14.425176,14.0,15.419766
7184,15.419766,21.0,26.436243
7185,26.436243,28.0,33.920162
7186,33.920162,31.999998,40.040867
7187,40.040867,36.0,44.903378
7188,44.903378,41.0,46.650063
7189,46.650063,41.0,44.88906
7190,44.88906,39.0,40.648575
7191,40.648575,40.0,39.456345
7192,39.456345,36.0,32.852547
7193,32.852547,36.0,34.577244
7194,34.577244,34.0,31.500166
7195,31.500166,33.0,32.01516
7196,32.01516,26.0,25.626406
7197,25.626406,26.0,26.417797
7198,26.417797,29.0,29.369354
7199,29.369354,27.000002,25.020096
7200,25.020096,28.0,23.895746
7201,23.895746,25.0,21.984112
7202,21.984112,27.000002,25.519222
7203,25.519222,28.0,26.270723
7204,26.270723,25.0,21.931301
7205,21.931301,23.0,20.623802
7206,20.623802,20.0,17.654432
7207,17.654432,14.0,12.219473
7208,12.219473,17.0,17.185871
7209,17.185871,21.0,24.31054
7210,24.31054,15.999999,16.094992
7211,16.094992,12.0,13.328132
7212,13.328132,15.0,17.428452
7213,17.428452,15.0,14.106392
7214,14.106392,15.0,15.149555
7215,15.149555,9.0,7.217921
7216,7.217921,7.0,6.1734543
7217,6.1734543,9.0,12.943448
7218,12.943448,13.0,14.136018
7219,14.136018,15.999999,13.194682
7220,13.194682,7.0,3.6971078
7221,3.6971078,3.0,1.7081215
7222,1.7081215,1.9999999,0.91884077
7223,0.91884077,0.99999994,0.94164133
7224,0.94164133,1.9999999,0.83937603
7225,0.83937603,0.99999994,0.8093272
7226,0.8093272,0.99999994,0.73810536
7227,0.73810536,0.99999994,0.12067437
7228,0.12067437,0.99999994,0.025224805
7229,0.025224805,0.99999994,0.32987505
7230,0.32987505,0.99999994,0.90141654
7231,0.90141654,1.9999999,0.55405617
7232,0.55405617,3.0,2.2364593
7233,2.2364593,5.0,2.9282353
7234,2.9282353,7.0,6.967062
7235,6.967062,13.0,24.828434
7236,24.828434,15.0,16.192833
7237,16.192833,13.0,25.10278
7238,25.10278,19.0,32.516434
7239,32.516434,24.0,25.254326
7240,25.254326,13.0,6.8584833
7241,6.8584833,0.99999994,1.363073
7242,1.363073,0.99999994,1.2529167
7243,1.2529167,1.9999999,1.6023543
7244,1.6023543,7.9999995,12.983017
7245,12.983017,19.0,10.9425
7246,10.9425,23.0,19.48639
7247,19.48639,23.0,16.371017
7248,16.371017,20.0,18.480461
7249,18.480461,22.000002,21.418959
7250,21.418959,18.0,13.400908
7251,13.400908,22.000002,20.75019
7252,20.75019,20.0,15.670063
7253,15.670063,20.0,20.71258
7254,20.71258,18.0,16.716854
7255,16.716854,15.0,15.585095
7256,15.585095,17.0,19.554619
7257,19.554619,19.0,21.295748
7258,21.295748,24.0,31.746859
7259,31.746859,36.0,48.70638
7260,48.70638,40.0,46.538437
7261,46.538437,44.5,49.61989
7262,49.61989,49.000004,49.447117
7263,49.447117,52.0,50.128506
7264,50.128506,39.0,28.319609
7265,28.319609,10.0,3.7455244
7266,3.7455244,31.0,38.261635
7267,38.261635,35.0,28.230566
7268,28.230566,34.0,30.99521
7269,30.99521,34.0,22.809704
7270,22.809704,31.0,22.610695
7271,22.610695,23.0,12.053414
7272,12.053414,12.0,6.7292166
7273,6.7292166,3.9999998,3.7313552
7274,3.7313552,7.0,8.1415415
7275,8.1415415,12.0,12.895117
7276,12.895117,12.0,11.183084
7277,11.183084,7.9999995,5.8336797
7278,5.8336797,3.9999998,3.74506
7279,3.74506,3.0,2.21653
7280,2.21653,3.9999998,4.426929
7281,4.426929,6.0,9.848652
7282,9.848652,9.0,13.96767
7283,13.96767,6.0,3.8248765
7284,3.8248765,9.0,15.131295
7285,15.131295,10.0,7.658539
7286,7.658539,19.0,31.591734
7287,31.591734,25.0,16.514116
7288,16.514116,18.0,15.077869
7289,15.077869,0.99999994,1.6494803
7290,1.6494803,13.0,60.892406
7291,60.892406,35.0,32.29071
7292,32.29071,39.0,36.882584
7293,36.882584,37.0,27.748919
7294,27.748919,40.0,37.99868
7295,37.99868,40.0,37.767155
7296,37.767155,38.0,37.71681
7297,37.71681,35.0,33.9297
7298,33.9297,29.0,24.98077
7299,24.98077,27.000002,24.82144
7300,24.82144,30.0,26.812166
7301,26.812166,25.0,24.511827
7302,24.511827,28.0,27.756413
7303,27.756413,23.0,24.331446
7304,24.331446,29.0,30.315182
7305,30.315182,29.0,34.336803
7306,34.336803,31.0,36.699387
7307,36.699387,33.0,40.54737
7308,40.54737,36.0,39.772728
7309,39.772728,41.0,46.498367
7310,46.498367,42.0,41.647617
7311,41.647617,45.0,43.321796
7312,43.321796,38.0,32.314064
7313,32.314064,28.0,24.135431
7314,24.135431,27.000002,24.016785
7315,24.016785,26.0,23.574787
7316,23.574787,24.0,22.466858
7317,22.466858,21.0,20.28729
7318,20.28729,22.000002,20.93758
7319,20.93758,21.0,19.378952
7320,19.378952,15.5,14.044314
7321,14.044314,10.0,9.986748
