,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_WS_01,SHAP_TEMP_22,SHAP_TEMP_06,SHAP_TEMP_21,SHAP_WS_02,SHAP_TEMP_05,SHAP_SPM_04,SHAP_OX_02,SHAP_WD_03,SHAP_WD_04,SHAP_OX_06,SHAP_TEMP_07,SHAP_TEMP_20,SHAP_HUM_02,SHAP_WS_04,SHAP_NO2_15,SHAP_OX_17,SHAP_SPM_20,SHAP_NOX_15,SHAP_TEMP_24,SHAP_NO2_16,SHAP_WS_05,SHAP_OX_07,SHAP_NO2_14,SHAP_NOX_16,SHAP_HUM_03,SHAP_NO2_10
2019-04-30 12:00:00,13.2692120552063,0.6373582117259502,-0.9927710235118866,3.712405490875244,0.8414494410157204,1.2597412765026095,0.10208832779899238,0.35678230663761495,0.33836300410330294,0.016860343329608413,-0.13455124963074924,-0.0643574573099613,-0.030063915089704085,0.3353861873969436,-0.04484131038188934,-0.45027845501899727,1.1180948436260223,-0.04593431371613403,0.03599359185900537,0.9685156106948852,0.1746164787560701,0.011136040231212969,-1.0322281569242477,-0.24667722880840307,-0.06038355876225976,0.15615198854357001,0.1896701496094465,0.1887432485818863,0.1742899715900421,0.22864929512143134
2019-11-10 19:00:00,5.752219343185426,-1.4056731820106507,0.18975465632975097,0.5957074135541915,-2.479778265953064,-0.5290070734918119,-1.549627161026001,-0.07188702486455437,-2.8951053619384766,0.13037507608532903,0.06059732846915722,-0.070702235691715,-0.033471619238844105,0.6698643684387207,1.2072667956352234,0.9261636078357697,-1.6873987555503844,0.025408334750682084,0.06748437155038114,-0.6557830303907395,0.4847971126437187,0.053054183139465735,0.039460420655086634,0.08122609769925473,0.3229116901755333,0.20131021477282043,0.14831143915653228,0.005501564498990771,-0.5729028195142746,0.22864929512143134
2019-12-18 02:00:00,-18.848856925964355,-5.491736245155335,-4.540348696708679,-1.3989785432815554,-5.537415885925293,3.1887825727462777,-2.7943971395492553,-0.29479528963565826,4.178107452392578,0.28754939921200273,0.841191166639328,-0.007254806905984889,-0.01302546095103024,-0.7288618296384812,-1.2247121615335346,2.052344024181366,2.9136103391647348,0.08882395832333714,0.12259330097585912,-1.1633760333061218,0.15246076798066494,0.19557585896691307,1.1481040894985202,0.3197010993957519,0.4622917100787163,-0.2954292342066765,0.6032575577497482,-0.3304415598511695,0.20677661821246146,-0.27946870382875205
2019-06-09 01:00:00,8.485672330856323,0.30605610460042953,-2.8510256767272946,1.0943793058395386,1.2104751467704773,-1.0200354278087616,0.3414672724436968,-0.0032999284099787403,-3.70347204208374,0.025592246372252676,-0.13455124963074924,-0.0833917064592242,-0.033471619238844105,0.8218994021415711,1.640688383579254,-0.8673822991549969,2.4647318840026857,-0.08556905090808867,0.020248201023787236,0.3594036251306534,0.10814917907118793,0.0027524079196155024,-1.1061379849910735,-0.1274396081455052,-0.47852390110492704,0.2577578447759151,-0.1411996611393988,0.11239254293031986,0.060586730216164154,0.2896233588457108
2019-11-19 06:00:00,-14.748676776885986,-1.792192715406418,-4.03355221748352,-0.6509712934494019,-4.061317229270935,0.8388593273237348,-1.525688850879669,-0.24335497245192528,0.7425466507673264,0.28754939921200273,0.5809933662414551,-0.013599568605422978,-0.01643316973932086,0.2745720588602126,1.785162901878357,0.25879790168255556,2.6891726016998287,-0.014226465392857787,0.004502817057073119,0.4609223365783691,0.04168186960741878,-0.01401482522487638,0.482917831838131,-0.21686783209443092,0.1835315864533186,0.20131021477282043,-0.058482252992689596,0.15820296630263328,0.1742899715900421,0.2692986339330673
2019-08-26 08:00:00,0.28531584516167635,3.6742970943450928,-1.4995681166648862,1.4683828949928286,6.58770341873169,-1.7215053677558898,2.998573970794678,-0.020446714013814888,-5.522299122810363,0.1565708216279745,0.23406269326806067,-0.013599568605422978,-0.014729288057424128,0.4266075972467661,2.2667426109313964,-3.2240187883377076,1.5669739961624147,-0.030080363596789512,0.03599359185900537,2.288257753849029,-0.0026296456344425574,0.011136040231212969,-2.39955530166626,-0.21686783209443092,0.11384151539532468,0.1900206811726093,0.14831143915653228,0.17347308322787286,0.10931669929996135,0.0863762434571981
2019-04-30 02:00:00,7.118945598602297,-1.792192715406418,-3.526756167411804,-0.5263033509254456,-3.112393760681152,0.48812439702451227,-1.5975027322769164,-0.0890338111668825,-1.0762792527675629,-0.018067231029272095,0.08228044835850597,-0.0643574573099613,-0.024952369558013745,0.7002713620662689,0.6775283604860306,0.7384671330451966,1.0058753550052644,0.04126222981140015,0.028120887186378212,0.7147188603878022,0.1746164787560701,0.019519666768610458,0.3905308961868286,-0.1274396081455052,-0.4436788156628607,0.22388918213546272,-0.09984097909182313,0.09712245543487368,-0.18306310018524527,0.208324433863163
2019-05-17 17:00:00,19.41947822570801,3.6742970943450928,4.919857168197632,2.590393614768982,1.6849361062049866,-2.738636803627014,0.3654053004458546,0.4596631661057473,-6.802213573455811,0.1565708216279745,-0.3730659768916666,-0.0833917064592242,-0.030063915089704085,1.0347492396831512,2.5797701478004447,-0.7631066769361496,-3.3706940412521362,-0.12520390637218953,0.06748437155038114,0.05484771626070142,0.01952608398860321,0.044670547079294895,-1.697414791584015,0.02160731744952496,-0.06038355876225976,0.31420560777187345,0.14831143915653228,0.05131197208538648,-0.6378762036561966,0.22864929512143134
2019-10-04 18:00:00,3.018767786026001,5.662111473083497,2.0480093717575074,-0.02763178977183995,4.320831274986267,-4.457237696647644,1.6580521583557128,0.1681679751724004,-10.911415481567383,0.14783890433609487,-0.06950165741145614,-0.05801273863762613,-0.024952369558013745,0.304979103198275,3.6874033689498895,-1.9727071702480317,-1.7996183276176452,-0.29959709569811827,-0.011242583952844139,1.120793455839157,0.2632395260035992,-0.039165748097002503,-2.2702142357826234,-0.2764865666627884,-1.349649077653885,0.06583579092985017,-0.18255836013704538,0.20401334762573242,-0.42671296894550326,0.10670091961510478
2019-04-16 19:00:00,19.41947822570801,-0.6878513723611832,2.55480580329895,4.709746932983398,-2.163471722602844,-1.546137857437134,-1.3581236541271209,0.5796905428171157,-4.713931512832641,0.07798368297517297,-0.35138283448759466,-0.0643574573099613,-0.026656211051158625,1.1867847353219987,1.8092416644096374,0.7384671330451966,-2.4729362010955804,-0.22032742351293563,0.028120887186378212,1.2223120450973513,-0.11340848645195364,0.0027524079196155024,-0.16379099227488042,-0.15724897347390654,-0.8966639846563339,0.4045218363404274,0.2310288853943348,0.1429328426718712,-0.7028495222330093,0.24897395968437194
