,SHAP_OX_01,SHAP_HUM_01,SHAP_TEMP_01,SHAP_SPM_01,SHAP_OX_03,SHAP_TEMP_02,SHAP_HUM_22,SHAP_PM25_05,SHAP_TEMP_04,SHAP_PM25_22
2019-04-18 17:00:00,-10.564978122711182,0.008045285474508964,-6.712577486038208,0.22884868420660495,0.1598529638722539,4.391274976730348,-0.7582350105047226,-0.07697174400091171,-0.9564445666968823,-0.6815087437629701
2019-04-19 14:00:00,-9.54641809463501,0.230678042024374,-4.488522243499756,0.09794837255030868,0.9934748828411102,3.298816394805909,-0.20921730175614356,-0.06550964266061783,-0.8708502944558859,-0.4249678340740502
2019-04-19 15:00:00,-6.490741777420044,0.008045285474508964,-4.65960385799408,0.054314924497157316,0.4933017760515213,3.153155255317688,-0.4837262362241745,-0.06550964266061783,-0.7852559607475996,-0.6644060105085373
2019-04-19 16:00:00,-5.472183132171631,-0.21458755508065225,-5.172846937179566,0.11976509634405377,0.0764907671138644,3.298816394805909,-0.7239214599132537,-0.07553898631595075,-0.8537313941866159,-0.6473033845424652
2019-04-19 17:00:00,-4.453623914718628,-0.5856421440839767,-5.771631240844727,0.0761316444724798,-0.17359576150774955,3.7358000755310066,-0.620980629324913,-0.08700110316276549,-0.8194935996085405,-0.7841252386569978
2019-04-22 14:00:00,-12.602096366882325,0.008045285474508964,-1.8367649853229522,-0.05476867193356154,1.7437346041202548,1.5508824288845064,-0.620980629324913,-0.07410620292648672,-0.5969482015818357,-0.27104330882430083
2019-04-22 15:00:00,-7.50930118560791,-0.14037655033171176,-2.521089422702789,-0.03295195652171966,1.0768369168043137,0.8954073935747147,-1.1013712644577027,-0.08127003032714128,-0.6825425514485687,-0.27104330882430083
2019-04-22 16:00:00,-6.490741777420044,-0.21458755508065225,-3.034332537651062,-0.0984021167270839,0.3265773821622134,1.4780519247055055,-1.3415665149688718,-0.07840452566742895,-0.44287832230329516,-0.4591732926666737
2019-04-22 17:00:00,-4.453623914718628,-0.8082750141620636,-3.889738655090332,-0.0984021167270839,-0.09023358710110185,1.9150354266166687,-1.5131346821784972,-0.09989599417895079,-0.2888084143400193,-0.6473033845424652
2019-05-10 14:00:00,-11.583537673950195,2.16016229391098,-0.7247376583516598,0.14158179312944413,0.7433883517980575,-0.9253570079803467,0.33980052862316373,-0.06121135354042053,-0.15185741558670995,-0.1513241959968582
2019-05-10 15:00:00,0.6391708016395569,1.7148967146873475,-1.7512243628501891,0.0761316444724798,0.6600261226296424,-0.05139019163325429,-0.24353088662028313,-0.06407688222825528,0.12204463807865977,-0.5788924187421799
2019-05-10 16:00:00,2.676288723945618,1.5664748191833495,-2.0078459978103638,0.054314924497157316,0.24321515932679177,0.8225767940282822,-0.4837262362241745,-0.08986661769449708,0.13916350742802022,-0.27104330882430083
2019-05-10 17:00:00,5.731965970993041,0.8985764563083649,-3.034332537651062,0.03249820098280903,-0.7571310430765152,1.0410685002803803,-0.41509894132614134,-0.12568576708436013,-0.06626306101679805,-0.6302005469799041
2019-05-10 18:00:00,8.787642669677734,1.046998339891434,-3.462035655975342,0.054314924497157316,-0.9238555073738098,1.9150354266166687,-0.5866669654846192,-0.14144609235227107,-0.27168956249952314,-0.7328169524669648
