,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_TEMP_08,SHAP_OX_23,SHAP_OX_03,SHAP_OX_05,SHAP_OX_04,SHAP_OX_18,SHAP_TEMP_24,SHAP_TEMP_09,SHAP_WS_01,SHAP_WS_02,SHAP_OX_22,SHAP_HUM_24,SHAP_PM25_01,SHAP_OX_19,SHAP_HUM_05,SHAP_OX_06,SHAP_TEMP_10,SHAP_HUM_06,SHAP_TEMP_03,SHAP_OX_17,SHAP_TEMP_19,SHAP_TEMP_20,SHAP_OX_10,SHAP_TEMP_21,SHAP_OX_11,SHAP_TEMP_04,SHAP_TEMP_18
2019-10-15 19:00:00,-5.753982067108154,-0.5303970381617547,-1.6720495462417602,0.138657764531672,-0.7480172157287598,0.04393066335469482,-0.15323811843991275,-0.2865197941660881,-0.3639469653367996,0.21209866926074022,-0.03593717254698277,0.25937801524996756,0.053826259658671896,-0.7320945203304291,0.41093209087848664,-0.11941609233617782,0.11636891518719494,-0.5158819854259492,-0.25165789276361467,0.010254842042922974,-0.4021607726812363,-1.447775822877884,-0.13468366302549836,-0.7880571007728576,-0.6239931106567381,-0.4730579644441605,0.17950910329818726,-0.03134926483035087,-0.3835168585181236,-0.5640078693628311
2019-04-05 05:00:00,4.131227374076844,-8.694369697570801,2.633597803115845,1.9396147549152374,-0.04717758139595386,-0.18381813839077948,-0.01434290967881682,-0.09361942075192928,0.14603582334239035,0.9304054036736489,0.5334001392126084,0.8936395049095154,-0.11143630007281898,0.17544739320874217,-0.4734998941421509,-0.157056247536093,-0.3656554266810418,-1.0779729425907134,0.36777634471654885,-0.5580035984516144,-0.940827202796936,4.832403659820557,0.3484947256743908,-0.9016302034258843,-0.9326487421989441,0.3480463445186615,-0.8505210503935814,-0.4527048632502556,2.5192895531654353,-0.662842470780015
2019-11-27 11:00:00,-4.518328905105591,-6.8694805145263675,-1.4848466992378235,2.289800602197647,-0.34226788431406024,0.03194388635456559,-0.34173846133053304,-0.3999905109405518,-0.25963228195905685,0.66376131772995,0.6848195970058442,-0.3748835369944573,0.08048152718693016,-0.1958197901025415,0.35196989178657534,-0.10059609748423097,-0.047724454477429346,0.24294068766757843,-0.561374917626381,-0.749481987953186,0.19635723158717155,5.430517387390137,-0.12260421738028526,-1.2062121614813806,-1.2342889785766602,-0.4164301186800003,-1.2944994479417802,-0.07950419019907715,3.050291681289673,-0.9801533728837967
2020-03-21 02:00:00,-5.136157131195069,-9.462745094299317,0.9487799227237701,1.3893223792314529,-0.41604051291942595,0.04393066335469482,-0.19292232021689415,-0.30921381115913393,0.08808325286954641,0.4733013391494751,0.26690191123634577,0.41794342249631883,0.01650888632866549,-0.15456789322197434,0.2045647270977497,-0.157056247536093,-0.22207375913858413,-0.7407185018062592,-0.1277710236608982,-0.22446044888347388,-1.0306048572063444,5.355750083923342,0.251859110686928,-0.8500064015388489,-0.9536933898925781,0.48961600214242934,-0.761725227534771,-0.46474352478981007,2.8024904489517217,-0.6160258911550045
2020-02-13 12:00:00,3.5134005546569824,-0.4343504950404168,3.6632100105285645,2.489906966686249,0.21102649867534637,0.15181163288652894,-0.32189630158245564,-0.46807302832603453,-0.24804170429706573,0.5440437689423561,0.7272172182798385,-0.21631813794374466,0.0644883718458004,0.3817069694399834,-1.2105265736579895,0.031144269579090177,-0.1400270608253777,-0.29104572981595983,-0.561374917626381,-0.7988956362009049,-0.3722349658608437,1.9913703799247746,-0.0863658007234335,-1.0668268427252772,-0.8835443735122681,-0.4447438567876817,-0.22895115073770284,-0.07950419019907715,2.7670912981033324,-0.9125297933816909
2020-03-11 01:00:00,-9.460935020446778,-4.276219701766967,-1.765650379657745,1.139189186692238,-0.8217898607254028,0.13982489369809628,-0.24252773523330692,-0.3999905109405518,-0.4218996286392212,0.3971173413097858,0.23661797493696213,0.18009540122002363,-0.026139533333480368,-0.9383539080619812,0.38145103007555,-0.1946963291615248,0.11636891518719494,0.27104522373992956,-0.4374880462884903,-0.2800511106615885,0.22628323882818227,1.1689660608768462,-0.20716041848063468,-0.9584169879555702,-0.9045892179012298,-0.1899185493588448,-0.49533811481669554,-0.1035816493909806,1.2448871374130248,-0.7356680345303175
2020-03-30 15:00:00,4.131227374076844,-8.214136743545533,0.19997150916606188,2.7733916521072395,0.3954578712582589,-0.13587099593132734,-0.04410618878901005,-0.11631362140178676,-0.10895551331341266,0.865104953199625,0.9089204221963882,-0.21631813794374466,0.01650888632866549,0.5054626524448395,0.41093209087848664,-0.10059609748423097,-0.22207375913858413,-0.34725486636161806,0.21291774287819867,-0.9656671851873397,-0.3722349658608437,5.430517387390137,0.08274667169898747,-1.4075459033250808,-1.4798108339309692,-0.21823254823684693,-2.022624632716179,-0.17581397891044614,2.9794917583465574,-1.1986300557851792
2019-12-18 09:00:00,-16.87484474182129,-6.389248847961426,-1.765650379657745,2.123045390844345,-0.6742445915937424,0.2836662016808987,-0.34173846133053304,-0.5361554771661758,-0.30599437057971957,0.6800866752862931,0.5818541526794434,-0.9298624813556671,0.011177860572934106,-0.6495906591415406,0.41093209087848664,-0.13823617100715635,-0.01695697093382479,0.27104522373992956,-0.8091486752033233,-0.6444772839546203,0.22628323882818227,4.30905499458313,-0.1709220468997955,-1.1287762552499772,-1.1571256160736083,-0.7278832614421844,-1.2944994479417802,0.06496045626699927,2.5546906709671022,-0.8813188575208187
2019-07-30 03:00:00,2.2777496695518495,9.36241693496704,-1.765650379657745,-1.1787090937606988,-0.9324488699436188,0.1997587978839874,-0.11355371996760366,-0.3659493625164032,-0.08577454304322599,-0.29942248612642286,-0.7021826278418303,-0.6920142412185669,0.05915729855187235,-0.9383539080619812,0.32248894348740575,-0.006495836097747057,-0.06823610514402385,0.24294068766757843,0.12000265286769721,0.7082241721451282,0.19635723158717155,-8.998940229415894,0.22770013390108942,0.03276507630944252,0.3019737616181373,0.20647665709257126,2.239569053053856,-0.3804722830653191,-3.7111243724823,0.2682832211256027
2019-12-10 10:00:00,-15.639194107055664,-6.101109647750855,-1.6720495462417602,2.3731783807277678,-0.34226788431406024,0.27167947590351105,-0.3814227279275656,-0.5361554771661758,-0.3291754513978958,0.7671540051698684,0.7029897481203079,-1.0091450691223145,0.03783310232684013,-0.1958197901025415,-0.23765144497156143,-0.10059609748423097,-0.01695697093382479,0.27104522373992956,-0.7781768202781677,-0.7803654357790947,0.22628323882818227,5.131459617614746,-0.14676314666867254,-1.247511364519596,-1.2623491168022156,-0.6004707336425781,-1.401054461300373,-0.03134926483035087,3.1210917949676515,-1.0113645985722541
