,0
SHAP_OX_01,11.601320646661645
SHAP_TEMP_01,5.32121481233649
SHAP_TEMP_04,3.025257785208524
SHAP_TEMP_21,2.579383140302729
SHAP_HUM_01,2.41721550963819
SHAP_TEMP_20,1.9242633608818671
SHAP_OX_06,1.9142567150650136
SHAP_OX_20,1.8873060324878121
SHAP_TEMP_03,1.640332183684533
SHAP_OX_24,1.4708737415874689
SHAP_HUM_24,1.454596899323476
SHAP_OX_05,1.3985724858641626
SHAP_OX_14,1.3959494814366724
SHAP_NMHC_07,1.3581299348945421
SHAP_SPM_07,1.1672977927122266
SHAP_OX_02,1.166213768695093
SHAP_OX_04,1.1617083535073327
SHAP_SPM_08,1.066353438842421
SHAP_OX_07,1.0235389569684241
SHAP_SPM_19,0.9829720135008294
