,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_02,SHAP_OX_06,SHAP_TEMP_03,SHAP_OX_04,SHAP_TEMP_04,SHAP_TEMP_21,SHAP_TEMP_24,SHAP_WS_02,SHAP_OX_07,SHAP_WS_01,SHAP_TEMP_20,SHAP_SPM_19,SHAP_NMHC_07,SHAP_OX_18,SHAP_HUM_24,SHAP_OX_05,SHAP_OX_14,SHAP_OX_03,SHAP_OX_20,SHAP_OX_19,SHAP_HUM_06,SHAP_OX_24,SHAP_SPM_07,SHAP_PM25_01,SHAP_SPM_18,SHAP_SPM_08,SHAP_HUM_05
2019-12-28 06:00:00,-2.504175186157226,-11.880426120758058,0.42376773208379764,0.02185345012694595,0.006210367009043649,9.301061582565307,0.21015222370624542,5.448058986663819,-1.9267537951469422,-0.08775715120136737,-0.021703323069959847,-0.46635558903217317,0.03798428773880004,0.8526882588863373,-0.21584222912788392,-0.17936012223362924,-0.41378067135810853,0.6752020012587309,-0.1154757126234472,0.12558339424431325,0.11895867288112641,-0.5314372897148132,-0.05362364538013935,-0.38104105889797213,-0.22191028296947474,-0.03968350361101328,-0.05846554562449454,-0.10914284149184823,0.16250667758286,0.0636919288896024
2020-03-08 06:00:00,2.8747119426727297,-9.761805248260497,-2.539958500862122,-0.4662134693469852,-0.29296348989009857,7.522821378707886,0.04568543294444679,4.364229726791382,-4.4256859064102185,-0.2531344294548034,0.015334623644594139,0.07165150232613085,-0.1342215090990066,1.6760586619377136,-0.16873169913887978,-0.1392339814454317,-0.41378067135810853,-0.5997817382216454,-0.20123405233025551,0.250215825997293,0.7396324396133422,-0.033507568389177296,-0.05362364538013935,-0.17192427180707454,-0.18427444915287197,-0.02735839546658094,-0.16333577930927273,-0.11644286884111354,0.16250667758286,0.813662838935852
2020-03-06 07:00:00,6.908876037597656,-9.117007684707641,2.7100708961486815,-0.6880621910095216,-0.42592978999018677,7.078260612487793,-0.006251435726881027,4.183593153953551,-1.7284262299537658,0.014619463682174687,-0.04863999114604665,0.2615362192504108,2.276658999919891,1.280840563774109,0.6085910394787788,-0.20945472791790962,-0.43868106603622425,0.08020940423011777,-0.2698407582938671,0.2680205823853612,0.9613017737865448,0.6511461704969406,-0.001994281075894856,-0.819190901517868,-0.19681974798440932,-0.030097334645688516,-0.1371182158589363,-0.1456431906670332,0.23349376916885375,-1.368070447444916
2019-12-25 16:00:00,-11.917227077484132,-7.7352978706359865,1.355224883556366,0.33244144469499587,0.3718673193827272,5.892769289016724,0.21015222370624542,3.731997013092041,-4.663679051399231,-0.040506311878561976,0.04563841279596089,-1.0043623864650726,-1.1674563050270081,1.928558701276779,-0.16873169913887978,0.2219014571979642,-0.31417878121137627,-0.7981127709150314,-0.003989778086543078,-0.23050934309139848,0.07462483029812572,-0.033507568389177296,-0.13967267721891402,-0.5503262102603912,-0.14036610182374715,-0.021880572638474382,-0.2813147934153676,-0.11157618435099718,0.11518197283148764,-0.754457950592041
2019-08-04 21:00:00,-11.244866371154785,12.806130409240723,0.33909005522727964,0.3768111020326613,-1.2680492043495177,-12.186007785797122,0.04568543294444679,-8.0997896194458,4.0230858564376835,1.5975188717246058,-0.028437488619238126,1.3691977441310879,2.965482497215271,-0.5305729929357768,0.20815208926796913,0.0012075454927981109,-0.07762420624494552,0.16520833573304114,-0.38132661059498785,-0.15929075814783572,0.25196016952395445,-1.3405735731124877,-0.48386858999729154,-0.7594432294368744,-0.19681974798440932,3.060121089221851e-05,0.21681869700551032,-0.1456431906670332,-0.3817275121808052,-0.8226370513439178
2019-09-09 14:00:00,-3.8488971471786497,18.33296880722046,1.863291323184967,0.19933227114379407,0.3053842998109758,-15.001552295684814,0.22746454998850818,-9.00298056602478,4.618068242073059,1.8810236185789109,-0.03517171149142085,-0.7828301787376404,1.4156309127807618,-0.7281818900723012,0.37303868532180795,-0.1592970732599497,-0.040273573622107525,-0.11812137030065058,0.013161869533359969,-0.3017280390486122,-0.01404291549697519,-1.4028151392936707,-0.5182880982756616,-0.49057865142822266,-0.10063931886106729,-0.021880572638474382,-0.4255113512277603,-0.1602432172745466,-0.14510395526885983,-0.44765178859233856
2019-12-19 06:00:00,-11.917227077484132,-7.182612562179566,0.08505632008891553,0.42118099331855774,-0.09351428623776882,5.003647708892823,0.18418381214141846,2.557851982116699,-3.1563876390457164,-0.2688849478960038,0.011967499880120172,-0.18152830787003035,1.4156309127807618,1.2479061484336853,-0.1216212131083011,-0.19942321479320527,0.009527326002717024,0.7318677835166455,-0.13262735698372125,0.03656025368254629,-0.10271061770617959,-1.7140216946601867,-0.6215466439723969,-0.5702421188354492,-0.2679095856845379,-0.020511145656928378,-0.12400947865098715,-0.12495963172987105,0.3281431213021278,-0.5840098619461059
2019-06-17 00:00:00,-3.8488971471786497,3.778955149650573,0.8471569836139679,0.02185345012694595,-0.3372855484485626,-4.332113265991211,0.12359078577719629,-3.4032011985778823,-0.37979576038196683,0.6840050041675568,0.038904235512018215,0.29318373580463236,0.5546016603708267,0.6550798799842598,-0.310063137114048,-0.19942321479320527,-0.26437767818570135,0.7035347290337086,-0.16693065762519835,0.3748483427800238,0.25196016952395445,-0.7181613683700562,-0.3117705792188644,-0.7096533954143525,-0.1926378918811679,-0.015033346996642633,0.1381659731268883,-0.11765959800686684,-0.2634157337248325,-0.958995521068573
2019-07-16 00:00:00,-9.227784729003906,3.2262720584869387,-2.62463538646698,0.5986599922180176,0.061612938111647954,-3.5911803245544434,0.26208910495042803,-2.319374144077301,1.0481653302907943,0.9517595961689949,0.04227131884545087,-0.339765504002571,-0.6508391529321671,0.31475342344492674,-0.310063137114048,-0.21948628649115562,-0.15232566427439448,0.7318677835166455,-0.04686898551881313,0.01875564716756343,-0.5017151586711407,-0.9671264469623566,-0.3461902804672719,-0.2416298957541585,-0.14663865678012372,-0.03420563937397671,0.007078319741413021,-0.13104303013533353,-0.02679215883836148,0.6773044079542161
2020-03-28 20:00:00,4.891793298721313,-6.537811803817749,-2.539958500862122,-0.5549529559910298,-0.24864144343882805,3.4476876974105837,0.05434156946212167,1.564342302083969,0.17552254907786846,0.7706313878297806,-0.004867919068783505,0.5463634461164475,5.204159784317017,0.5123621620237827,-0.0038450415479019395,-0.11917090117931368,-0.41378067135810853,0.08020940423011777,-0.2098098799586296,-0.03465830360073594,0.7396324396133422,0.33993995785713194,-0.019204114750027656,-0.37108318656682965,-0.09645760050043464,-0.020511145656928378,-0.019139237329363807,-0.12009293646551664,0.11518197283148764,0.5409459620714188
