,SHAP_OX_01,SHAP_TEMP_01,SHAP_OX_03,SHAP_HUM_01,SHAP_TEMP_04,SHAP_TEMP_05,SHAP_TEMP_03,SHAP_OX_04,SHAP_SPM_01,SHAP_OX_17,SHAP_OX_18,SHAP_SPM_14,SHAP_OX_16,SHAP_TEMP_18,SHAP_WS_01,SHAP_OX_20,SHAP_OX_22,SHAP_SPM_17,SHAP_OX_19,SHAP_TEMP_24,SHAP_HUM_07,SHAP_HUM_06,SHAP_WS_02,SHAP_OX_21,SHAP_TEMP_17,SHAP_TEMP_08,SHAP_SPM_11,SHAP_SPM_15,SHAP_OX_08,SHAP_OX_05
2019-08-25 00:00:00,6.899874305725097,14.378975963592529,0.24480252591893076,-0.309520672261715,-3.407111835479737,-3.6993584394454957,-12.308319282531738,0.14192349640652538,0.5784524530172348,-0.26607778295874596,-0.04111477341502904,-0.897390353679657,0.15071677519008514,2.447031784057617,0.24606732614338397,-0.6353588834404945,-0.943636006116867,0.3258055463433266,-0.36837849095463754,-1.2858514517545703,-0.5560332208871841,-0.26650833487510683,0.3488797664642334,-0.8583975613117218,0.39427531212568284,1.6060076601803304,0.3030311163514853,0.031066739745438103,1.2844815671443937,0.3871388277038932
2019-05-28 16:00:00,10.638901805877685,10.782451725006103,-0.0489477679133415,1.39607150554657,-2.3746416687965395,-3.0988000392913824,-8.941950750350951,0.2863467290997505,-0.17786058261990545,-0.2182945165783167,-0.21305002197623263,0.22073590904474263,0.3301962306722999,2.509300339221954,0.10593352187424894,0.4825430458411576,1.639095950126648,1.0482910335063935,0.22179356962442404,-1.583577883243561,-0.7103516280651092,-0.5022494703531265,0.434469921886921,1.3627564668655394,0.3442543394863605,1.151899281144142,0.037538836617022724,0.08272625850513575,0.7319218397140503,0.6459436789155006
2019-11-04 08:00:00,-9.302574825286865,-5.011000108718873,0.6364695578813553,-1.5499508857727051,1.5939193487167358,0.20427716746926308,4.523518896102905,-0.10565909687429667,0.02116919805994259,-0.2379699170589447,-0.1528727471828461,-0.46456705927848807,0.22051433622837058,0.48559213280677793,-0.5947353392839432,-0.07640784671530125,-0.03422353193163873,0.7082977592945099,-0.024111503362655627,-0.4919133558869362,-0.03520909585058689,0.08710351884365083,-0.1218659891746938,0.20389360338449478,0.15667591243982315,0.006756517663598066,0.5095251813530922,-0.061920490860938995,0.4161739408969879,-0.21673945412039758
2019-08-08 02:00:00,-17.403800868988036,17.506392097473146,1.223970067501068,-1.0847896873950957,-3.665230703353882,-3.7494062900543215,-13.933456611633298,-0.5182966947555542,0.22019903250038628,-0.23515907749533654,-0.11275445967912674,-0.10388132445514202,0.2903119448572397,4.782081580162048,-1.4355381608009337,-0.5696001172065734,-1.0163892567157746,0.5383012413978576,-0.3388699784874916,-1.583577883243561,-0.26668632179498675,-0.06023469779174775,-0.2502512015402316,-0.826206910610199,0.6193693950772285,1.5665202260017395,-0.02145946128293868,0.010402865044306996,-0.16269803866744037,-1.251959103345871
2019-08-16 22:00:00,3.1608474969863884,19.226470375061034,0.21216356921941043,-0.309520672261715,-3.955611550807953,-4.074708461761475,-15.094274139404295,0.12129164384678004,0.6978702127933503,-0.24171766340732576,-0.13567921482026574,-1.2220070362091067,0.22549992352724074,3.4433185696601876,0.3862010881304741,-0.15860653072595599,-0.2524826779961586,2.2807657122612,-0.0929649233818054,-1.5753077864646912,-0.4981639176607132,-0.25177436247467994,0.5200601503252983,-0.05363153889775274,0.4568015471100807,1.7540862714871768,0.6570207178592683,-0.26855873689055443,0.4951110199093819,0.08519954439252612
2019-12-25 15:00:00,-6.1867187976837155,-12.6731707572937,0.7017473340034485,2.0938130497932432,3.33621461391449,1.8057690918445588,9.979356575012208,-0.37387349754571914,-0.1380546223372221,-0.24827608913183213,-0.12135123834013939,0.40107876658439645,0.14573120831046255,-3.3127530813217163,-0.4546015977859497,-0.1421667702496052,0.1840355943888426,-0.22668314948678017,-0.13230973854660988,-0.02051236145198343,-0.5753228813409806,-0.399112668633461,0.1776994839310646,0.20389360338449478,-0.24036492854356767,-1.0001793555915355,-0.3164508819580078,0.1860453451052308,-0.5047586232423783,-1.122556495666504
2019-07-17 00:00:00,-8.679404783248902,7.029551696777344,1.0607756376266477,-1.5499508857727051,-1.3421700567007067,-1.972750282287598,-6.039909410476685,-0.41513738930225375,-0.25747246146202085,-0.2651408798992634,-0.06403952464461324,0.40107876658439645,0.0958758123219013,0.9526018351316454,-1.4355381608009337,-0.3723231956362724,-0.36161208450794213,-0.22668314948678017,-0.30936136096715927,-0.8806122243404388,-0.03520909585058689,0.08710351884365083,-0.1218659891746938,-0.31115666627883914,0.22545472271740435,0.7668945364654064,-0.2869517862796783,0.22737304642796516,0.021488518640398982,-0.9068857431411743
2019-06-23 08:00:00,-11.79526090621948,7.029551696777344,0.9954977691173553,-1.5499508857727051,-0.6646108791232109,-1.5473544001579282,-4.298684644699097,-0.37387349754571914,-0.21766651794314384,-0.23234833367168903,-0.16433502063155175,0.40107876658439645,0.2703696694225073,1.4196111977100372,-1.1552699565887452,0.03867024257779118,0.6569302022457123,-0.09918573804461628,0.02506947927176949,-1.2858514517545703,-0.03520909585058689,0.08710351884365083,-0.2930462971329689,0.5901810437440873,0.2535913334228098,0.6286876618862153,-0.2869517862796783,0.1860453451052308,0.12673794180154802,-0.8637519001960754
2019-05-02 07:00:00,-4.317206168174744,0.3056069701910019,0.407997265458107,-1.5499508857727051,0.5937134206295014,-0.6214920252561569,0.9249878939241171,-0.02313151173293588,0.1405870690883603,-0.22578983418643475,-0.1872597504407168,0.3650102019309997,0.27535524666309363,1.7309511840343474,-1.0151366472244263,0.23594704940915112,0.7296833395957947,-0.014187463815323976,0.11359536051750181,-0.6655872762203217,-0.03520909585058689,0.08710351884365083,-0.20745619237422944,0.751134330034256,0.24108621273189784,0.31278622448444365,-0.10995688997209072,0.19637722488259893,0.17936265389434988,-0.21673945412039758
2019-08-27 13:00:00,19.986471557617186,18.131875228881835,-0.11422574366442859,0.3106944084167481,-2.4714349329471585,-2.5232632160186768,-11.61182851791382,-0.043763404339551906,0.5784524530172348,-0.24640234559774393,-0.12708244137465957,-0.1399498749524355,0.15570227783173318,2.633837234973907,-1.0151366472244263,-0.0270886664278805,0.9843189299106598,0.7082977592945099,-0.0929649233818054,-1.6001185357570649,-0.07378857252188027,0.0429020538693294,0.049314287491142736,0.6223718523979187,0.37239101976156236,0.9445890251547098,0.008039714582264412,-0.061920490860938995,-0.031136216304730596,-0.7343495666980744
