äœë™ì˙,ì˙ç≈çÇíl
2018-04-01 16:00:00,78.0
2018-04-02 15:00:00,71.0
2018-04-03 15:00:00,82.0
2018-04-04 14:00:00,94.0
2018-04-05 12:00:00,54.0
2018-04-06 15:00:00,55.0
2018-04-07 19:00:00,51.0
2018-04-08 13:00:00,53.0
2018-04-09 13:00:00,64.0
2018-04-10 15:00:00,72.0
2018-04-11 14:00:00,71.0
2018-04-12 21:00:00,60.0
2018-04-13 02:00:00,59.0
2018-04-14 15:00:00,53.0
2018-04-15 14:00:00,54.0
2018-04-16 00:00:00,51.0
2018-04-17 10:00:00,46.0
2018-04-18 14:00:00,56.0
2018-04-19 14:00:00,73.0
2018-04-20 09:00:00,75.0
2018-04-21 17:00:00,103.0
2018-04-22 17:00:00,106.0
2018-04-23 13:00:00,74.0
2018-04-24 00:00:00,44.0
2018-04-25 23:00:00,51.0
2018-04-26 13:00:00,58.0
2018-04-27 15:00:00,64.0
2018-04-28 16:00:00,74.0
2018-04-29 14:00:00,82.0
2018-04-30 14:00:00,74.0
2018-05-01 13:00:00,85.0
2018-05-02 14:00:00,75.0
2018-05-03 14:00:00,54.0
2018-05-04 12:00:00,59.0
2018-05-05 17:00:00,71.0
2018-05-06 16:00:00,97.0
2018-05-07 11:00:00,64.0
2018-05-08 00:00:00,47.0
2018-05-09 10:00:00,42.0
2018-05-10 14:00:00,50.0
2018-05-11 15:00:00,76.0
2018-05-12 17:00:00,95.0
2018-05-13 17:00:00,69.0
2018-05-14 16:00:00,63.0
2018-05-15 16:00:00,98.0
2018-05-16 14:00:00,115.0
2018-05-17 13:00:00,113.0
2018-05-18 12:00:00,92.0
2018-05-19 21:00:00,48.0
2018-05-20 16:00:00,52.0
2018-05-21 14:00:00,57.0
2018-05-22 16:00:00,103.0
2018-05-23 14:00:00,56.0
2018-05-24 13:00:00,54.0
2018-05-25 16:00:00,96.0
2018-05-26 13:00:00,88.0
2018-05-27 16:00:00,84.0
2018-05-28 15:00:00,73.0
2018-05-29 15:00:00,91.0
