äœë™ì˙,ì˙ç≈çÇíl
2018-04-01 13:00:00,66.0
2018-04-02 14:00:00,73.0
2018-04-03 14:00:00,82.0
2018-04-04 13:00:00,92.0
2018-04-05 14:00:00,47.0
2018-04-06 13:00:00,39.0
2018-04-07 22:00:00,43.0
2018-04-08 14:00:00,50.0
2018-04-09 15:00:00,58.0
2018-04-10 14:00:00,64.0
2018-04-11 11:00:00,42.0
2018-04-12 13:00:00,57.0
2018-04-13 11:00:00,52.0
2018-04-14 17:00:00,47.0
2018-04-15 11:00:00,47.0
2018-04-16 14:00:00,52.0
2018-04-17 00:00:00,42.0
2018-04-18 14:00:00,54.0
2018-04-19 14:00:00,63.0
2018-04-20 16:00:00,78.0
2018-04-21 13:00:00,91.0
2018-04-22 15:00:00,106.0
2018-04-23 13:00:00,68.0
2018-04-24 00:00:00,46.0
2018-04-25 15:00:00,50.0
2018-04-26 15:00:00,59.0
2018-04-27 16:00:00,65.0
2018-04-28 20:00:00,72.0
2018-04-29 12:00:00,76.0
2018-04-30 10:00:00,59.0
2018-05-01 16:00:00,91.0
2018-05-02 14:00:00,65.0
2018-05-03 16:00:00,49.0
2018-05-04 14:00:00,61.0
2018-05-05 15:00:00,69.0
2018-05-06 13:00:00,95.0
2018-05-07 16:00:00,55.0
2018-05-08 00:00:00,46.0
2018-05-09 12:00:00,45.0
2018-05-10 14:00:00,48.0
2018-05-11 12:00:00,61.0
2018-05-12 13:00:00,88.0
2018-05-13 16:00:00,61.0
2018-05-14 11:00:00,60.0
2018-05-15 13:00:00,78.0
2018-05-16 14:00:00,94.0
2018-05-17 17:00:00,92.0
2018-05-18 12:00:00,69.0
2018-05-19 16:00:00,47.0
2018-05-20 17:00:00,50.0
2018-05-21 16:00:00,55.0
2018-05-22 14:00:00,90.0
2018-05-23 23:00:00,45.85454545454545
2018-05-24 23:00:00,58.50909090909091
2018-05-25 17:00:00,68.0
2018-05-26 11:00:00,72.0
2018-05-27 15:00:00,106.0
2018-05-28 16:00:00,62.0
2018-05-29 13:00:00,98.0
2018-05-30 14:00:00,69.0
2018-05-31 23:00:00,50.0
2018-06-01 16:00:00,68.0
2018-06-02 17:00:00,100.0
2018-06-03 15:00:00,78.0
2018-06-04 14:00:00,78.0
2018-06-05 14:00:00,89.0
2018-06-06 12:00:00,73.0
2018-06-07 15:00:00,92.0
2018-06-08 11:00:00,68.0
2018-06-09 17:00:00,73.0
2018-06-10 00:00:00,50.0
2018-06-11 00:00:00,31.0
2018-06-12 14:00:00,34.0
2018-06-13 16:00:00,67.0
2018-06-14 13:00:00,54.0
2018-06-15 11:00:00,35.0
2018-06-16 14:00:00,30.0
2018-06-17 17:00:00,50.0
2018-06-18 11:00:00,31.0
2018-06-19 16:00:00,61.0
2018-06-20 17:00:00,36.0
2018-06-21 14:00:00,41.0
2018-06-22 18:00:00,93.0
2018-06-23 15:00:00,56.0
2018-06-24 18:00:00,76.0
2018-06-25 16:00:00,94.0
2018-06-26 14:00:00,113.0
2018-06-27 12:00:00,26.0
2018-06-28 15:00:00,56.0
2018-06-29 10:00:00,16.0
