,0
SHAP_OX_01,11.558290019067345
SHAP_TEMP_01,9.905169836114304
SHAP_HUM_01,5.223198956466267
SHAP_TEMP_24,5.096305579728197
SHAP_TEMP_04,3.5373325775518465
SHAP_TEMP_21,2.9645312540507778
SHAP_TEMP_05,2.835276621964459
SHAP_TEMP_06,2.723136605112485
SHAP_WS_01,2.228119599357458
SHAP_TEMP_11,2.1687326819426054
SHAP_WD_03,2.1021672856849687
SHAP_TEMP_17,2.033832155527469
SHAP_TEMP_20,2.0065859272464466
SHAP_WD_02,1.8878246053686023
SHAP_HUM_02,1.4848014452461888
SHAP_WS_02,1.457482852525091
SHAP_TEMP_07,1.3632198810059262
SHAP_TEMP_22,1.3323931853175426
SHAP_WS_03,1.2518379444125252
SHAP_TEMP_03,1.151604522032742
