,0
SHAP_TEMP_01,10.18180989949517
SHAP_OX_01,9.331047437769671
SHAP_TEMP_02,5.515893921259123
SHAP_TEMP_03,4.518939586427342
SHAP_TEMP_22,2.7328543137301997
SHAP_TEMP_20,2.298375252731839
SHAP_TEMP_24,2.138219228375377
SHAP_TEMP_18,1.9495893326520997
SHAP_TEMP_04,1.8782988992930545
SHAP_TEMP_21,1.6787603505910529
SHAP_TEMP_19,1.495617689349479
SHAP_HUM_01,1.4862451340544502
SHAP_WS_01,1.4588262939361702
SHAP_TEMP_05,1.3658921361278837
SHAP_HUM_24,1.0902471860610878
SHAP_OX_19,1.0284903627285733
SHAP_TEMP_07,0.9452036406835695
SHAP_OX_14,0.7934540940722546
SHAP_OX_02,0.646325639384271
SHAP_TEMP_06,0.5339219346104029
