,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_TEMP_21,SHAP_HUM_02,SHAP_OX_02,SHAP_WS_01,SHAP_TEMP_04,SHAP_TEMP_20,SHAP_TEMP_05
2019-12-15 21:00:00,-20.23418960571289,-7.717311835289001,2.4615140080451967,-3.5829429745674135,-2.722712182998657,3.614242362976074,-0.2727615918964148,7.246978378295898,-4.483887255191803,2.457168209552765
2019-05-31 05:00:00,3.007649374008179,-1.7930183291435242,-2.1527324080467225,2.312960956990719,0.6222767993807793,0.29058084189891814,1.152604928612709,-9.683652400970459,1.2346579618752003,6.155463337898255
2019-06-22 07:00:00,2.2062067389488216,-0.8197413623332978,-3.852716875076294,4.160931673645974,3.521266150474548,1.176890456676483,0.26175104873254895,-10.793862485885622,2.69232565164566,6.50021800994873
2020-01-14 23:00:00,-20.23418960571289,-6.828668093681335,-2.638442063331604,-4.902921140193939,1.068275612592697,3.392664957046508,-0.8963594079017639,5.720444583892823,-5.530420064926148,2.9586331501603125
2019-07-07 16:00:00,3.809091663360596,-1.9622832000255586,-7.495541620254516,2.576956541091204,5.305262470245362,-0.0417853482067585,1.6871183514595032,-10.377537870407105,0.7487683117389679,6.2808262586593635
2019-06-13 10:00:00,7.816304445266724,-0.5658430010080338,3.6757901430130007,2.44495941773057,-2.2767140626907345,0.4013694941997528,-0.5400178968906403,-6.214262866973877,0.6366401761770248,4.96448540687561
2019-04-19 21:00:00,21.440833282470702,-3.951155328750611,-4.095571804046631,-0.19499777331948281,-1.16171692609787,-2.035982471704483,1.330775973200798,-9.267327547073364,-1.3442940920591355,6.343510770797731
2019-12-11 09:00:00,-21.035636520385744,-6.405502414703371,-4.095571804046631,-1.6469743728637696,4.413263916969299,3.7250303506851203,-0.629103459045291,7.802084350585938,-2.6898337781429293,2.5198514699935917
2020-01-24 14:00:00,-4.205335927009584,-5.093696236610413,0.5186732858419418,-4.286930751800537,-1.384716594219208,1.509256637096405,-0.9854448169469834,3.916361093521118,-4.895024061203004,2.582535994052887
2019-10-03 02:00:00,-10.616877460479737,-1.0736394450068474,-2.638442063331604,1.828969119489193,0.6222767993807793,2.063199746608734,-1.6090433955192567,-13.569372463226319,0.262878530472517,7.095706796646118
2019-10-17 17:00:00,-7.411107397079467,-3.697254681587219,-6.766980504989624,-0.15099874660372734,4.636263513565064,1.176890456676483,-1.2527014017105103,-6.491813707351684,-1.680679266899824,5.528633737564087
2019-10-24 23:00:00,-1.801007753610611,-4.120420646667481,-6.52412371635437,0.5089904487133026,3.521266150474548,0.5121582612395287,-1.2527014017105103,-4.132628250122072,-0.8957808494567869,4.933144378662109
2019-11-17 22:00:00,-17.82986354827881,-5.305277204513551,3.432934594154358,-2.9229533195495603,-3.8377098083496093,2.9495099306106565,-0.8963594079017639,1.0020715322345495,-3.848493754863739,3.961560070514679
2020-02-09 14:00:00,9.419189071655273,-7.421097588539124,10.475733947753907,-3.0549503445625303,-10.304689884185791,-0.48494017869234085,3.1124848961830134,12.242899990081785,-4.483887255191803,1.0154606878757473
2019-08-25 09:00:00,15.830730056762695,0.5767000856809318,0.2758184703066945,6.448893058300018,0.8452759623527527,-1.1496722787618636,0.7962636068463326,-10.793862485885622,4.4490033984184265,6.24948410987854
2020-01-12 02:00:00,-21.035636520385744,-9.283019495010375,-4.824138498306275,-5.386913633346557,2.4062711238861083,3.2818759202957155,-1.0745302379131316,13.075552368164063,-5.829428410530091,1.046802508831024
2019-04-24 04:00:00,-3.403892970085144,-2.893243718147278,-2.638442063331604,0.5969890773296356,2.6292705059051515,0.9553129702806473,-0.2727615918964148,-5.3816084384918215,-0.33513864353299144,5.246562027931214
2019-10-16 14:00:00,11.022076702117921,-2.850928473472595,2.7043696165084845,0.7289871603250504,-3.8377098083496093,-0.48494017869234085,-0.09459067434072495,-4.132628250122072,-0.7088998138904572,4.619729661941529
2019-06-27 10:00:00,3.809091663360596,1.8038747377693654,1.4900937676429749,5.876903313398361,-1.16171692609787,0.4013694941997528,1.4198617905378341,-14.957129192352294,3.402472424507141,6.9703388690948485
2019-08-10 07:00:00,-18.631301498413087,1.9731413191184406,-0.6956017613410951,8.252862572669983,1.9602731943130494,3.614242362976074,-0.8072740346193313,-19.12040319442749,5.944048428535461,8.349364852905273
2019-08-06 15:00:00,-2.602450466156006,4.088960707187653,1.732948696613311,6.756888198852539,-3.8377098083496093,-0.2633628383977339,2.8452279627323156,-29.944903945922857,4.149995338916779,10.574605274200438
2019-07-22 23:00:00,-13.82265024185181,-1.031322956085205,-7.981255006790161,2.2689623564481733,6.1972602844238285,2.506355500221253,-1.3417869210243223,-12.04284315109253,0.5618876188993455,6.719608116149902
2020-01-02 19:00:00,-13.82265024185181,-7.209517455101013,2.4615140080451967,-5.606910228729248,-4.952707433700562,1.398467916250229,-1.6090433955192567,3.5000341176986693,-6.053684282302857,3.30338940024376
2019-05-29 16:00:00,14.227849769592286,-1.412170647084713,-1.1813120305538178,3.236946579068899,-0.49271936863660815,-1.1496722787618636,1.5980329871177674,-13.15304880142212,1.1225291341543198,7.18973069190979
2019-07-07 17:00:00,2.2062067389488216,-2.1738658189773563,-7.495541620254516,2.400959049165249,5.751261663436891,0.17979204906150698,1.6871183514595032,-9.267327547073364,0.7113923788070678,6.312170457839965
2019-08-08 22:00:00,-21.837071800231932,1.8038747377693654,-3.3670067310333254,5.436910635232926,1.2912746608257293,3.7250303506851203,0.7071780920028686,-22.451011466979974,3.1782167971134188,9.414972734451293
