,世田谷区世田谷_lag=1,世田谷区世田谷_lag=2,世田谷区世田谷_lag=3,多摩市愛宕_lag=1,多摩市愛宕_lag=2,多摩市愛宕_lag=3,東秩父_lag=1,東秩父_lag=2,東秩父_lag=3,青梅市東青梅_lag=1,青梅市東青梅_lag=2,青梅市東青梅_lag=3,幸手_lag=1,幸手_lag=2,幸手_lag=3,鴻巣_lag=1,鴻巣_lag=2,鴻巣_lag=3,江戸川区南葛西_lag=1,江戸川区南葛西_lag=2,江戸川区南葛西_lag=3
0,NO2_02,OX_05,SPM_20,NO2_02,TEMP_02,TEMP_02,OX_05,OX_05,OX_05,TEMP_02,OX_05,OX_05,NO2_02,OX_14,OX_14,NO2_02,OX_14,OX_05,NO2_02,OX_05,OX_05
1,OX_05,TEMP_02,OX_05,TEMP_02,OX_19,OX_19,TEMP_02,WD_02,TEMP_02,OX_19,TEMP_02,TEMP_02,TEMP_02,OX_05,TEMP_02,TEMP_02,OX_05,TEMP_02,TEMP_02,TEMP_02,WS_01
2,TEMP_02,OX_19,TEMP_02,OX_19,OX_18,OX_18,SPM_24,TEMP_02,PM25_13,TEMP_08,OX_19,OX_18,OX_15,TEMP_02,OX_19,OX_19,TEMP_02,OX_15,TEMP_08,OX_13,NO2_14
3,OX_15,WS_01,OX_19,WS_01,WS_01,OX_15,TEMP_12,TEMP_05,TEMP_05,WS_01,OX_18,TEMP_08,WS_01,OX_15,OX_18,TEMP_12,OX_15,WS_01,WS_01,WD_05,TEMP_05
4,TEMP_08,TEMP_05,OX_18,SPM_17,SPM_17,HUM_06,TEMP_08,OX_06,OX_06,TEMP_05,TEMP_08,WS_01,TEMP_05,WS_01,OX_15,OX_15,TEMP_08,TEMP_05,TEMP_05,WS_01,OX_21
5,WS_01,OX_06,WS_01,TEMP_05,TEMP_05,WS_01,OX_06,OX_02,PM25_22,SPM_02,WS_01,TEMP_05,OX_02,TEMP_05,WS_01,WS_01,WS_01,OX_21,OX_22,NO2_14,OX_22
6,TEMP_05,OX_21,TEMP_05,OX_06,OX_22,TEMP_05,PM25_22,TEMP_01,OX_02,TEMP_01,TEMP_05,OX_22,TEMP_01,OX_02,TEMP_05,OX_21,OX_21,OX_22,OX_02,TEMP_05,OX_02
7,OX_06,OX_22,OX_21,OX_21,OX_02,OX_21,OX_02,HUM_01,SPM_02,HUM_01,OX_06,OX_02,HUM_01,SPM_02,OX_02,OX_22,OX_22,OX_02,SPM_02,OX_06,TEMP_01
8,OX_02,OX_02,OX_22,TEMP_01,TEMP_01,OX_02,TEMP_01,TEMP_24,TEMP_01,WD_01,OX_22,TEMP_01,TEMP_24,TEMP_01,SPM_02,OX_02,OX_02,TEMP_01,TEMP_01,OX_21,HUM_01
9,TEMP_01,TEMP_01,OX_02,HUM_01,HUM_01,TEMP_01,HUM_01,TEMP_20,HUM_01,HUM_02,OX_02,HUM_01,TEMP_03,HUM_01,TEMP_01,TEMP_01,TEMP_01,HUM_01,HUM_01,OX_22,TEMP_07
10,HUM_01,HUM_01,TEMP_01,SPM_14,TEMP_24,HUM_01,TEMP_24,WD_01,TEMP_24,HUM_24,TEMP_01,TEMP_24,SPM_03,OX_16,HUM_01,HUM_01,HUM_01,TEMP_24,TEMP_07,OX_02,TEMP_20
11,TEMP_03,TEMP_24,HUM_01,SPM_18,OX_16,TEMP_24,TEMP_20,OX_07,WD_01,HUM_03,HUM_01,TEMP_07,HUM_02,TEMP_03,TEMP_24,TEMP_24,TEMP_24,TEMP_07,OX_07,TEMP_01,TEMP_06
12,HUM_02,TEMP_22,TEMP_24,HUM_02,SPM_14,OX_16,WD_01,TEMP_06,TEMP_06,HUM_09,HUM_05,TEMP_20,TEMP_06,TEMP_07,TEMP_07,TEMP_07,OX_16,TEMP_20,TEMP_06,HUM_01,TEMP_17
13,TEMP_22,TEMP_16,TEMP_20,TEMP_06,HUM_02,SPM_14,HUM_04,PM25_05,PM25_05,OX_11,TEMP_24,HUM_24,TEMP_17,TEMP_06,TEMP_20,HUM_02,TEMP_07,HUM_02,OX_24,TEMP_07,TEMP_10
14,TEMP_16,NOX_02,TEMP_06,HUM_03,TEMP_06,TEMP_07,TEMP_06,TEMP_10,TEMP_10,OX_24,TEMP_07,TEMP_06,TEMP_10,TEMP_17,HUM_02,TEMP_22,TEMP_20,TEMP_06,TEMP_22,TEMP_06,OX_24
