,SHAP_OX_01,SHAP_TEMP_01,SHAP_HUM_01,SHAP_OX_23,SHAP_OX_22,SHAP_OX_21,SHAP_TEMP_05,SHAP_TEMP_06,SHAP_OX_04,SHAP_OX_05,SHAP_TEMP_04,SHAP_NOX_01,SHAP_TEMP_07,SHAP_OX_20,SHAP_WS_02,SHAP_TEMP_21,SHAP_TEMP_22,SHAP_OX_02,SHAP_OX_24,SHAP_NO2_14
2019-10-20 07:00:00,-16.983666133880615,0.3466301986947656,-1.680772489309311,-0.16111012026667593,-0.47204031348228453,-0.5136157840490341,-1.580593109130859,0.7732964664697648,0.2742607943713665,-1.7011252164840698,-3.881388545036316,0.08774603176862002,1.9468507885932922,-0.16507398821413516,-0.3015300884842872,-1.4796815901994704,1.1542381301522255,2.097757387161255,0.9252447545528412,1.8575746297836304
2019-12-07 11:00:00,-10.93830852508545,-10.375462055206299,-1.1115283489227297,-0.12639137301594017,-0.3539261370897294,-0.5136157840490341,5.327511811256409,2.8374421775341037,0.10294098819722426,-1.254125738143921,7.994467687606812,0.2876280307769775,-3.7125832438468933,-1.0738113045692443,-0.640945103764534,-1.4773561120033265,-2.2343345046043397,1.039418476819992,0.8661259412765503,2.0692064404487613
2019-04-08 05:00:00,14.586500263214111,-6.086624360084534,0.31158277317881583,0.07034784862771629,0.14805913502350446,0.33393803238868713,0.9898641094565391,1.511690419912338,-0.34512566179037096,0.4842050470411777,1.1234353035688396,-0.6118410464376212,0.2581492140889168,1.2393391966819765,-0.04044162333011625,-1.4787406504154204,-0.6560950577259064,-1.8913671255111695,-0.25713191339746116,-0.15292452559806408
2019-11-22 00:00:00,-8.251487398147583,-6.563160729408265,0.4254316225647926,-0.0981955994851887,-0.36305314153432844,-0.4735495805740356,2.007336848974228,1.8808874249458314,-0.042021767050027845,-0.5587935894727707,2.141365659236908,-0.012194981984794153,-0.609022331982851,-0.6442265629768371,-0.7453803479671478,-1.4774343848228455,-2.2807529807090754,0.7137757390737534,0.5006640762090683,-0.39982807040214535
2019-07-20 04:00:00,-15.640245246887204,5.6679658651351925,-1.5099996805191038,-0.34627634305506944,-0.974025559425354,-1.361169421672821,-5.436281394958497,-0.4014210624154658,0.2610822081565857,-1.7011252164840698,-10.413113021850588,-0.1454497138038277,5.324255013465882,-2.3129999518394473,-0.667053809762001,-1.481354895234108,4.589227843284607,1.609293806552887,1.6937897562980648,-0.47037197202444075
2020-01-06 07:00:00,-15.640245246887204,-12.758151388168336,0.1977338277734816,-0.06852689273655413,-0.11769774556159973,0.12204959467053414,5.166857361793518,2.8710056304931646,-0.20016293703665725,0.03720561265945434,6.976536273956299,0.45419645458459856,-3.7125832438468933,0.6610513299703598,0.6082627013325691,-1.4769636571407314,-3.5804789066314697,1.5278830766677858,0.5705318421125412,-0.9994505286216736
2019-05-26 20:00:00,16.601615142822265,4.238352799415589,-0.37151060849428175,0.32495139762759206,0.8862729489803314,1.2662472873926163,-5.596934723854065,-0.6699271172285081,-0.5428020283579826,2.0735361456871035,-10.58276662826538,0.12105972589924933,5.963223838806153,2.065464103221893,-0.19709462635219094,-1.4804921925067902,3.196664810180664,-2.7868857860565184,-2.0898157715797425,0.9052334427833557
2019-06-19 08:00:00,-4.892959547042847,3.8412372350692747,-0.37151060849428175,0.23236829042434687,0.6205156579613685,1.1391137957572937,-2.383861231803894,0.37053641602396964,0.1556548185646534,-0.4594603210687637,-5.153804206848145,0.354255411028862,3.0878671169281002,2.726365160942078,-0.5626184642314911,-1.4818781204521656,5.749698996543884,1.2022399842739104,-0.9074391901493073,0.05870700813829897
2019-04-05 23:00:00,11.899679565429688,-1.718365305662155,1.3362229049205778,-0.056954045593738546,-0.5015688329935074,-1.4035471379756925,-0.9379794239997864,0.8907681971788406,-0.42419634610414503,0.8318713366985321,-2.439321720600128,-0.045508609572425494,1.8555702447891236,-2.5608370304107666,-0.24931238256394866,-1.477147588133812,-2.1414971470832826,-1.4843134462833407,0.2749375919345766,0.693601742386818
2019-05-27 15:00:00,34.73766956329346,6.382772135734557,0.31158277317881583,0.34809726774692534,0.974858683347702,1.2238692417740822,-7.5247766971588135,-0.8377437023445964,-0.9645130425691605,1.7755374610424042,-12.448969554901122,-0.07882226048968734,6.1001471996307375,1.8176268815994263,0.1423201762139797,-1.4814073711633682,5.331930947303773,-4.33368992805481,-2.681003713607788,2.5982859492301946
2019-04-12 04:00:00,7.8694469928741455,-8.23104248046875,0.31158277317881583,0.07034784862771629,-0.08816917818039653,-0.0474611623911187,3.881630337238312,2.4346815526485446,-0.2660553172230721,0.18620547172031368,5.110330104827881,-0.6118410464376212,-2.3890057086944574,0.24798866137862205,-0.5887273281812668,-1.4774862200021746,-2.8377782702445984,-0.8330280423164368,-0.3753696605563163,-1.1052667617797851
2019-10-19 21:00:00,-18.998776054382326,0.5054760441184044,-1.6238483011722564,-0.1495372001081705,-0.47204031348228453,-0.59837104678154,-2.276759505271911,0.639043089747429,0.1292979615740478,-1.204459434747696,-5.408286857604982,1.2870381951332095,2.1750532150268556,-0.8259740054607392,-0.902033269405365,-1.4787670671939848,0.22586212456226348,2.260578548908234,0.6296505570411683,0.1645228074863553
2020-03-09 15:00:00,7.8694469928741455,-0.12990731894969942,0.02696052668616175,-0.03380828890949488,-0.23581197857856756,-0.30172723233699794,1.1505178827792406,1.931231725215912,-0.08155697956681252,-0.6581269800662995,-0.7427708726376295,-0.4452724888920784,-1.7956775844097137,-0.49552401304245,-0.04044162333011625,-1.4772514671087265,-2.698521935939789,-0.5887957885861397,0.0975811191368848,-0.8936348974704742
2019-05-09 00:00:00,13.24309492111206,-0.9241361826658249,0.25465837977826594,0.08192067053169011,-0.14722633920609948,-0.30172723233699794,-0.8844282031059265,0.9075497478246689,-0.4110179625451565,0.8318713366985321,-2.693803930282593,-0.3453317441046238,1.901211178302765,-0.2476864829659462,0.27286443486809736,-1.477826130390167,-1.5844707041978838,-1.4843134462833407,-0.49360713064670564,0.693601742386818
2019-11-22 21:00:00,-6.908075857162475,-8.23104248046875,-1.7376977980136874,-0.12639137301594017,-0.5606257736682891,-0.9373929798603058,4.042283380031586,2.585717183351517,0.14247636627405885,-1.6017920792102813,5.110330104827881,-0.24539061039686202,-3.0279725313186647,-1.8173243284225464,0.5600615747272968,-1.4773561120033265,-1.909401774406433,1.4464720189571378,0.6296505570411683,0.7994177490472795
