,SHAP_TEMP_16,SHAP_TEMP_09,SHAP_SPM_02,SHAP_TEMP_08,SHAP_OX_11,SHAP_OX_19,SHAP_TEMP_13,SHAP_TEMP_01,SHAP_TEMP_14,SHAP_TEMP_21,SHAP_TEMP_23,SHAP_OX_03,SHAP_TEMP_02,SHAP_OX_01,SHAP_WS_02,SHAP_TEMP_03,SHAP_OX_23,SHAP_HUM_24,SHAP_TEMP_15,SHAP_TEMP_05,SHAP_HUM_03,SHAP_TEMP_04,SHAP_HUM_02,SHAP_OX_24,SHAP_HUM_09,SHAP_HUM_01,SHAP_WD_01,SHAP_WS_01
2019-04-06 14:00:00,-0.11911468972684816,0.2074103619903326,0.31504602879285815,2.445739090442658,-0.16571221519261597,0.5201999098062515,0.9784139573574067,-11.037604999542236,0.0753974203020334,-1.2670999228954316,0.9141526699066163,0.5673236548900605,2.410985195636749,-9.64586067199707,-0.0778247933834791,0.7762177377939226,-0.22082193493843078,-1.3128472566604612,-0.70775985121727,1.9837216854095459,0.5071616671979428,2.183678489923477,-1.9597879767417907,-0.14092869563028215,-0.030568141862750024,3.360601234436035,0.10698914304375644,0.11225349903106689
2019-04-06 15:00:00,-0.1086369015276432,0.1964608073234558,0.4762397646903992,1.9391731172800064,-0.08682175748981533,0.22444916814565657,1.1451528519392011,-9.147254753112794,0.053906379640102406,-1.3436836898326874,1.0052213042974472,-0.009110455587506278,2.438222205638886,-4.93450231552124,-0.3073534667491914,0.760011613368988,-0.2789141029119492,-1.1924679100513458,-1.6602887332439422,1.8575189709663391,0.581833066046238,1.674841046333313,-1.8681911468505858,-0.12878804851789027,0.002078768692445038,3.7143348455429077,0.07545962277799843,-0.18658967614173888
2019-04-06 16:00:00,-0.020623461157083495,0.17257087379693986,0.18609101325273517,1.4537141531705857,-0.05301156367058861,0.731450492143631,1.2674279421567918,-11.746486663818358,0.03855559304356566,-1.4394136905670167,1.405923652648926,-0.23968410202069207,2.0024284601211546,-3.9922307968139648,0.5648556172847747,0.7681147217750549,-0.39509844481945045,-1.1122150480747222,-2.136553132534027,1.3887651979923248,0.5444974139332771,1.6356998085975643,-2.0513845324516295,-0.14092869563028215,0.17619561776518824,1.7688000202178955,-0.019128936436027238,0.3324537520296872
2019-04-18 15:00:00,0.023383302986621855,0.17655251808464528,0.6374334812164307,1.2637520253658294,0.048419025028124445,-0.029051444726064773,1.0006459534168244,-7.965787363052368,0.0559530947357416,-1.937208861112594,1.8794806599617004,-0.47025773525238035,1.593871742486954,-7.761316919326783,-0.39916497766971587,0.630362655222416,-0.4531906068325042,0.4125898525118828,-2.159232199192047,1.3527072191238405,0.2831475200131535,1.4987052440643311,-1.5018044948577882,-0.14092869563028215,-0.1720380578190088,3.360601234436035,-0.019128936436027238,0.19089647755026812
2019-04-18 16:00:00,0.025478840991854667,0.140717644803226,0.5729560136795044,1.137110598385334,0.08222923474386332,-0.029051444726064773,1.056225511431694,-8.67466859817505,0.05185964591801171,-2.128668814897537,1.952335500717163,-0.5855445504188538,1.7300573527812957,-4.93450231552124,-0.5368821650743485,0.5169197402894496,-0.4531906068325042,0.4125898525118828,-2.091194415092468,1.2265042245388031,0.39515459984540946,1.3225692182779312,-1.8681911468505858,-0.17735068080946803,-0.04145045392215251,1.4150664329528808,-0.05065845530480142,0.5526539362967015
2019-04-18 17:00:00,0.019192146509885804,0.1347452239599079,0.508478519320488,0.9471483509987593,0.11603943016380072,-0.1558017261326313,1.1451528519392011,-10.210576248168945,0.04674267787486312,-2.281836175918579,2.043404430150986,-0.47025773525238035,1.8934799611568451,-3.0499589443206787,-1.5927141547203068,0.5574350669980049,-0.6855592489242553,0.4125898525118828,-2.181911551952362,1.0642433643341065,0.5444974139332771,1.0485799878835678,-0.8606281697750091,-0.17735068080946803,-0.019685846567153893,0.5307325005531311,-0.019128936436027238,0.4425538180395961
2019-04-19 12:00:00,-0.03948347866535186,0.18152961693704125,0.153852242231369,2.2135630339384083,-0.041741489712148874,1.6609527587890625,0.9450662344694137,-9.147254753112794,0.062093397974967955,-0.7501586973667145,0.7138015121221543,2.0660523891448976,2.193088030815124,-16.241761684417725,0.19760962724685668,0.6708780094981194,0.7086528658866883,-0.7510770380496978,-1.8190435409545898,1.803431898355484,-0.35155937969684603,1.6552705079317094,0.33012814819812775,0.05332185477018355,-0.21556728817522525,-0.17673472836613652,0.07545962277799843,-0.060761000402271725
2019-04-19 13:00:00,-0.005954556167125669,0.1855112500488758,0.2183297522366047,2.2557769119739532,-0.007931299973279241,1.365201938152313,0.9561821520328522,-8.08393383026123,0.056976505741477015,-0.9990563124418259,0.8048701822757721,1.604905128479004,2.0024284601211546,-5.876774024963379,0.19760962724685668,0.6951870590448379,0.6505606532096864,-0.871456378698349,-1.9551189303398135,1.3707361340522763,-0.35155937969684603,1.4204225629568104,-0.03625838551670311,0.06546251475811002,-0.23733192235231398,0.35386567115783696,0.20157769992947577,0.033610571920871725
2019-04-19 14:00:00,0.006618838012218483,0.18750210255384445,0.4117622941732407,1.8547456100583073,0.0371489511220716,0.8159506797790528,1.022877722978592,-7.138759136199951,0.0559530947357416,-1.3053918540477754,0.9141526699066163,0.5673236548900605,1.7572946667671203,-0.2231440870091319,-0.0778247933834791,0.6384657219052315,0.8248371660709382,-1.0319621503353118,-2.0685151934623716,1.1543883264064791,-0.2022165922448039,1.4791345790028572,-0.31104826778173444,0.05332185477018355,-0.22644954696297645,1.0613328039646146,0.13851865716278555,0.1437106730416417
2019-04-19 15:00:00,0.017096603289246552,0.16858918480575086,0.1216134984046221,1.0737898759543896,0.05968908211216328,0.47794980704784396,1.022877722978592,-6.548024892807007,0.04981275089085101,-1.5351435184478759,1.1509312570095065,-0.7008313655853271,1.5393976509571075,6.372757720947266,-0.39916497766971587,0.5655381605029106,0.9410215497016907,-0.590571305155754,-2.091194415092468,1.208475321531296,-0.09020950691774485,1.342139945924282,-0.677434864640236,0.08974382621236146,-0.1720380578190088,0.8844660699367524,0.20157769992947577,0.06506775394082068
