,0
SHAP_OX_01,9.037346270623804
SHAP_TEMP_01,7.414580581415631
SHAP_TEMP_03,4.047954396216385
SHAP_TEMP_04,2.228873288025893
SHAP_TEMP_05,2.013278467772249
SHAP_TEMP_19,1.794825738552927
SHAP_HUM_01,1.3638455846246953
SHAP_TEMP_12,1.3371918307041168
SHAP_TEMP_11,1.1320376758372412
SHAP_TEMP_06,1.0788110858487432
SHAP_WS_01,1.0630630387549134
SHAP_OX_20,0.9812600402478437
SHAP_OX_04,0.769369215708878
SHAP_HUM_21,0.6860581220677744
SHAP_OX_16,0.6027302239327149
SHAP_NO2_17,0.5852373561951952
SHAP_OX_19,0.4831419867306525
SHAP_TEMP_07,0.37376960854397234
SHAP_SPM_02,0.30447091565961015
SHAP_WS_02,0.28436752053551995
