,SHAP_NO2_01,SHAP_TEMP_24,SHAP_WD_04,SHAP_SPM_04,SHAP_WD_03,SHAP_OX_06,SHAP_TEMP_01,SHAP_TEMP_21,SHAP_TEMP_22,SHAP_TEMP_23,SHAP_OX_17,SHAP_NOX_01,SHAP_TEMP_02,SHAP_OX_01,SHAP_WS_02,SHAP_TEMP_03,SHAP_NO2_15,SHAP_WS_04,SHAP_TEMP_20,SHAP_TEMP_05,SHAP_TEMP_06,SHAP_TEMP_04,SHAP_OX_02,SHAP_HUM_02,SHAP_TEMP_07,SHAP_HUM_01,SHAP_TEMP_10,SHAP_WS_01,SHAP_TEMP_11
2019-07-19 07:00:00,-0.04582893727347252,-0.8335602696985006,-0.015050851553678477,-0.11753886006772521,0.023622191045433248,-0.8275504410266876,9.748266172409057,1.1707917314022778,2.456724858283996,2.1134792268276215,0.8769648969173431,0.3799204856157303,-7.208653354644776,-19.012915420532227,-0.10227202344685789,-3.3588032960891723,0.9010517776012421,-0.16801209449768062,-2.8054915666580205,-1.7294335424900056,-1.4713147282600398,-1.532708203792572,1.1158250868320465,1.6961746692657471,0.9876594334840775,-2.747873306274414,2.8582083940505987,-0.7509168624877931,-0.19860014468431472
2019-11-14 07:00:00,-0.5288945764303208,1.0842468559741973,-0.010498512000776823,0.31051583141088485,-0.08720391448587175,-0.8275504410266876,-5.712142610549927,-0.90258429646492,-1.1987230300903318,-0.9958825260400772,-0.1780887129716575,1.4283642411231994,2.1544328570365905,-20.483393859863284,-0.018709282949566836,0.6501473516225814,1.5802103161811827,0.3056929618120194,-0.30882368870079524,0.7912084000185132,1.3861605569720266,0.26410300135612497,1.207535719871521,0.6885359108448028,-0.0489750489592552,-1.5861048579216004,0.19631450325250624,-0.043620107509195795,0.591948564350605
2019-05-06 18:00:00,-0.07803333150222895,-0.4202397273853421,-0.015050851553678477,-0.027422089688479874,0.0014569657389074217,1.3094166755676269,4.671715021133421,-0.0764736793935299,0.7529143512248992,1.2679516553878782,0.5918151497840881,0.03043907172977923,-4.849449920654297,16.278489875793458,0.2842055596411229,-2.4928703188896186,-0.08681444255635143,-0.9575206160545349,-1.204575264453888,-1.233243680000305,-0.9497121840715408,-1.3237764298915864,-0.2904016006737947,-1.249231207370758,0.7127942115068435,1.2021389484405518,1.7232923269271854,3.492863893508911,0.22342239916324616
2019-12-25 19:00:00,-1.0441643297672272,2.0100844383239744,-0.011067559127695848,-0.11753886006772521,-0.0761212765239179,-0.16435369551181792,-11.250197410583494,-2.279437100887299,-3.615036058425903,-2.523288905620575,-0.12105877627618611,1.673002052307129,6.135587692260743,-20.483393859863284,-0.018709282949566836,2.2216562032699585,0.6540851294994354,0.2793759554624557,1.5398545026779176,1.5255691081285474,2.429365199804306,0.7933963179588318,1.1769653797149657,-1.0942097902297976,-0.37096018493175514,1.3183158099651338,-1.289394009113312,-0.2793857410550116,1.1744587481021882
2019-12-19 07:00:00,-0.7543251499533652,2.0927491307258608,-0.010498512000776823,-0.2977725305594504,0.06795261758379637,-0.05382096767425539,-9.28880467414856,-1.3723334968090057,-2.902532804012298,-2.496012580394745,-0.43472335636615755,0.9740384221076965,4.439909887313844,-19.748150444030763,-0.12316274400800467,1.5481521844863892,1.1480183243751525,0.14779120311141017,0.14858105294406415,1.2080081999301913,1.86240613758564,0.5844646533951163,0.871263986825943,-0.8616781532764435,-0.19033425375819207,0.15654764771461488,-0.5878093548119068,0.07426268737763166,0.7762117937207222
2019-12-10 08:00:00,-0.5610986292362213,2.2580774664878844,-0.018465124757494764,0.35557440221309666,0.07903521149419246,-0.5327961623668671,-10.327188873291016,-2.1336513996124267,-3.336231064796448,-2.8233149647712708,-0.40620839446783064,1.5332084536552428,5.988136291503905,-19.748150444030763,-0.07093599550426007,2.349943161010742,1.3949847221374512,0.20042510107159614,1.0824492983520029,1.9622155129909515,2.701506739854813,1.0301854088902473,1.207535719871521,1.6961746692657471,-0.47305276393890383,-2.3993427515029904,-1.2274893522262573,-0.1615029361099005,1.0318026464432477
2020-03-31 22:00:00,-0.4644855856895447,1.6463623881340026,-0.018465124757494764,0.3781035110354424,-0.0761212765239179,-0.05382096767425539,-7.7889141082763675,-1.761091411113739,-2.623727869987488,-1.9232360243797302,-0.6343282997608185,0.41486847400665294,3.4814847230911257,-12.395773410797117,-0.050045320158824305,1.163293123245239,0.345377004146576,0.14779120311141017,0.7775127703323961,0.9698371715843678,1.567587462067604,0.4451770350337029,0.7795534163713457,1.1536001026630402,-0.07253504376858477,-2.3993427515029904,-0.09257329180836678,-0.043620107509195795,0.740547788888216
2020-03-14 21:00:00,0.050784192368882895,1.0346480429172515,-0.019034173246473045,-0.2977725305594504,0.07903521149419246,-0.05382096767425539,-15.057608795166015,-1.453324270248413,-1.8492691397666932,-1.1595332562923433,0.22112084571272134,-0.1443015843629837,8.421066522598267,-2.102450263500214,0.0335174053907394,3.6648796081542967,-0.27203933000564573,-0.24696291983127594,0.49163463786244394,2.8156610488891602,3.7673890352249146,1.6569805204868318,0.4738520115613937,1.8511959433555603,-0.8264512468129397,-2.747873306274414,-1.5370123803615576,1.0173247098922729,1.0793547607958316
2020-03-23 08:00:00,-0.07803333150222895,0.9685168504714966,-0.011636558407917606,-0.18512656204402447,0.07903521149419246,0.7199084907770157,-7.327409934997559,0.5714561112225056,1.4034600794315337,0.6406235828995704,0.9054800510406494,-0.00450910256477075,2.596781599521637,3.779450535774231,0.06485347561538217,0.7463621467351914,0.0366688286885619,0.22674209177494048,-2.043150007724762,0.7316660268232227,1.3408035382628438,0.22231677323579785,0.29043113887310035,-2.0243377804756166,-0.0018553265370428646,3.0609679937362673,0.48520211353898046,2.785567045211792,0.47901321984827516
2019-10-25 09:00:00,0.08298855144530534,-0.17224738150835037,-0.010498512000776823,0.17534068673849107,-0.08720391448587175,0.27777732014656065,-2.020104706287384,0.05311239566653966,1.0317197561264038,1.1861257910728455,0.22112084571272134,-0.17924967892467975,0.16385553404688835,-0.6319746494293214,0.2842055596411229,-0.2157863646745682,-0.14855604320764543,-0.5890831351280212,-1.4332771480083464,0.2751719892024994,0.751165895164013,-0.15375988371670246,0.41271165013313305,2.3937711358070377,0.17877044677734374,-3.9096423625946053,0.5677413545548916,4.553810358047486,0.5027889404445887
