,0
SHAP_OX_01,5.744024673600496
SHAP_TEMP_01,4.082540801314218
SHAP_TEMP_03,2.2349344691448225
SHAP_HUM_01,1.9357670770650108
SHAP_TEMP_04,1.4539384959501216
SHAP_TEMP_02,1.431403797035579
SHAP_OX_02,1.228243968153869
SHAP_WS_01,1.2248584759709735
SHAP_TEMP_05,1.152896078058567
SHAP_TEMP_20,0.9445197763524211
SHAP_TEMP_06,0.8666804796801492
SHAP_TEMP_22,0.7142024426225941
SHAP_TEMP_21,0.6843839962843369
SHAP_TEMP_24,0.6750762730943426
SHAP_TEMP_07,0.6643983928732206
SHAP_TEMP_19,0.6498957195403986
SHAP_TEMP_18,0.5110552067927939
SHAP_OX_14,0.4466354826582445
SHAP_HUM_24,0.4375873420811879
SHAP_OX_03,0.4283150588074544
SHAP_NOX_24,0.4268399289189838
SHAP_NO2_01,0.4164676955613192
SHAP_NO2_02,0.40900265340145364
SHAP_OX_13,0.4028275359735823
SHAP_TEMP_17,0.40187323684798126
SHAP_NMHC_21,0.3707873580144408
SHAP_NOX_02,0.36084415562250644
SHAP_OX_19,0.35854092402819854
SHAP_NO2_24,0.3572374319306807
SHAP_NO_01,0.32302409717971464
