,0
SHAP_OX_01,9.089578978593224
SHAP_TEMP_01,6.991559381153687
SHAP_OX_19,3.139231337861213
SHAP_TEMP_04,2.513194393288362
SHAP_TEMP_24,2.3552645853440306
SHAP_TEMP_05,2.2530627465264383
SHAP_OX_02,2.061995157376112
SHAP_TEMP_22,2.0194726855846716
SHAP_TEMP_19,1.9577648341813965
SHAP_HUM_01,1.9329480048436312
SHAP_TEMP_06,1.8465033875911685
SHAP_TEMP_03,1.7780309941535997
SHAP_SPM_01,1.5490253282611446
SHAP_THC_06,1.2824641849990317
SHAP_WS_01,1.1881464120208567
SHAP_OX_16,1.1126207724267851
SHAP_OX_15,1.0768660087010697
SHAP_TEMP_18,1.0018342316653626
SHAP_TEMP_07,0.9223384543715354
SHAP_OX_14,0.7223641470020402
